AccNum,GeneName,txReads0,txRPKM0,cdReads0,cdRPKM0
NM_001003806,TARP,0.0,-,0.0,-
NM_017847,ODR4,24.0,5.52370626417,13.0,8.53982524016
NM_001143986,TLE6,0.0,-,0.0,-
NM_001143987,NBPF6,0.0,-,0.0,-
NM_001143980,CCDC154,0.0,-,0.0,-
NM_001003803,ATP5S,16.0,7.77610103169,10.0,13.8376797873
NM_001003800,BICD2,183.0,25.5755520558,113.0,39.4567860103
NM_016649,ESF1,8.0,2.2305513687,6.0,2.10488650286
NM_016647,THEM6,32.0,12.6739455861,7.0,10.0107999227
NM_016644,PRR16,4.0,1.91803561544,3.0,3.17972216389
NM_017417,GALNT8,1.0,0.419991405254,1.0,0.468485710667
NM_016642,SPTBN5,0.0,-,0.0,-
NM_001143989,NBPF4,0.0,-,0.0,-
NM_016640,MRPS30,45.0,24.133178385,40.0,27.1721712187
NM_001304464,SNRPE,26.0,14.4089758379,0.0,-
NM_003279,TNNC2,19.0,25.0175497124,19.0,35.2731912094
NM_001012980,SATL1,0.0,-,0.0,-
NM_001304467,EEF1AKMT2,24.0,5.87987967355,5.0,6.98350194873
NM_001080825,TMEM120B,13.0,1.55217862221,6.0,5.27459794245
NM_001008781,FAT3,476.0,22.408802725,455.0,29.8369278082
NM_017419,ASIC5,0.0,-,0.0,-
NM_001040,SHBG,0.0,-,0.0,-
NM_002223,ITPR2,3.0,0.213784069828,2.0,0.221238995859
NM_001143981,CHRDL1,0.0,-,0.0,-
NM_001253384,RPL15,7.0,1.55635297583,5.0,10.2360918975
NM_001145313,FSD1L,16.0,1.85600341571,11.0,6.19177536245
NM_205859,OR2K2,0.0,-,0.0,-
NM_018476,BEX1,0.0,-,0.0,-
NM_003363,USP4,15.0,3.26461765856,14.0,4.34078253909
NM_144585,SLC22A12,0.0,-,0.0,-
NM_205856,SPACA5,0.0,-,0.0,-
NM_207118,GTF2H5,13.0,1.55715488282,6.0,24.9078236171
NM_205853,MUSTN1,0.0,-,0.0,-
NM_205852,CLEC12B,0.0,-,0.0,-
NM_001282735,SPATS2L,480.0,67.3247602228,353.0,188.746942473
NM_001355213,OR10D3,0.0,-,0.0,-
NM_001007531,NKAPL,1.0,0.539519645137,1.0,0.74167216726
NM_001282730,SUPT7L,44.0,8.33241660181,27.0,19.5402780919
NM_004108,FCN2,0.0,-,0.0,-
NM_004109,FDX1,11.0,3.12630686288,2.0,3.23128522601
NM_004106,FCER1G,0.0,-,0.0,-
NM_001291976,SPARCL1,0.0,-,0.0,-
NM_130759,GIMAP1,0.0,-,0.0,-
NM_181776,SLC36A2,1.0,0.262110976386,1.0,0.61754934588
NM_001462,FPR2,0.0,-,0.0,-
NM_001463,FRZB,0.0,-,0.0,-
NM_004101,F2RL2,10.0,2.61499460547,4.0,3.18820142299
NM_000331,SAA1,1.0,1.25761802274,0.0,-
NM_007102,GUCA2B,0.0,-,0.0,-
NM_007101,SARDH,2.0,0.531052206229,2.0,0.650476351264
NM_007100,ATP5ME,55.0,135.116413046,33.0,140.907116463
NM_000334,SCN4A,0.0,-,0.0,-
NM_007105,SLC22A18AS,0.0,-,0.0,-
NM_181435,C1QTNF3,2.0,0.468730606491,0.0,-
NM_000339,SLC12A3,0.0,-,0.0,-
NM_000486,AQP2,0.0,-,0.0,-
NM_000485,APRT,67.0,74.4456884319,31.0,51.1917700861
NM_007108,ELOB,127.0,115.028858159,113.0,283.82360357
NM_000483,APOC2,0.0,-,0.0,-
