AccNum,GeneName,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_001099670,C8orf59,23.0,16.2510706417,7.0,17.519087133
NM_000336,SCNN1B,0.0,-,0.0,-
NM_001346491,TAOK3,34.0,4.62866933201,30.0,10.1962940986
NM_003568,ANXA9,0.0,-,0.0,-
NM_001099678,LRRC58,90.0,8.70726091121,35.0,23.3116885238
NM_178517,PIGW,28.0,6.82382803739,17.0,8.34077047946
NM_171846,LACTB,8.0,1.97491820601,6.0,3.97491892934
NM_025146,NAA50,199.0,24.0127691749,68.0,99.1079786383
NM_005989,AKR1D1,0.0,-,0.0,-
NM_001001346,CLDN20,0.0,-,0.0,-
NM_014703,DCAF1,52.0,6.61624643426,49.0,8.3441425314
NM_014702,KIAA0408,13.0,1.18944213654,7.0,2.49552464197
NM_001001343,FNDC9,0.0,-,0.0,-
NM_014704,CEP104,38.0,4.37376492907,21.0,5.61897287096
NM_001353790,APBA2,77.0,14.0109810682,61.0,20.1519556564
NM_014258,SYCP2,0.0,-,0.0,-
NM_014709,USP34,214.0,14.0643948465,207.0,14.4596501114
NM_014708,KNTC1,93.0,9.90369843842,83.0,9.30538713459
NM_005983,SKP2,176.0,37.3351974322,122.0,71.1245493757
NM_005982,SIX1,119.0,32.9191927557,77.0,66.9413539925
NM_005985,SNAI1,39.0,16.9924289283,8.0,7.4798474444
NM_014252,SLC25A15,19.0,3.51228225714,8.0,6.56344229392
NM_001167740,SMYD3,12.0,5.45548506266,11.0,6.35307555374
NM_005986,SOX1,0.0,-,0.0,-
NM_001005501,OR4K2,0.0,-,0.0,-
NM_198447,GOLT1A,0.0,-,0.0,-
NM_001005503,OR11G2,0.0,-,0.0,-
NM_019103,ZMAT5,26.0,18.7086697333,17.0,24.632099954
NM_001202858,ECM1,55.0,18.3739510959,42.0,18.3210171778
NM_001005504,OR4F21,0.0,-,0.0,-
NM_001278412,AMN1,4.0,1.28212132779,3.0,3.08427319414
NM_015254,KIF13B,182.0,15.4326250104,142.0,19.2574342729
NM_018375,SLC39A9,139.0,19.0521976268,31.0,24.9378842353
NM_018376,NIPSNAP3B,5.0,0.626208795103,4.0,3.99628946122
NM_001271562,C11orf71,4.0,1.47408991529,3.0,5.99443419183
NM_015251,ATMIN,80.0,12.2204659233,66.0,19.8456510623
NM_018372,LRIF1,29.0,6.46356382423,16.0,5.14846642277
NM_015253,WSCD1,239.0,30.5189918758,107.0,46.0267088294
NM_019107,MYDGF,107.0,75.674741063,76.0,108.221355984
NM_018378,FBXL8,2.0,0.929718373717,2.0,1.32143971518
NM_001177515,ABHD16A,38.0,13.1620568089,37.0,17.4286844563
NM_019024,HEATR5B,56.0,6.11777645915,51.0,6.09858459285
NM_019020,TBC1D16,345.0,23.4279092569,174.0,56.1353785256
NM_006085,BPNT1,47.0,14.1726419757,28.0,22.4516456462
NM_175078,KRT77,0.0,-,0.0,-
NM_052985,IFT122,24.0,4.03972739015,23.0,4.40735403844
NM_001283009,RTEL1,125.0,18.1295082875,110.0,20.9490346853
NM_005183,CACNA1F,0.0,-,0.0,-
NM_001195081,CLDN34,0.0,-,0.0,-
NM_005185,CALML3,4.0,2.15452127474,2.0,3.30359928794
NM_005184,CALM3,326.0,102.503810394,125.0,206.474955496
NM_005187,CBFA2T3,9.0,1.530143769,5.0,1.89426564676
NM_152410,PACRG,0.0,-,0.0,-
NM_005189,CBX2,239.0,41.6532360396,120.0,55.783102423
NM_152240,ZMAT3,22.0,1.79444930048,6.0,5.14401273209
NM_152243,CDC42EP1,77.0,26.4731071525,48.0,30.3391771342
NM_001267782,AMBRA1,110.0,15.409740365,82.0,15.6045588486
