AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_005941	22.0	0	8.0	22.0	13.0	5.0	4.0
NM_001025579	158.0	0	28.0	158.0	41.0	20.0	97.0
NM_002490	358.0	0	13.0	358.0	277.0	0	81.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	65.0	0	26.0	65.0	50.0	15.0	0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	0	0	2.0	0	0	0	0
NM_014241	4.0	0	2.0	4.0	3.0	0	1.0
NM_001034996	223.0	0	15.0	223.0	181.0	21.0	21.0
NM_001037442	149.0	0	66.0	149.0	87.0	29.0	33.0
NM_001058	1.0	0	1.0	1.0	1.0	0	0
NM_138782	37.0	0	13.0	37.0	23.0	2.0	12.0
NM_006753	472.0	0	9.0	472.0	264.0	28.0	180.0
NM_001354199	108.0	0	49.0	108.0	59.0	24.0	25.0
NM_001135147	24.0	0	13.0	24.0	19.0	5.0	0
NM_001129885	0	0	1.0	0	0	0	0
NM_033070	464.0	0	56.0	464.0	360.0	16.0	88.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	182.0	0	218.0	182.0	112.0	21.0	49.0
NM_020547	1.0	0	1.0	1.0	1.0	0	0
NM_172175	53.0	0	36.0	53.0	14.0	27.0	12.0
NM_002199	77.0	0	27.0	77.0	41.0	9.0	27.0
NM_004101	55.0	0	1.0	55.0	25.0	8.0	22.0
NM_001321601	0	0	1.0	0	0	0	0
NM_001347830	2.0	0	0	2.0	2.0	0	0
NM_001322828	47.0	0	31.0	47.0	25.0	16.0	6.0
NM_005171	82.0	0	14.0	82.0	51.0	15.0	16.0
NM_015634	142.0	0	19.0	142.0	121.0	12.0	9.0
NM_032627	980.0	0	104.0	980.0	572.0	239.0	169.0
NM_001278419	0	0	0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	433.0	0	504.0	433.0	252.0	109.0	72.0
NM_001289125	23.0	0	3.0	23.0	17.0	1.0	5.0
NM_006065	0	0	1.0	0	0	0	0
NM_001009812	79.0	0	45.0	79.0	47.0	12.0	20.0
NM_004778	6.0	0	0	6.0	3.0	0	3.0
NM_006646	121.0	0	22.0	121.0	38.0	18.0	65.0
NM_014010	30.0	0	162.0	30.0	19.0	0	11.0
NM_032935	0	0	0	0	0	0	0
NM_001098816	1.0	0	58.0	1.0	0	0	1.0
NM_001099402	95.0	0	25.0	95.0	60.0	15.0	20.0
NM_001126128	0	0	0	0	0	0	0
NM_001031803	138.0	0	22.0	138.0	117.0	9.0	12.0
NM_013309	22.0	0	2.0	22.0	5.0	3.0	14.0
NM_003988	1.0	0	1.0	1.0	0	1.0	0
NM_003460	0	0	0	0	0	0	0
NM_015939	89.0	0	4.0	89.0	66.0	10.0	13.0
NM_001080505	0	0	0	0	0	0	0
NM_001330513	54.0	0	7.0	54.0	28.0	21.0	5.0
NM_001001413	0	0	0	0	0	0	0
NM_012163	16.0	0	13.0	16.0	12.0	2.0	2.0
NM_016577	85.0	0	14.0	85.0	20.0	2.0	63.0
NM_001080779	1207.0	0	115.0	1207.0	929.0	0	278.0
NM_021211	39.0	0	11.0	39.0	26.0	13.0	0
NM_152791	25.0	0	4.0	25.0	18.0	1.0	6.0
NM_198956	2.0	0	0	2.0	0	1.0	1.0
NM_004488	0	0	0	0	0	0	0
NM_015950	222.0	0	14.0	222.0	198.0	18.0	6.0
NM_001265589	174.0	0	25.0	174.0	81.0	19.0	74.0
NM_001289088	50.0	0	61.0	50.0	46.0	1.0	3.0
NM_019078	0	0	0	0	0	0	0
NM_033337	6.0	0	1.0	6.0	2.0	1.0	3.0
NM_003041	3.0	0	0	3.0	2.0	0	1.0
NM_014051	77.0	0	4.0	77.0	28.0	32.0	17.0
NM_001004741	0	0	0	0	0	0	0
NM_032378	1132.0	0	403.0	1132.0	1002.0	64.0	66.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	3500.0	0	41.0	3500.0	2781.0	609.0	110.0
NM_004356	800.0	0	52.0	800.0	403.0	101.0	296.0
