AccNum,cdReads0_RNA_1,cdReads1_RNA_1,cdReads2_RNA_1,cdReads3_RNA_1,cdReads4_RNA_1
chrE,11854,12563,35517,52752,73794
NM_017847,50,62,71,30,51
NM_001143986,4,6,3,3,3
NM_001003803,29,52,52,19,22
NM_001003800,778,1155,1444,706,883
NM_016649,17,26,10,9,20
NM_016647,170,182,219,91,99
NM_016644,29,43,39,13,9
NM_016642,4,3,4,2,2
NM_016640,255,348,411,205,241
NM_003279,57,135,132,50,37
NM_001304467,44,51,40,16,33
NM_001080825,43,52,49,40,39
NM_001008781,1858,2553,2091,923,1163
NM_002223,27,46,31,10,15
NM_001253384,100,147,121,60,67
NM_001145313,13,24,17,7,18
NM_003363,57,101,145,55,82
NM_207118,18,32,35,15,21
NM_001282735,1363,1935,1969,764,880
NM_001282730,128,204,218,130,141
NM_004109,52,77,81,43,39
NM_004101,26,36,41,17,25
NM_007101,53,79,115,46,65
NM_007100,150,203,214,85,80
NM_181435,1,3,5,2,5
NM_000485,335,448,517,230,258
NM_007108,726,994,1194,520,486
NM_016643,160,168,213,97,77
NM_001350532,112,212,196,54,95
NM_001350531,14,13,8,3,6
NM_001350530,126,255,177,79,120
NM_014177,64,83,88,44,52
NM_020992,20,27,25,17,17
NM_005802,166,169,110,61,82
NM_003824,118,157,158,88,88
NM_003825,84,124,114,41,65
NM_003826,73,100,95,36,68
NM_003827,382,503,679,308,316
NM_003820,6,11,16,10,12
NM_003821,79,134,122,51,61
NM_003795,156,259,252,94,104
NM_003823,47,45,49,36,28
NM_012181,1321,1652,1984,946,963
NM_012180,38,55,40,27,33
NM_012183,17,9,3,2,6
NM_001018088,95,112,50,24,48
NM_020437,107,147,146,64,65
NM_020733,101,163,144,79,89
NM_020731,64,115,164,58,81
NM_001025780,74,99,58,19,42
NM_001300829,836,1243,1644,689,768
NM_002224,1113,1635,1902,1108,985
NM_175856,83,122,105,46,70
NM_001688,380,500,548,208,269
NM_014171,51,62,57,21,36
NM_001867,79,137,141,46,40
NM_144643,71,101,83,35,42
NM_001161546,552,713,691,312,266
NM_144641,58,90,106,49,70
NM_133447,1,4,1,1,1
NM_000159,210,276,300,163,168
NM_000158,96,142,136,59,81
NM_021020,853,1407,1647,762,709
