AccNum,cdReads0_RNA_2,cdReads1_RNA_2,cdReads2_RNA_2,cdReads3_RNA_2,cdReads4_RNA_2
NM_001330663,249,382,214,171,159
NM_001358407,5,10,5,2,4
NM_001330669,1130,1369,1262,795,631
NM_002547,22,39,19,19,14
NM_001199014,7,10,8,7,9
NM_001135811,19,34,15,20,17
NM_000465,691,925,679,474,450
NM_001199018,44,52,37,30,30
NM_002237,119,95,126,48,67
NM_006856,24,41,50,30,34
NM_006857,79,105,98,63,49
NM_006854,520,527,478,293,245
NM_006855,69,96,61,36,26
NM_012175,87,132,104,64,78
NM_006851,11,6,12,7,9
NM_006858,384,431,427,263,232
NM_006859,32,33,30,20,25
NM_006103,8,4,1,3,1
NM_020179,17,9,8,3,3
NM_004569,38,32,38,36,17
NM_024408,2369,2656,1952,1395,1309
NM_004564,200,238,218,139,112
NM_004565,128,135,164,92,103
NM_020177,103,113,71,45,43
NM_004560,9,11,12,4,7
NM_004562,22,27,25,13,20
NM_172171,214,217,234,145,132
NM_001282678,212,298,172,129,130
NM_001321039,192,215,165,123,122
NM_172175,12,15,13,9,4
NM_172177,81,120,83,66,54
NM_001329998,7,6,7,5,3
NM_003427,250,272,255,186,144
NM_001251845,83,109,57,61,62
NM_001018070,875,952,1016,626,511
NM_016732,1218,1277,1224,734,553
NM_016733,199,240,244,161,151
NM_001354895,137,259,153,166,150
NM_001660,241,358,295,176,161
NM_001207001,9,11,3,4,4
NM_203462,139,139,138,68,64
NM_001173984,94,88,102,54,43
NM_001284286,27,29,24,24,19
NM_212503,20,23,27,11,14
NM_001284280,258,412,248,201,194
NM_014755,100,75,64,30,48
NM_020395,72,114,108,56,58
NM_020394,38,32,16,19,18
NM_001078,23,24,15,12,6
NM_020399,124,161,83,79,63
NM_001324288,101,122,98,64,67
NM_001281435,79,92,79,33,57
NM_024016,168,151,144,74,66
NM_000288,38,38,35,17,12
NM_144598,33,46,29,17,19
NM_144599,69,65,68,45,51
NM_001287742,1242,1427,1184,711,608
NM_181573,169,207,185,125,108
NM_000283,10,9,9,3,5
NM_000282,161,237,191,154,122
NM_000285,856,923,860,555,386
NM_144597,79,74,71,53,33
NM_031243,1136,1667,1438,996,644
NM_001281432,44,62,48,24,20
NM_001304808,497,502,382,290,291
NM_016381,156,107,62,34,30
NM_004992,220,232,195,142,128
NM_001351980,95,110,88,56,63
NM_000075,1612,1710,1484,994,770
NM_182943,188,245,143,117,129
NM_001071,520,553,514,330,323
NM_032588,16,9,15,5,3
NM_032130,6,3,1,3,3
NM_006708,600,701,509,344,350
NM_001070,321,349,330,186,127
NM_006706,336,435,389,297,231
NM_001352773,240,232,294,167,170
NM_138610,711,762,690,505,376
NM_006705,24,28,47,29,32
NM_014753,228,342,320,245,188
NM_001308317,74,134,100,85,60
NM_148842,392,403,387,249,216
NM_002027,185,268,224,167,158
NM_001663,309,292,189,93,101
NM_001010872,1,3,2,1,1
NM_001282197,38,49,35,19,26
NM_006784,506,697,507,356,363
NM_001282190,265,291,292,183,152
NM_001609,55,49,28,21,35
NM_001122772,465,477,475,265,210
NM_001323555,183,237,113,79,104
NM_001323552,100,98,80,52,53
NM_007038,74,77,75,68,96
NM_001080485,30,39,38,17,16
NM_001080482,38,29,31,21,16
NM_007031,3,7,2,2,1
NM_001080480,39,29,33,18,19
NM_032514,147,148,141,72,53
NM_001130004,1174,1430,1430,898,685
NM_001167820,154,123,90,56,41
NM_014367,77,87,72,60,46
NM_002286,1,1,1,1,2
NM_000741,32,34,27,18,16
NM_001349042,9,5,11,3,4
NM_031307,55,58,42,42,27
NM_001323080,28,31,28,17,11
NM_031302,56,76,64,48,43
NM_001330618,306,281,267,132,132
NM_001136043,149,174,137,98,86
NM_001029859,17,23,16,10,9
NM_001114636,134,190,133,99,60
NM_001256648,24,44,17,13,21
NM_001170543,767,813,787,474,407
NM_003489,653,977,504,386,447
NM_001042576,706,850,879,471,415
NM_021629,172,206,126,79,91
NM_001193582,184,201,122,99,130
NM_003482,438,379,293,216,292
NM_003483,196,195,175,108,106
NM_003486,217,242,264,153,141
NM_001080429,15,18,11,6,1
NM_207370,809,685,701,429,403
NM_207371,27,25,21,14,8
NM_005524,80,214,169,117,95
NM_014600,117,107,80,47,44
NM_014601,394,368,425,263,367
NM_014602,198,194,106,102,101
NM_014603,543,437,407,217,192
NM_014604,144,177,129,99,81
NM_006869,55,66,51,40,25
NM_014607,184,299,183,193,173
NM_005552,915,1065,789,495,430
NM_005883,454,472,448,276,314
NM_005556,13,11,18,9,3
NM_005886,325,372,333,200,164
NM_182626,11,13,10,6,12
NM_003463,33,45,19,20,40
NM_005559,7,6,5,2,2
NM_003730,25,23,30,11,19
NM_003731,363,346,360,215,140
NM_003733,38,44,42,22,19
NM_018569,54,76,52,56,41
NM_001271318,219,273,226,163,108
NM_003737,1605,1475,1402,936,822
NM_001145463,349,307,375,219,199
NM_001350947,133,141,122,84,61
NM_003887,235,293,221,178,192
NM_001129993,64,92,64,41,40
NM_003904,391,456,356,248,245
NM_020750,1218,1403,1332,836,649
NM_006861,189,269,207,101,102
NM_001105244,15,26,15,15,11
NM_001199579,554,553,649,388,324
NM_005080,690,676,560,330,328
NM_052885,11,13,6,7,9
NM_005082,197,176,158,87,89
NM_014467,207,264,252,191,159
NM_005085,415,381,441,264,279
NM_014462,66,74,61,50,42
NM_014463,67,103,78,52,37
NM_152612,3,8,2,7,11
NM_032303,127,163,112,105,75
NM_032302,184,177,161,103,111
NM_005773,103,96,58,31,37
NM_032306,488,456,431,262,213
NM_032309,159,123,130,82,65
NM_032656,508,574,564,408,356
NM_182314,77,147,100,73,60
NM_005778,403,647,710,498,461
NM_005779,49,68,42,28,35
NM_001172086,107,131,104,79,49
NM_001185039,406,438,297,192,233
NM_033656,157,216,143,110,135
NM_015891,98,123,90,70,69
NM_001243756,345,409,408,313,270
NM_001346249,29,22,21,17,15
NM_001352038,10,12,9,8,5
NM_006390,74,118,50,42,53
NM_004779,146,171,140,76,78
NM_032270,273,298,192,119,120
NM_018389,55,37,53,26,23
NM_014891,678,702,700,398,278
NM_018381,83,72,102,62,47
NM_001319193,194,153,156,122,110
NM_018383,798,1054,980,630,499
NM_001319194,58,98,68,46,49
NM_020947,154,142,117,62,77
NM_020940,106,128,96,84,74
NM_020943,69,139,123,129,100
NM_001270378,39,39,28,26,30
NM_001278694,14,13,9,2,7
NM_001278699,97,146,117,90,82
NM_001270374,2,3,6,2,1
NM_001004440,8,5,3,3,6
NM_016122,18,31,25,25,14
NM_001102654,11,14,8,4,6
NM_016127,912,1194,915,505,407
NM_016126,117,146,97,64,56
NM_016125,82,95,61,69,65
NM_001272069,111,100,76,51,70
NM_001351300,272,313,318,207,173
NM_001301860,8,4,1,4,2
NM_001319998,67,85,59,43,26
NM_001350781,20,18,17,9,10
NM_138370,52,54,35,17,29
NM_001134779,136,205,132,81,129
NM_138376,127,156,142,123,105
NM_001134775,203,186,229,145,140
NM_138378,44,38,51,20,21
NM_001170629,1010,1028,784,526,508
NM_004596,570,618,564,280,221
NM_001278344,5,10,10,11,9
NM_001278346,22,25,37,23,15
NM_001282670,161,150,160,100,84
NM_020166,98,112,104,75,51
NM_001253,291,486,388,316,268
NM_001018078,607,670,677,408,381
NM_001242614,88,101,91,58,46
NM_001258,20,30,37,35,31
NM_001018077,271,350,189,141,182
NM_001353920,12,8,5,5,5
NM_133496,124,160,118,104,73
NM_001137608,36,47,15,8,12
NM_000077,870,804,869,518,400
NM_152551,17,33,39,23,12
NM_197941,130,131,122,80,76
NM_001137601,75,39,43,32,21
NM_181578,131,150,124,85,84
NM_021165,105,94,74,46,33
NM_182703,71,67,58,41,41
NM_021167,304,260,195,132,147
NM_001098616,512,554,427,317,236
NM_001308127,29,36,24,28,19
NM_001308120,128,160,105,79,119
NM_001308122,15,19,28,15,15
NM_003921,132,163,111,71,53
NM_001004,2008,1973,1782,1010,693
NM_001322914,34,67,59,50,51
NM_016258,565,543,299,169,185
NM_006979,1599,1659,1598,933,683
NM_001251874,36,32,27,22,16
NM_001321026,30,21,12,11,3
NM_001141972,9,12,12,9,8
NM_004736,213,261,188,138,109
NM_003631,33,41,38,29,15
NM_001388,138,139,148,117,72
NM_012267,779,749,732,465,361
NM_000614,5,4,3,2,5
NM_000612,341,407,351,232,282
NM_000610,416,557,506,326,251
NM_001284341,621,705,659,447,369
NM_001320042,126,165,129,88,78
NM_001350299,305,387,356,269,193
NM_001272044,41,72,29,27,34
NM_001321471,882,1205,1210,782,658
NM_017654,67,142,85,53,62
NM_001142777,125,136,133,82,88
NM_033395,63,115,101,104,100
NM_004776,424,414,330,241,213
NM_017659,152,141,166,86,80
NM_013299,370,294,215,122,87
NM_022755,161,200,159,130,97
NM_001349898,182,205,182,115,114
NM_001174051,5,2,6,2,2
NM_020773,271,280,237,132,111
NM_001145080,9,6,8,5,3
NM_001083614,247,298,259,181,135
NM_016256,171,147,189,114,99
NM_001289067,212,340,272,238,235
NM_001011645,20,26,25,19,20
NM_003254,603,597,528,335,273
NM_203413,238,245,233,122,123
NM_003250,122,125,116,74,71
NM_001300804,717,538,475,281,258
NM_001351782,131,145,115,75,86
NM_003259,59,49,42,29,27
NM_003258,1628,1795,1851,1199,897
NM_019892,169,132,149,101,108
NM_004911,1455,1594,1436,912,694
NM_001017420,115,191,104,87,117
NM_004913,54,59,64,42,40
NM_004912,180,278,224,180,154
NM_032334,64,58,42,43,36
NM_001330120,5,9,5,4,3
NM_001330125,26,15,37,10,35
NM_198531,176,172,169,107,95
NM_032888,54,52,37,21,40
NM_198535,26,43,30,13,23
NM_198537,7,15,20,10,20
NM_198536,229,248,224,108,94
NM_198539,29,49,24,15,16
NM_032883,108,72,97,38,28
NM_032881,116,80,68,45,20
NM_198282,139,168,150,86,78
NM_001193466,681,814,734,480,480
NM_001302777,34,28,27,14,15
NM_015456,1659,1714,1717,1013,975
NM_001193460,42,46,32,29,26
NM_139159,649,646,727,455,432
NM_006045,49,52,48,33,39
NM_006511,16,19,14,13,9
NM_000548,501,506,588,362,320
NM_006041,90,68,56,40,52
NM_003036,429,354,388,265,329
NM_006042,55,33,33,30,14
NM_001128928,49,67,81,49,38
NM_001331185,12,15,17,6,4
NM_001351432,30,38,30,23,26
NM_001145303,2,2,1,1,1
NM_005809,942,938,837,479,366
NM_001324340,59,49,54,41,23
NM_001083613,217,235,198,110,84
NM_018917,8,13,10,9,7
NM_001317338,11,13,10,7,4
NM_001204858,66,65,53,31,31
NM_018910,20,24,17,8,10
NM_001123040,7,12,13,6,6
NM_001323964,56,72,59,46,61
NM_201522,234,292,245,170,153
NM_018912,11,18,12,10,11
NM_182760,144,160,104,67,67
NM_024821,99,113,95,63,53
NM_024827,50,49,44,27,23
NM_024825,22,19,27,7,10
NM_022096,8,5,7,6,3
NM_001331238,122,64,51,28,42
NM_001037806,1043,869,921,541,430
NM_033305,118,154,86,67,89
NM_014967,96,114,98,74,74
NM_017607,361,383,383,259,245
NM_080737,18,25,20,14,13
NM_001098507,827,1020,880,503,453
NM_001098504,1139,1445,1465,1040,794
NM_013388,463,438,374,254,240
NM_013389,1,1,2,2,2
NM_001321834,389,503,420,227,181
NM_147156,69,108,81,42,52
NM_013386,497,654,358,250,342
NM_001039523,2895,3719,3332,2086,1669
NM_001306091,33,40,25,26,11
NM_005398,59,58,35,16,27
NM_000421,79,66,73,35,29
NM_006647,3,4,7,4,3
NM_001190479,11,5,7,2,10
NM_006544,77,131,79,64,49
NM_018172,11,12,5,5,5
NM_001271765,124,115,117,84,47
NM_000663,43,43,40,30,23
NM_001145815,141,125,122,87,69
NM_004366,44,42,42,36,43
NM_018178,59,76,56,47,31
NM_001043229,9,16,15,6,10
NM_001351971,68,59,55,46,32
NM_001271769,338,542,384,285,214
NM_001271818,190,199,155,92,97
NM_001305206,18,15,7,10,8
NM_002618,290,272,184,95,129
NM_002342,259,237,276,154,135
NM_002615,590,665,624,384,266
NM_002616,294,317,242,143,109
NM_152686,58,68,65,45,42
NM_002346,403,370,357,199,175
NM_002612,23,30,14,15,15
NM_018477,188,247,178,138,103
NM_004578,92,89,71,44,34
NM_024532,37,43,50,35,24
NM_024534,3,1,3,1,2
NM_024536,1261,1159,1186,654,607
NM_001256006,22,24,20,11,18
NM_005967,352,577,457,239,198
NM_001130929,7,8,8,8,3
NM_005969,343,464,363,254,232
NM_005968,2324,2553,2654,1755,1251
NM_018717,13,13,8,7,8
NM_018714,294,290,297,192,172
NM_018715,973,1045,1064,699,626
NM_018710,105,119,78,45,48
NM_033225,452,485,350,192,269
NM_033224,178,180,127,86,132
NM_033222,53,93,63,44,32
NM_001252271,3,1,2,3,3
NM_001621,63,112,94,59,49
NM_177439,253,274,269,202,162
NM_001130438,2168,3599,3944,2671,2396
NM_031844,3629,4501,3702,2419,1914
NM_001353004,139,134,121,70,56
NM_001163735,610,693,668,390,326
NM_181877,73,70,50,27,40
NM_021954,3,4,10,3,2
NM_021958,167,158,141,103,66
NM_001267818,196,232,178,113,100
NM_007006,368,451,293,224,225
NM_032795,171,187,160,108,109
NM_004673,87,158,91,62,57
NM_032790,106,70,40,23,28
NM_018416,46,56,47,16,21
NM_007137,14,27,22,16,11
NM_203411,56,42,41,23,25
NM_001034841,585,534,403,273,289
NM_213605,26,30,21,11,19
NM_001060,23,17,23,7,9
NM_001242498,77,83,68,35,44
NM_001010844,18,20,28,21,19
NM_001318909,666,812,591,363,350
NM_001318905,303,328,259,178,165
NM_001130677,109,81,87,43,34
NM_001030055,562,1054,673,593,427
NM_006517,74,91,82,43,39
NM_001190724,39,39,46,29,22
NM_014810,222,387,269,234,235
NM_014812,84,112,96,47,64
NM_005347,1311,1484,1451,907,727
NM_005346,136,105,71,38,38
NM_014819,273,422,330,279,225
NM_000297,94,119,82,55,59
NM_016848,3,1,2,1,1
NM_001300800,68,62,50,59,37
NM_001242903,338,359,333,183,147
NM_001319050,433,489,492,318,246
NM_001112726,393,369,367,252,262
NM_001099294,12,8,13,7,11
NM_001290189,446,487,513,263,194
NM_012419,100,108,88,62,68
NM_173200,10,9,9,3,3
NM_001099293,88,98,67,67,42
NM_001004306,8,3,13,6,5
NM_012416,97,110,67,44,51
NM_012414,251,399,314,223,241
NM_018370,20,16,9,9,4
NM_001330464,117,190,104,69,56
NM_152334,56,69,47,48,32
NM_001330469,1489,1601,1480,792,663
NM_004910,833,765,692,450,336
NM_001173524,279,399,181,153,158
NM_001114091,254,411,311,265,225
NM_001173523,3144,3559,2942,1641,1294
NM_024327,111,106,79,40,35
NM_182501,154,142,118,76,77
NM_182500,5,6,3,7,2
NM_001348169,998,1102,1145,782,632
NM_182505,9,14,12,11,5
NM_001354525,23,27,25,22,19
NM_058169,17,24,23,15,13
NM_058164,93,109,93,52,44
NM_001351156,415,401,353,244,243
NM_173502,4,4,3,1,6
NM_001066,115,108,105,74,62
NM_001067,512,989,547,425,390
NM_004760,133,145,129,87,68
NM_004761,382,441,388,259,211
NM_001330602,1031,1049,994,609,513
NM_001321236,216,214,278,150,150
NM_015204,244,220,166,127,140
NM_022371,350,312,314,212,203
NM_022370,99,122,121,56,67
NM_022373,148,120,108,59,57
NM_001199563,294,373,227,174,188
NM_014339,151,163,160,106,82
NM_001164824,123,133,81,45,52
NM_001242546,79,98,78,59,38
NM_000441,48,51,29,19,22
NM_000447,125,145,131,82,83
NM_007279,1659,1844,1911,1237,1056
NM_003920,653,742,742,443,313
NM_006875,69,57,62,34,31
NM_006876,312,258,214,130,142
NM_014886,44,47,47,22,24
NM_001037582,94,112,106,48,41
NM_006730,137,136,113,84,63
NM_001320724,71,104,67,44,53
NM_018067,1774,1759,1750,979,748
NM_003925,88,84,63,56,44
NM_058180,35,35,16,13,15
NM_021570,117,107,117,76,71
NM_145341,162,289,184,160,142
NM_020153,62,78,86,39,45
NM_004580,12,18,11,15,11
NM_004581,144,156,155,107,83
NM_003927,317,320,295,169,132
NM_004584,79,66,76,44,38
NM_020154,166,200,177,125,97
NM_018639,405,413,347,254,182
NM_018475,357,318,218,196,148
NM_014331,12,21,12,9,6
NM_016248,91,134,83,65,73
NM_001317100,82,107,65,47,33
NM_016243,189,207,229,121,114
NM_016240,372,303,273,164,153
NM_018328,51,51,35,21,19
NM_016246,5,6,6,3,6
NM_016247,6,5,6,1,4
NM_016245,207,296,182,154,126
NM_001348990,178,179,114,88,100
NM_001304799,195,228,163,118,130
NM_000709,532,550,620,345,303
NM_001304793,34,46,32,26,14
NM_152720,23,35,35,23,10
NM_001304794,12,20,12,8,8
NM_001201552,38,59,59,42,25
NM_030907,13,9,7,7,6
NM_182565,239,207,202,107,106
NM_005603,2,2,4,2,4
NM_002487,930,877,750,409,328
NM_004383,203,180,185,122,118
NM_005601,4,4,2,2,1
NM_001287763,5,7,6,5,5
NM_002489,234,294,224,106,107
NM_001242481,79,112,84,44,23
NM_007232,4,12,13,5,6
NM_000916,6,13,10,5,11
NM_000918,4596,5008,4878,3240,2580
NM_018008,11,7,9,7,7
NM_022731,430,580,462,337,223
NM_152556,23,22,21,20,20
NM_001333,67,84,63,45,43
NM_194283,98,155,104,74,56
NM_194282,155,189,169,118,80
NM_006051,34,27,19,24,27
NM_001330,22,14,11,11,10
NM_194285,145,181,167,143,141
NM_003932,57,62,65,44,38
NM_006725,1,1,2,3,1
NM_003930,41,38,28,11,18
NM_003931,57,78,61,35,26
NM_001167734,244,201,227,187,179
NM_003934,553,608,590,393,354
NM_001244676,6,10,9,5,2
NM_138639,304,266,271,170,122
NM_000489,99,174,103,111,102
NM_199344,62,74,57,50,41
NM_001010853,241,238,122,112,138
NM_001323578,156,174,162,103,70
NM_001287491,362,413,388,224,235
NM_001287497,32,46,19,11,13
NM_001323570,69,100,73,58,39
NM_006516,430,579,679,390,311
NM_007055,412,395,311,206,242
NM_001285404,23,33,34,20,21
NM_007056,169,191,294,194,216
NM_007051,562,705,500,373,276
NM_024705,4,4,1,2,3
NM_001025091,1124,1528,1375,965,734
NM_007277,209,268,291,169,142
NM_007059,83,86,95,49,56
NM_006262,80,75,67,45,36
NM_001029954,2,2,2,5,1
NM_001029955,3,5,5,1,2
NM_015701,228,289,239,142,132
NM_004128,55,62,51,42,38
NM_007022,80,70,56,43,33
NM_007276,59,95,50,52,26
NM_024715,186,236,188,156,125
NM_012448,244,330,271,185,181
NM_024717,15,9,11,8,12
NM_003749,140,152,105,53,55
NM_000316,54,88,39,28,20
NM_203406,23,23,9,14,7
NM_001323565,20,19,20,10,11
NM_001025105,477,597,320,243,267
NM_007271,116,152,127,86,62
NM_153813,57,43,62,29,20
NM_153812,136,116,88,61,35
NM_006181,73,59,63,29,36
NM_006184,629,683,728,507,516
NM_006186,18,13,7,7,10
NM_006187,185,197,159,123,114
NM_153033,127,135,113,84,59
NM_001145667,741,912,710,453,383
NM_025235,355,351,237,194,236
NM_207352,15,11,12,3,9
NM_207356,187,204,155,108,85
NM_207359,82,78,78,52,46
NM_138962,318,375,320,208,212
NM_138966,18,30,15,15,11
NM_001077637,9,9,5,6,3
NM_005578,136,125,111,113,87
NM_004655,64,74,58,50,33
NM_001290768,47,68,65,33,41
NM_001017975,5,9,7,15,4
NM_014668,216,214,168,120,111
NM_005570,464,568,263,183,288
NM_005573,1613,2041,1729,1213,881
NM_005574,474,396,395,259,225
NM_014663,433,517,483,378,306
NM_014660,189,298,187,194,131
NM_014661,915,719,631,403,388
NM_001258024,15,12,16,7,8
NM_139215,153,203,204,148,92
NM_003756,827,956,803,510,347
NM_003757,1364,1528,1282,792,617
NM_003754,387,446,389,227,167
NM_003755,2042,2140,2073,1189,894
NM_004450,487,524,473,288,191
NM_003753,1196,1332,1196,744,575
NM_003750,1206,1975,1476,1339,954
NM_003758,54,80,48,42,33
NM_001317335,108,87,82,45,46
NM_001252065,29,32,36,31,25
NM_001349712,103,84,97,65,48
NM_014481,260,247,201,106,105
NM_014487,72,110,96,68,57
NM_052864,54,29,19,11,5
NM_001163692,1,2,3,1,2
NM_005751,219,481,295,304,303
NM_152636,8,3,10,2,4
NM_152637,9,10,4,4,3
NM_032634,186,201,203,122,103
NM_032324,81,127,94,49,55
NM_032323,43,41,45,26,22
NM_032630,151,184,159,124,72
NM_152320,60,60,62,44,42
NM_001347716,190,210,176,105,148
NM_021228,746,645,731,463,412
NM_032329,193,272,243,144,151
NM_152329,148,154,122,74,65
NM_015630,243,362,307,265,231
NM_001352018,47,44,49,27,17
NM_014342,418,496,392,276,200
NM_024829,348,326,217,185,124
NM_001144825,10,12,4,4,2
NM_001144822,42,68,44,22,14
NM_001204286,7,7,9,3,2
NM_033055,515,639,547,334,283
NM_022145,55,72,66,47,22
NM_001348194,36,47,45,31,33
NM_022149,579,467,342,175,158
NM_015530,567,571,461,261,223
NM_001350942,14,17,11,6,5
NM_015534,171,305,187,176,159
NM_015285,165,170,115,76,80
NM_015284,241,216,217,163,157
NM_015283,101,124,48,46,52
NM_001271592,53,42,40,28,30
NM_002409,13,6,17,7,2
NM_002408,361,356,221,136,136
NM_001316968,60,54,37,14,23
NM_002403,131,147,134,86,55
NM_015689,170,196,173,138,97
NM_024844,863,1057,985,722,520
NM_001144757,2,4,4,2,1
NM_001287135,978,1150,821,665,530
NM_001350197,106,194,149,112,89
NM_013975,270,338,274,167,125
NM_001033576,24,29,24,12,8
NM_001319311,2,12,12,8,5
NM_013979,82,101,100,70,57
NM_001145450,15,27,15,10,12
NM_001040125,93,108,77,56,43
NM_001101372,6,3,5,1,3
NM_138356,51,42,44,19,18
NM_001930,416,455,400,232,187
NM_138353,556,719,839,608,485
NM_138350,52,42,50,24,44
NM_001009881,210,308,210,170,180
NM_001282652,1429,1668,1418,900,708
NM_001282651,163,151,134,84,70
NM_001277,167,186,140,80,80
NM_001271,239,353,315,225,270
NM_001270,164,269,173,156,124
NM_001353942,281,253,192,127,144
NM_001334,19,21,18,15,15
NM_001278,164,231,184,153,153
NM_197966,206,258,195,134,102
NM_197964,5,5,6,2,2
NM_016001,438,511,491,325,287
NM_001349118,5,10,13,6,5
NM_021147,15,15,13,4,4
NM_021145,177,205,152,113,107
NM_021143,42,38,43,54,56
NM_001142285,429,616,502,310,251
NM_021141,2717,3991,2862,2160,1595
NM_001308142,105,66,60,28,48
NM_001308147,184,162,157,104,65
NM_021149,387,426,432,262,181
NM_021148,28,29,23,22,17
NM_012081,70,126,91,62,76
NM_012082,106,142,114,78,59
NM_012083,56,19,19,9,10
NM_012084,209,311,219,142,125
NM_001188,70,59,48,49,43
NM_012086,258,435,332,235,232
NM_001184,159,245,108,82,129
NM_001277291,13,10,5,9,8
NM_001183,328,374,387,209,163
NM_001182,154,191,154,97,83
NM_033446,29,21,14,15,11
NM_001322349,106,181,143,128,108
NM_178191,189,181,199,96,71
NM_001143887,36,77,56,47,47
NM_017822,233,342,337,256,253
NM_001024688,69,137,85,93,73
NM_030667,73,80,65,41,23
NM_001040709,81,78,57,48,47
NM_017670,579,559,573,343,280
NM_017671,30,36,26,15,20
NM_017672,78,116,78,53,68
NM_017673,29,36,30,24,13
NM_021727,152,197,261,184,138
NM_017676,14,7,12,9,9
NM_021724,15,18,7,9,7
NM_001042749,348,612,334,242,255
NM_001009555,62,87,59,45,34
NM_001009552,196,292,218,137,110
NM_001316332,15,33,28,17,12
NM_015571,124,208,155,127,116
NM_001984,109,165,131,86,75
NM_001987,55,70,65,49,29
NM_019852,300,305,238,154,133
NM_001983,729,804,728,448,332
NM_001982,212,192,121,96,88
NM_001174072,22,16,20,16,12
NM_019858,240,216,203,123,78
NM_001288718,24,45,34,22,18
NM_001135999,238,228,234,143,118
NM_178229,590,711,747,516,442
NM_000050,2445,2615,2364,1406,1168
NM_001135993,49,59,48,35,24
NM_000053,13,15,13,3,5
NM_144721,7,9,11,6,12
NM_015570,74,63,57,39,54
NM_001278503,590,856,655,394,377
NM_017908,157,139,143,73,65
NM_017909,89,126,90,57,59
NM_003239,91,84,78,68,64
NM_017902,75,101,94,56,48
NM_003234,480,697,493,342,314
NM_001011667,21,22,17,14,6
NM_017457,309,435,501,310,226
NM_017906,54,70,74,54,47
NM_017907,302,315,279,167,136
NM_203472,104,111,111,56,57
NM_004249,29,58,43,23,30
NM_004939,358,622,475,372,269
NM_001184986,110,94,84,52,37
NM_153207,160,188,160,119,108
NM_005371,99,97,116,65,43
NM_004933,1498,1692,2057,1362,1118
NM_153208,23,30,27,12,20
NM_004937,57,60,71,28,28
NM_004935,135,113,101,69,60
NM_001206572,6,11,10,7,5
NM_001017440,40,52,62,40,31
NM_001001410,511,522,456,313,278
NM_001142651,58,66,65,28,30
NM_198516,65,65,72,32,24
NM_198514,171,216,126,103,107
NM_006196,618,612,679,419,321
NM_000635,178,316,246,161,138
NM_000636,851,879,696,495,420
NM_001161334,129,275,283,153,77
NM_006195,202,308,240,159,140
NM_000633,16,6,11,3,7
NM_006062,375,445,405,290,282
NM_003581,524,568,548,348,303
NM_006067,303,323,270,185,154
NM_006066,376,472,393,269,227
NM_003588,165,235,172,132,111
NM_139178,61,87,85,46,54
NM_139179,150,217,198,106,111
NM_025138,28,34,28,13,24
NM_020459,4,3,3,2,5
NM_001206612,265,339,411,270,231
NM_013382,170,205,216,139,127
NM_001351455,108,158,111,70,84
NM_016333,684,789,738,472,547
NM_020452,1082,1050,1007,638,534
NM_020453,272,293,182,169,132
NM_001025,1251,1582,1164,796,574
NM_020456,14,30,24,8,13
NM_020457,555,447,363,222,166
NM_020455,135,163,122,89,75
NM_173517,114,99,70,43,47
NM_002982,25,33,26,8,6
NM_138568,4,4,5,3,1
NM_016500,26,27,16,30,18
NM_016504,242,272,204,151,119
NM_016507,525,668,593,330,301
NM_173511,92,58,45,41,40
NM_015160,587,692,607,430,286
NM_016442,194,210,154,109,107
NM_032211,370,379,323,221,208
NM_016335,1,1,2,5,3
NM_004780,35,48,25,14,16
NM_152405,43,65,37,43,45
NM_001278529,705,725,677,400,300
NM_006454,143,131,143,98,65
NM_015161,218,283,228,186,149
NM_001098525,56,118,74,60,46
NM_002185,5,7,6,7,3
NM_002180,129,129,141,106,76
NM_001308053,2,6,6,3,2
NM_001147,5,6,4,5,3
NM_001287533,8,30,28,16,18
NM_013366,305,358,403,282,257
NM_001039503,91,73,62,37,34
NM_001171162,515,487,434,283,245
NM_001314007,244,319,359,206,163
NM_013368,251,121,60,46,43
NM_005456,447,453,408,276,243
NM_001330377,34,45,37,21,34
NM_001330376,203,189,152,104,91
NM_138462,285,278,243,154,116
NM_014521,326,495,439,300,236
NM_001303474,14,7,4,2,4
NM_018489,416,526,386,290,307
NM_002360,56,55,57,31,44
NM_002364,34,32,41,20,15
NM_018176,27,24,12,3,8
NM_002792,2075,2232,2003,1219,848
NM_001256599,56,50,50,24,27
NM_024518,37,38,44,30,23
NM_001040118,480,444,410,257,231
NM_024516,270,242,217,124,104
NM_001007231,4,3,1,4,3
NM_024513,123,114,111,56,76
NM_001265597,80,84,75,73,54
NM_032408,1432,1805,1461,1032,874
NM_032409,203,233,225,161,152
NM_201555,154,229,201,121,94
NM_033201,206,289,227,169,131
NM_033200,349,320,405,260,269
NM_001308963,17,27,17,20,8
NM_033208,8,15,6,8,4
NM_001287140,57,56,52,34,36
NM_001282463,44,37,28,16,7
NM_001243351,123,163,141,103,83
NM_014672,155,167,116,79,85
NM_178012,131,170,152,93,82
NM_178422,55,55,65,21,25
NM_018158,191,251,221,176,143
NM_018159,20,10,7,6,1
NM_021934,268,233,184,100,81
NM_021933,381,355,352,198,175
NM_080750,4,1,1,2,2
NM_018150,496,555,556,332,254
NM_018154,494,406,352,209,168
NM_001134647,139,146,132,92,103
NM_021939,1321,1370,1427,936,690
NM_207043,70,92,81,56,36
NM_004713,62,94,66,56,52
NM_003379,981,1185,1086,728,568
NM_001105079,152,125,143,97,108
NM_014832,299,297,217,114,148
