AccNum,cdReads0_RPF_2,cdReads1_RPF_2,cdReads2_RPF_2,cdReads3_RPF_2,cdReads4_RPF_2
NM_014912,27,29,16,18,14
NM_014913,410,586,195,117,129
NM_014915,114,93,41,45,48
NM_014916,567,806,410,353,332
NM_001323949,129,169,94,51,65
NM_005022,4527,4501,1971,1196,1043
NM_005023,102,103,39,27,35
NM_005027,46,189,132,108,112
NM_005025,368,334,70,51,45
NM_001005333,3207,3698,1442,925,705
NM_004328,179,172,72,56,66
NM_001185095,23,27,11,8,13
NM_001005339,289,245,95,84,93
NM_177401,843,945,542,379,266
NM_022778,339,260,122,121,139
NM_001287435,45,55,46,22,20
NM_020899,38,38,28,14,9
NM_014371,484,503,300,299,319
NM_001002814,79,90,29,24,20
NM_022917,386,425,227,167,179
NM_001316951,114,108,62,36,29
NM_001042697,99,102,56,34,25
NM_001856,15,23,5,5,6
NM_001855,72,68,48,39,46
NM_001853,597,726,265,165,106
NM_001852,281,359,159,101,75
NM_001171623,64,72,37,28,35
NM_001322811,16,19,9,4,13
NM_001859,243,203,77,71,55
NM_001858,758,839,294,214,196
NM_004442,5,9,8,4,8
NM_013233,318,295,107,105,113
NM_001348002,13,9,3,4,8
NM_001111298,4,2,1,2,1
NM_001288645,11,10,5,7,6
NM_001354609,41,68,21,14,37
NM_001350989,46,47,22,13,21
NM_182663,26,28,11,12,9
NM_206862,594,811,446,303,259
NM_001204517,270,229,97,71,55
NM_153261,21,16,14,8,11
NM_001350984,198,251,158,98,77
NM_025248,52,56,27,28,22
NM_001148,479,515,198,164,162
NM_004319,34,41,15,11,20
NM_004318,401,442,164,146,171
NM_001286555,25,17,8,6,8
NM_001286554,28,32,14,13,13
NM_001300970,134,98,50,29,31
NM_001300750,12,13,4,6,13
NM_032038,196,281,186,112,96
NM_004642,230,205,88,46,47
NM_001330761,22,42,22,8,11
NM_001330765,140,144,90,56,72
NM_001201475,70,71,30,26,26
NM_001001548,1,2,2,3,2
NM_001291303,243,261,197,143,97
NM_001348341,305,290,82,52,44
NM_022902,65,73,23,17,15
NM_022903,75,93,34,39,14
NM_016183,382,439,189,156,120
NM_032445,10,13,6,7,1
NM_022908,203,261,143,167,164
NM_022909,203,227,91,42,33
NM_017858,339,262,92,64,60
NM_001320642,1186,1360,616,640,567
NM_001686,5982,5546,1938,1362,1270
NM_017854,308,370,173,109,99
NM_017856,38,30,17,11,12
NM_001687,848,880,360,216,195
NM_182931,218,278,130,159,163
NM_001351277,542,538,227,177,141
NM_025027,42,40,22,31,15
NM_001875,66,32,3,6,5
NM_001353259,598,540,161,123,120
NM_016329,51,83,21,18,29
NM_016320,1429,1710,632,464,436
NM_016451,1982,2119,807,502,438
NM_016322,762,831,349,212,209
NM_016457,226,250,122,116,110
NM_024993,70,56,38,35,32
NM_017777,121,163,76,75,63
NM_015989,14,12,5,4,6
NM_001354975,115,120,40,21,30
NM_015987,100,124,51,37,33
NM_015983,37,40,21,20,18
NM_138468,29,26,6,10,15
NM_017588,383,430,173,120,123
NM_138461,9,8,4,5,3
NM_138463,60,37,21,18,9
NM_017585,116,138,80,59,39
NM_017582,285,345,225,159,172
NM_017583,311,282,139,106,91
NM_017580,218,191,92,80,78
NM_138466,18,13,9,6,1
NM_000155,93,69,54,43,18
NM_000154,356,369,167,115,83
NM_001161581,113,108,45,34,31
NM_024036,17,33,40,21,10
NM_001287603,93,121,92,70,76
NM_001303405,180,152,50,61,46
NM_024037,76,57,21,14,15
NM_000815,2,2,1,1,1
NM_000817,17,17,10,5,4
NM_024031,59,47,44,38,29
NM_001352650,2294,2414,865,875,878
NM_000152,659,969,474,274,279
NM_001293237,449,410,172,148,195
NM_145276,17,14,5,7,3
NM_006640,3224,3699,1793,1513,1289
NM_001308231,28,25,7,5,9
NM_006646,30,31,5,24,16
NM_006645,34,28,24,19,8
NM_006644,902,894,250,168,166
NM_006649,235,248,96,74,67
NM_001317395,390,366,171,141,100
NM_001351580,374,354,212,221,188
NM_002940,666,671,228,166,166
NM_001166305,38,41,22,12,22
NM_001166304,49,56,12,17,22
NM_138802,146,145,80,44,39
NM_138801,101,95,42,25,17
NM_002947,407,401,202,137,109
NM_001184783,96,85,27,17,14
NM_001292018,117,124,55,77,63
NM_031420,411,428,186,165,156
NM_138809,78,53,17,19,21
NM_177983,1247,1449,667,563,476
NM_177980,2,3,2,2,1
NM_001172509,168,147,71,89,77
NM_001080543,302,412,282,280,210
NM_003255,1246,1668,1065,667,501
NM_139015,91,130,73,30,25
NM_001320410,6,10,2,2,4
NM_001242397,52,40,15,19,19
NM_001320417,163,148,43,26,21
NM_001324027,37,16,9,5,5
NM_001320415,26,23,6,8,7
NM_001123355,965,917,303,236,188
NM_021821,443,431,163,117,104
NM_003249,673,775,348,264,253
NM_021823,38,36,22,11,18
NM_021824,251,188,100,69,50
NM_001321532,26,25,10,6,1
NM_003549,18,16,9,4,4
NM_078469,1298,1158,444,396,340
NM_145858,110,92,35,38,31
NM_003546,623,865,526,299,198
NM_003545,10919,13937,8850,6094,3610
NM_003544,4646,6846,3866,2500,1603
NM_003543,4448,6026,4035,2869,1849
NM_003542,8611,11667,9575,6996,3451
NM_003540,7,15,5,5,3
NM_024613,82,62,13,19,12
NM_022304,6,7,3,1,4
NM_001260491,52,47,19,18,31
NM_002499,230,237,97,76,55
NM_001318872,56,40,19,17,17
NM_014748,489,469,171,125,128
NM_001286491,2,3,2,2,3
NM_014213,10,11,2,7,1
NM_014212,54,42,23,20,20
NM_014747,65,58,34,30,23
NM_014216,86,111,91,44,40
NM_014743,23,54,24,16,12
NM_014742,622,603,295,234,200
NM_005236,158,154,76,53,66
NM_005234,289,300,185,134,117
NM_005233,383,409,229,184,164
NM_152464,145,156,67,39,48
NM_005231,498,450,185,127,153
NM_005230,97,114,43,65,57
NM_032194,184,151,73,49,51
NM_018846,119,112,51,37,28
NM_005238,304,279,113,83,78
NM_001319652,187,200,77,61,57
NM_001319658,17,11,6,6,5
NM_001314026,77,58,22,19,18
NM_001330393,245,191,69,78,70
NM_052943,114,114,50,22,22
NM_052945,9,11,6,5,5
NM_052947,196,241,105,79,83
NM_001320875,149,210,69,61,52
NM_032830,843,673,268,205,181
NM_153711,72,47,21,13,13
NM_015175,110,168,90,68,59
NM_001204410,461,531,250,222,223
NM_032772,83,113,51,44,33
NM_032773,319,288,130,99,96
NM_015995,107,146,81,44,39
NM_032776,948,1059,362,343,325
NM_032777,13,18,11,8,6
NM_001145312,221,168,108,92,89
NM_001679,526,589,206,129,106
NM_001080826,61,92,34,33,23
NM_001318063,4,3,1,3,2
NM_015042,380,333,127,123,95
NM_001040177,34,39,18,10,11
NM_001352117,75,64,23,21,14
NM_018195,124,126,43,33,33
NM_212482,15735,17976,7056,5812,4589
NM_001098615,174,93,50,40,49
NM_022753,94,73,41,27,25
NM_022750,133,123,62,41,51
NM_022756,248,246,95,60,80
NM_153713,357,416,174,119,114
NM_001321478,54,53,25,23,27
NM_001033723,30,34,19,21,21
NM_015168,372,411,273,264,220
NM_015169,244,240,121,74,55
NM_018192,33,54,21,18,14
NM_001220488,1173,1199,414,284,273
NM_018914,6,4,3,4,4
NM_001306147,2028,2156,986,903,826
NM_015164,98,188,88,93,98
NM_018913,86,86,39,31,20
NM_020883,1,7,7,2,5
NM_001282866,22,25,5,9,11
NM_001329791,19,15,13,7,16
NM_014616,118,147,51,48,60
NM_001289936,139,216,156,88,66
NM_001282860,320,267,143,164,163
NM_019063,651,641,203,164,167
NM_001113567,21,21,9,11,6
NM_019066,338,260,108,92,76
NM_019065,5,7,4,5,1
NM_019069,22,20,4,5,6
NM_001310338,313,262,128,91,98
NM_014612,443,531,194,213,250
NM_001258394,199,224,118,113,99
NM_025099,75,81,26,24,32
NM_001258397,17,20,12,6,7
NM_005093,142,111,70,52,42
NM_001304445,246,171,82,54,40
NM_001178138,336,267,84,73,72
NM_001290326,23,103,72,53,29
NM_001278284,349,294,156,119,99
NM_001033081,17,24,20,12,8
NM_003350,249,239,76,58,58
NM_001281513,770,667,206,160,132
NM_001161404,2,4,3,1,2
NM_004126,763,742,331,189,141
NM_001329662,9,5,1,1,3
NM_001282755,215,163,48,49,47
NM_001353645,11,14,4,3,4
NM_001282759,442,436,164,139,135
NM_001448,7,5,3,2,2
NM_153717,20,38,24,20,24
NM_000317,71,71,45,28,23
NM_001304999,46,52,23,24,17
NM_000311,311,415,179,103,107
NM_000310,1327,1478,594,358,376
NM_030630,3,4,4,4,4
NM_001258026,611,657,224,165,119
NM_030636,6,12,5,4,4
NM_001350517,451,382,93,88,84
NM_001320252,35,30,18,13,18
NM_021221,13,16,6,4,10
NM_021224,381,287,148,172,177
NM_001033088,246,263,117,73,97
NM_002632,122,185,165,81,61
NM_138782,111,85,28,26,33
NM_138783,79,60,29,35,39
NM_138785,150,161,72,37,37
NM_001011724,42,33,10,9,10
NM_001270879,104,114,47,35,31
NM_017489,80,75,45,29,23
NM_001242597,193,249,115,70,68
NM_001321784,420,569,249,215,173
NM_001286184,72,96,55,47,40
NM_001303411,107,80,35,32,25
NM_003724,132,104,67,46,44
NM_006275,725,1019,439,252,252
NM_005576,242,369,302,191,126
NM_021047,29,24,16,6,12
NM_153498,70,73,41,41,46
NM_001330213,19,25,15,9,7
NM_173515,129,152,66,69,53
NM_173510,187,152,63,31,40
NM_001145001,477,479,215,182,192
NM_004781,250,256,111,79,69
NM_004782,238,267,113,71,64
NM_001193388,91,86,56,34,24
NM_173475,42,32,12,22,16
NM_004786,732,808,312,193,166
NM_004788,506,474,176,147,170
NM_004789,93,96,89,65,55
NM_001001933,83,97,61,44,47
NM_001330372,190,148,68,46,53
NM_001317968,44,54,28,22,21
NM_001317960,1337,1286,409,354,289
NM_001317963,305,270,104,77,63
NM_001304288,177,117,45,35,31
NM_006770,1,7,3,1,3
NM_001282805,1624,1433,508,467,487
NM_003378,153,198,144,121,97
NM_003370,510,648,299,226,183
NM_006253,151,198,105,82,71
NM_139321,675,674,288,216,175
NM_006256,601,624,220,197,216
NM_003377,26,23,9,11,13
NM_006785,129,142,62,34,29
NM_006782,140,159,51,42,52
NM_001145026,21,11,10,6,10
NM_001351643,52,107,66,81,81
NM_006788,146,171,75,90,85
NM_006789,15,14,4,5,2
NM_004874,164,146,87,50,65
NM_014298,838,776,336,222,206
NM_001320099,28,39,17,8,10
NM_004870,215,350,170,82,81
NM_004446,1498,1517,507,366,342
NM_002738,1,2,2,1,1
NM_001256024,13,21,24,10,11
NM_020198,1099,1094,360,306,318
NM_001330216,1054,1145,634,426,305
NM_000179,2956,2856,999,630,464
NM_001964,2641,423,455,474,879
NM_001199671,2125,2037,668,433,433
NM_004819,859,1035,533,419,441
NM_198149,23,36,11,11,5
NM_144666,8,6,6,10,16
NM_000170,34,39,15,10,9
NM_144660,173,153,65,33,31
NM_018994,109,96,61,40,33
NM_015475,322,313,124,117,111
NM_006435,1569,1557,694,494,384
NM_001317134,48,53,20,22,21
NM_003157,76,100,35,35,34
NM_006432,365,387,175,127,92
NM_001160210,1601,1357,548,467,370
NM_020319,188,201,72,51,40
NM_001197293,2780,1948,722,602,583
NM_001197294,1,10,6,7,4
NM_020310,180,197,69,65,64
NM_020313,243,260,107,63,72
NM_001206710,117,106,36,31,28
NM_020314,9,3,3,1,4
NM_004199,307,316,106,84,96
NM_032446,1657,1601,769,503,394
NM_052893,133,125,67,49,46
NM_001105539,253,239,121,80,76
NM_024032,157,193,105,70,43
NM_001271593,562,519,178,124,119
NM_005984,202,209,110,74,64
NM_014470,7,9,5,4,1
NM_145265,104,77,31,27,31
NM_052897,48,66,41,26,29
NM_022782,85,85,31,35,41
NM_002013,743,639,220,157,149
NM_001040446,109,114,41,38,24
NM_001040445,127,132,48,42,47
NM_001040441,83,51,24,9,14
NM_031286,1067,1055,416,270,257
NM_201433,1,1,1,3,1
NM_013245,437,507,258,169,142
NM_013247,398,444,228,145,124
NM_013248,129,125,44,26,29
NM_001039661,8,4,2,1,4
NM_005094,166,151,109,76,81
NM_006549,47,47,36,21,28
NM_014028,88,119,54,31,31
NM_001193511,154,98,44,40,41
NM_005760,798,672,259,264,245
NM_018216,227,206,108,80,72
NM_015375,125,164,84,78,61
NM_018214,265,243,108,90,83
NM_018211,174,189,66,61,55
NM_018210,73,115,58,37,39
NM_001271938,191,393,276,180,91
NM_005762,5392,7523,4883,3766,2268
NM_018218,165,160,50,57,81
NM_001166118,163,169,53,48,45
NM_002208,52,52,27,17,22
NM_002207,265,422,198,107,85
NM_016323,415,510,175,136,91
NM_001282232,457,365,111,89,83
NM_001134875,199,296,188,118,63
NM_152355,21,19,20,15,6
NM_001282236,20,13,11,7,5
NM_001292003,133,78,22,24,30
NM_001330698,458,449,190,214,211
NM_024419,251,257,114,88,80
NM_001287510,11,7,2,1,3
NM_002775,40,49,17,10,17
NM_001318792,140,166,86,54,57
NM_004041,291,220,108,105,101
NM_001318794,1361,1386,468,311,269
NM_002156,3376,3193,982,601,513
NM_145111,195,150,81,54,49
NM_001291953,44,30,11,6,6
NM_001560,169,157,58,34,33
NM_005099,40,30,13,17,6
NM_001291958,85,111,67,59,71
NM_002779,1,9,4,3,2
NM_001130020,386,321,87,90,109
NM_003683,333,349,200,153,158
NM_004045,279,272,130,56,54
NM_001130028,147,138,80,82,71
NM_004044,1893,1554,521,370,319
NM_033163,9,8,2,1,1
NM_001242875,666,559,217,152,127
NM_001349220,101,127,69,55,62
NM_001287060,147,173,64,72,66
NM_001330692,1057,966,386,301,302
NM_014680,183,226,102,105,110
NM_014681,176,235,180,151,112
NM_001568,2205,2300,958,588,538
NM_001353345,105,80,63,58,78
NM_014685,262,342,162,72,58
NM_014686,101,119,47,39,33
NM_030952,61,129,86,73,41
NM_001330311,72,103,46,37,49
NM_020879,3,6,3,7,5
NM_001353438,1,2,4,1,1
NM_080652,122,136,58,36,35
NM_006415,438,431,156,119,117
NM_080656,144,142,61,32,47
NM_080657,9,14,5,4,4
NM_001093729,86,91,44,38,31
NM_001345927,40,33,14,10,10
NM_001093725,161,177,116,84,66
NM_001099409,461,604,248,169,118
NM_033386,126,213,129,95,91
NM_000213,31,23,14,21,9
NM_001099402,377,469,203,176,138
NM_000210,619,615,175,123,121
NM_001110514,9,12,4,5,9
NM_003419,26,14,5,4,5
NM_133631,464,565,291,248,206
NM_001317980,105,103,38,21,25
NM_001278248,19,15,2,3,5
NM_032389,622,606,245,220,198
NM_014977,1730,1714,725,669,651
NM_001013838,65,72,34,21,26
NM_014975,36,40,19,20,10
NM_014972,376,513,264,190,182
NM_005005,1341,1420,502,333,311
NM_014971,11,21,9,4,8
NM_005008,955,899,341,275,261
NM_032383,84,100,42,37,22
NM_001005353,4,9,1,2,4
NM_032385,60,31,16,3,10
NM_177424,236,203,83,68,87
NM_018079,336,293,122,113,123
NM_004146,883,965,444,302,296
NM_018073,72,64,27,27,19
NM_018072,850,772,321,260,260
NM_015087,755,622,198,138,112
NM_176824,140,130,36,31,29
NM_001034853,61,56,19,23,19
NM_001034852,121,160,48,15,10
NM_001789,365,402,189,152,136
NM_004996,147,183,87,72,59
NM_001839,3422,4178,1514,1073,888
NM_181711,43,25,9,9,14
NM_001831,1265,1409,602,489,450
NM_001206950,661,668,418,224,175
NM_005763,208,196,75,52,51
NM_001330566,327,311,136,134,135
NM_015873,15,12,4,3,5
NM_174889,71,63,24,21,7
NM_001100119,93,104,66,35,36
NM_001288661,812,939,422,294,244
NM_001294340,548,601,267,179,175
NM_001348067,1206,1012,354,308,287
NM_182645,244,321,90,73,84
NM_182640,548,554,244,164,143
NM_182643,193,430,277,268,248
NM_001113347,743,884,389,272,290
NM_001354375,167,175,57,62,56
NM_020782,149,163,74,64,55
NM_021975,339,433,217,160,146
NM_017789,264,352,183,134,110
NM_004663,1217,1174,404,256,196
NM_004661,563,554,173,143,122
NM_004667,333,348,154,152,142
NM_004664,74,111,50,45,32
NM_001167,145,110,40,32,23
NM_001206482,2,2,1,2,3
NM_025222,436,527,267,151,119
NM_001161,49,52,13,11,7
NM_001321645,39,38,19,21,13
NM_001199469,15,7,2,4,3
NM_001317776,14,10,6,2,6
NM_001271208,4050,3597,1265,1339,1203
NM_001308384,47,57,35,15,24
NM_001143827,137,174,59,43,47
NM_001348322,1562,1309,548,546,591
NM_001143823,53,54,14,25,12
NM_001321648,429,353,129,111,88
NM_001143821,147,118,50,63,52
NM_000784,133,137,70,60,46
NM_000785,6,4,6,5,5
NM_000786,1055,1359,521,340,332
NM_017780,1148,1020,378,396,369
NM_000788,240,223,74,53,48
NM_000789,7,16,12,3,6
NM_017781,2,1,1,2,1
NM_001142483,96,70,30,21,23
NM_017838,310,317,133,87,83
NM_017839,37,35,23,11,11
NM_017836,95,109,63,35,34
NM_017832,87,125,50,41,42
NM_017833,11,5,3,2,1
NM_017831,1,3,1,1,1
NM_032802,63,79,26,17,11
NM_022117,150,135,77,95,99
NM_172070,661,766,323,222,268
NM_016309,112,103,60,33,33
NM_016308,551,601,205,158,128
NM_016307,33,41,25,29,13
NM_016306,500,530,191,140,114
NM_016305,92,75,33,15,19
NM_016304,128,148,60,43,46
NM_016303,565,425,132,84,77
NM_016302,261,269,125,69,74
NM_022873,167,183,89,66,57
NM_001354955,19,26,9,5,7
NM_015963,296,325,175,153,112
NM_015960,95,83,33,27,32
NM_001205029,8,6,2,1,1
NM_015965,2010,1989,1035,643,587
NM_015969,288,278,102,74,72
NM_024295,391,375,147,90,79
NM_153809,22,20,14,15,13
NM_001284325,353,373,172,105,94
NM_138447,77,71,47,27,35
NM_138446,216,236,103,66,79
NM_138444,338,401,233,157,151
NM_138443,173,157,63,39,36
NM_138442,592,512,228,203,172
NM_138441,229,185,67,61,56
NM_138440,47,68,63,38,29
NM_181515,94,122,52,40,48
NM_172251,338,333,136,87,93
NM_001199282,751,706,241,177,186
NM_007313,439,799,483,408,395
NM_007314,448,559,238,188,201
NM_001143674,149,153,44,45,23
NM_001136534,192,156,73,50,61
NM_001136537,33,27,13,9,21
NM_139199,508,455,185,213,284
NM_020654,129,71,24,27,44
NM_001024660,11,16,6,11,6
NM_145803,108,126,59,38,27
NM_001032280,7,7,3,2,6
NM_001032282,308,496,214,167,147
NM_001032283,1191,1235,476,344,252
NM_015201,212,219,171,113,73
NM_020650,792,835,454,302,236
NM_001350912,26,8,7,7,7
NM_001350145,17,11,6,3,6
NM_001330057,277,296,133,192,165
NM_002923,493,409,173,111,104
NM_031157,426,402,128,107,88
NM_002921,6,3,1,2,1
NM_003514,4008,6111,3162,2132,1464
NM_020959,91,108,43,37,36
NM_002928,812,512,173,144,149
NM_024315,76,127,48,24,32
NM_001080522,96,102,47,51,44
NM_002158,526,417,166,106,109
NM_024310,20,8,3,4,4
NM_024313,116,125,58,55,49
NM_024319,155,168,114,91,68
NM_014043,71,94,35,28,33
NM_013349,158,165,77,61,36
NM_001283041,24,55,30,24,20
NM_020950,17,14,16,13,11
NM_020957,315,317,149,97,70
NM_020956,7,11,10,3,7
NM_001171941,91,111,62,44,42
NM_138389,394,336,127,98,87
NM_175709,6,7,4,3,3
NM_003525,1318,1889,1033,697,496
NM_003524,2645,3904,2146,1499,967
NM_003527,1893,2552,1383,969,546
NM_003526,1848,2266,1434,976,536
NM_003521,1752,2800,1474,1166,746
NM_003520,843,1083,535,427,253
NM_003523,396,543,336,261,192
NM_003522,1365,1861,1135,781,448
NM_025241,199,233,121,172,138
NM_001080435,52,39,18,23,15
NM_003529,1968,2721,1541,933,601
NM_003528,1143,1702,932,663,371
NM_015188,21,32,20,13,15
NM_001350141,94,48,31,18,22
NM_014763,664,678,235,179,190
NM_014762,770,964,468,313,308
NM_001001323,608,1016,378,283,243
NM_014760,43,82,38,37,34
NM_005259,2567,1663,502,356,320
NM_014765,264,280,155,105,71
NM_014764,308,252,78,63,84
NM_005255,283,397,206,155,131
NM_005257,18,22,12,5,6
NM_005253,283,275,132,102,85
NM_005252,893,110,196,218,223
NM_152447,25,70,41,25,22
NM_152445,58,54,28,20,21
NM_006099,231,286,139,88,86
NM_032177,361,366,156,123,129
NM_152441,28,54,39,19,20
NM_032175,272,261,116,82,52
NM_032178,156,132,95,74,48
NM_152449,28,24,5,2,5
