AccNum,cdReads0_RPF_1,cdReads1_RPF_1,cdReads2_RPF_1,cdReads3_RPF_1,cdReads4_RPF_1
chrE,3702,3578,36334,57593,61457
NM_017847,93,62,49,37,39
NM_001143986,4,2,2,1,1
NM_001003803,81,83,71,46,26
NM_001003800,501,389,284,257,230
NM_016649,69,52,41,26,26
NM_016647,132,89,73,56,33
NM_016644,19,15,12,4,7
NM_016640,281,216,128,100,97
NM_003279,148,101,59,47,27
NM_001304467,20,18,18,5,8
NM_001080825,38,31,22,21,17
NM_001008781,578,413,399,392,340
NM_002223,22,14,19,9,10
NM_001253384,119,90,28,21,25
NM_001145313,15,10,6,3,8
NM_003363,184,171,140,103,84
NM_207118,85,72,53,18,23
NM_001282735,1039,878,690,689,587
NM_001282730,128,122,89,71,58
NM_004109,78,71,21,26,15
NM_004101,28,31,28,17,23
NM_007101,42,38,23,16,10
NM_007100,289,218,167,85,84
NM_000485,432,355,257,160,112
NM_007108,1140,894,433,320,283
NM_016643,68,41,34,31,19
NM_001350532,117,86,80,46,34
NM_001350531,9,4,5,2,4
NM_001350530,254,242,153,101,115
NM_014177,86,57,23,23,30
NM_020992,47,40,25,13,15
NM_005802,193,94,71,48,45
NM_003824,147,111,78,54,45
NM_003825,212,165,76,59,51
NM_003826,154,120,87,60,40
NM_003827,568,533,322,168,198
NM_003820,4,1,3,2,3
NM_003821,56,62,29,29,19
NM_003795,409,341,165,104,98
NM_003823,2,1,12,8,5
NM_012181,720,470,283,205,209
NM_012180,37,19,16,13,7
NM_012183,8,6,3,2,2
NM_001018088,96,55,53,55,46
NM_020437,31,19,18,12,12
NM_020733,117,154,96,71,66
NM_020731,24,22,32,26,17
NM_001025780,90,40,40,30,23
NM_001300829,1327,882,378,272,279
NM_002224,262,266,340,308,269
NM_175856,39,37,28,17,23
NM_001688,623,493,286,198,189
NM_014171,172,114,93,45,45
NM_001867,479,436,201,111,86
NM_144643,66,47,36,26,27
NM_001161546,362,263,137,104,67
NM_144641,30,28,12,11,14
NM_000159,170,129,96,58,55
NM_000158,141,96,66,63,51
NM_021020,497,570,524,294,237
NM_021021,356,385,228,140,137
NM_001347869,20,20,13,7,14
NM_021025,16,18,11,6,7
NM_015225,93,78,40,29,36
NM_001143679,129,86,36,36,22
NM_001297658,148,134,71,55,34
NM_001286495,7,5,7,3,4
NM_023009,3194,2830,1436,1013,854
NM_173531,71,43,24,31,24
NM_001286499,18,16,16,22,18
NM_001297656,621,463,320,257,282
NM_006885,199,275,320,234,174
NM_002226,230,252,274,120,120
NM_001282864,16,13,13,7,5
NM_152695,22,14,5,15,10
NM_015259,21,18,23,9,10
NM_001319119,287,265,160,99,109
NM_001193653,228,155,122,83,44
NM_182976,252,184,123,105,119
NM_006270,152,121,53,38,25
NM_006271,16,12,6,2,4
NM_003356,1,1,2,3,3
NM_003355,70,87,113,67,40
NM_001002030,160,115,65,52,59
NM_001170704,39,32,14,19,8
NM_003358,726,604,401,259,305
NM_003359,330,186,127,85,104
NM_004813,120,87,68,45,32
NM_004814,948,764,454,317,282
NM_004815,50,67,44,37,52
NM_020199,225,179,109,50,57
NM_004817,240,157,135,102,96
NM_004818,220,166,125,139,127
NM_020196,912,749,736,538,372
NM_020195,151,131,75,44,48
NM_014314,97,51,35,24,34
NM_020191,270,217,140,91,91
NM_001303098,41,49,36,25,26
NM_005663,394,331,162,112,94
NM_032961,168,161,122,109,73
NM_001303095,111,106,76,44,48
NM_001303096,365,243,202,175,153
NM_014313,168,168,79,58,47
NM_003688,117,104,68,58,63
NM_003689,359,281,132,86,96
NM_003680,576,529,287,194,191
NM_003681,259,250,168,122,85
NM_003682,220,178,147,115,98
NM_003684,87,76,41,48,45
NM_003685,2136,2264,1099,983,958
NM_003687,543,522,318,249,176
NM_006416,22,20,21,18,14
NM_006417,196,123,99,68,61
NM_003172,120,114,65,54,31
NM_001324229,19,12,11,6,6
NM_006411,176,192,96,68,71
NM_001128844,2653,2527,1882,1532,1300
NM_001127325,254,256,183,105,80
NM_001127322,502,307,149,131,122
NM_002460,5,2,2,2,2
NM_001098398,955,640,500,440,308
NM_001257360,674,578,487,311,220
NM_002887,378,283,203,137,139
NM_002886,100,97,80,47,34
NM_002881,214,151,92,59,58
NM_001346791,115,91,42,28,38
NM_024298,322,295,256,148,108
NM_024299,581,392,164,114,103
NM_001323684,108,110,84,36,41
NM_024292,422,353,238,122,99
NM_024293,144,177,114,81,62
NM_024294,243,143,72,68,72
NM_002014,689,505,286,222,191
NM_024297,148,89,56,42,47
NM_001077269,268,266,133,109,84
NM_032505,10,4,2,4,6
NM_032504,11,27,27,24,27
NM_032501,94,68,41,29,22
NM_001469,1069,698,353,294,288
NM_032508,33,27,27,18,7
NM_002010,8,4,3,2,1
NM_004104,7011,5944,4770,3622,2374
NM_001077268,88,70,27,35,26
NM_001303115,674,646,385,304,298
