LIST_1	LIST_2	LIST_3	LIST_4	LIST_5	LIST_6
IQGAP1	TCF12	FRMPD1	MMP14		P3H1
CLIC1	DYNLRB1	PAPOLA	TGOLN2		RNMT
CASP8	RHOA	VPS13D	JAM3		RFX5
VIM	MRPL24	MARK4	UROD		ST8SIA5
AGPS	DDB1	NF1	DOLPP1		NOP56
YBX3	DES	ARHGEF10L	SLC25A4		MAD2L1BP
DRAP1	PEMT	FRMD6	PRRT3		MAP3K6
CAMK1	PNKD	FAT1	PPP1R35		THSD1
UTP6	ARF3	FRMD4A	TMED4		RPL30
MCM3	RAB2B	ABCC10	CD276		USP6NL
CHN1	TIMM29	DLG4	POLD3		C1orf216
SPRTN	CCT2	PKP4	USP39		SS18L1
RAD51C	ERG28	SUPT6H	RAD23B		CDK16
HK1	BLMH	C11orf24	GSS		CCNA2
HCFC1R1	YWHAZ	ACOX3	SIKE1		CBR3
HP1BP3	GRPEL1	EIF4G2	CHTF8		SUV39H1
CNOT2	MVP	ERC1	SNAPC3		CALD1
PSMC5	FAM213B	ARHGAP32	GNPDA1		NRG1
ZSCAN9	IRGQ	IL17RC	OPN3		GTPBP2
C11orf80	CD46	ETS2	HEBP2		RAB24
RAD51AP1	PCMT1	SPRED2	RBBP4		BNC2
TIPRL	PDCL	SFMBT2	RTN2		FAM46A
CELF1	HNRNPUL2	ZNF629	HIST1H2BK		MED18
SMARCE1	TMEM18	PPP1R9A	ATRAID		DUSP6
GINS1	C3orf38	MFSD14B	JMJD4		SYNJ2
PRPF38A	RAB29	FBXW11	YDJC		SENP3
ASCC1	PRMT5	KDM2A	CDC20		PHLDB1
ADAM9	MORF4L2	CENPA	PCOLCE		DDX24
DLD	DCXR	EXO5	TRIP6		ATP13A1
DDB2	XKR6	ADCY9	NOL3		SDF4
TPM1	ST3GAL4	TAOK2	RDH11		GMNN
ANXA1	LASP1	GTSE1	APH1A		PDCD11
RAP1GDS1	PTGES2	TTF1	IL27RA		ETNK2
TTC1	PUS1	FNIP2	VWA8		NFKBIL1
DNAJC7	GSTM3	FAM217B	JOSD2		POLR3E
SAP130	MAPT	FAM160A2	BNIP3		SNTA1
SAMM50	LONP2	CLOCK	BYSL		SNRPC
SRPK1	RBM4B	TUBGCP2	C1orf198		NECTIN1
ERI1	LIN7C	ZZEF1	SHOX2		NEDD4L
DDX31	PPP1R18	RASA3	PLEKHH3		FBXO22
OSTF1	ASH2L	PRPF6	NUP210		RANBP9
NUMA1	EIF4A1	MED8	RNF149		XPOT
KPNA2	EIF2S3	SYNGAP1	LRRC41		IGFBP3
MAN2B1	RPS19	USP30	DOK1		PPP2R5C
R3HDM2	XPNPEP3	AKAP10	MRPS5		XXYLT1
ATP1A1	NPM3	MYRF	CDKN2D		TNS1
NSMCE1	NANS	GOLGA1	CHEK2		VSTM4
BCL2L13	MIS18A	SH3PXD2A	CTPS1		CDH4
EEFSEC	CRLF3	DYNC1H1	CTNNB1		SUCO
ZCCHC2	PDIA6	ZCCHC8	SHARPIN		NEK2
CABLES2	CDS2	GTF2H1	SFXN3		GTPBP3
ADAR	ALDH18A1	MCF2L	MED25		YTHDF1
EEF2	MYL6	PAM	ARPC5L		BTBD2
CCT3	VCP	DIDO1	SCAF8		CAMKMT
ZFP91	UBAP2L	ST5	H2AFZ		CLMP
ARHGEF7	THY1	ADCY7	GYS1		GPAA1
CLDND1	STAT2	TXNDC12	FAM57A		ASB13
GFPT1	SAE1	KLHL22	HAGHL		YWHAB
AP3M1	SORD	WBP1L	RGS3		RPA2
ATP6V1A	ATP5F1A	GPR137	ICMT		TACC3
UBE2G1	UMPS	ZNF687	BHLHE40		MAPKAPK3
FBXL17	ASB8	PEX26	LAPTM4B		IGBP1
DMD	COG4	REPIN1	MLST8		GTPBP8
C8orf33	NFKBIB	MLLT1	GPX7		OSBPL3
TMEM11	NID1	ZNF521	UBAC2		CLEC16A
CYP2U1	DUT	ZNF764	TP53I11		CLUH
NR1H3	TXNDC5	TECPR2	GPRC5B		ZEB2
PACS1	LDHB	PCSK7	EXOSC4		PERP
GLS	SFXN4	SPSB4	FNBP1L		PARP8
DLGAP4	TECR	MAGI3	RETSAT		TWISTNB
CLK2	PSME1	PDCD6	CHEK1		GBF1
TGFBR3	TSPYL1	OSGIN2	ABHD11		RMND5A
GPATCH4	CALR	MDN1	TTYH2		VPS39
SF1	GINS4	GPRIN1	APPBP2		MCM10
CPSF6	RNF212	CNST	GIT1		ADAMTS12
ZNF131	CBL	CHD3	FBXO17		EML3
VPS33A	DPM1	GAREM1	PHPT1		ACP2
KIF20A	SCP2	MMADHC	CAB39		ZNF398
GLTP	MAP2K1	MTSS1L	MRPS34		ADO
CFLAR	ADIPOR1	TMBIM4	TRAM2		ALDH1B1
BTRC	DHRS11	C20orf194	SYF2		ADD3
SIMC1	RAB1B	ABCC5	RNPEP		PCBD1
USP20	SLC25A28	CNNM2	CROT		IWS1
HEXB	GATD1	PTCH1	Sep-08		HMGB2
SORT1	RBX1	ZSWIM9	ERLIN2		FAM216A
SNW1	CLCN5	DDX41	ZNF593		HSPA8
B3GALNT2	PFN2	HDAC4	R3HDM4		GTF3C5
EIF2S3B	VKORC1	MARF1	DCTD		ZDHHC7
FNDC3B	RNF126	TMEM2	JSRP1		GNE
RUFY3	RRM2	INTS13	ZMAT2		FERMT3
NME6	GHDC	NCS1	Sep-03		MAP4K3
TBC1D13	UBE2H	FEM1A	TMEM14A		PDE4D
EXOC4	COX6A1	CAMTA2	PRPF19		EDC4
TMEM214	POLR2D	TCF19	PI4K2A		FAM193B
RARS2	LAMTOR2	DAXX	IGFBPL1		TM2D1
PSMG1	TRPC4AP	DCAF6	HEY1		METTL9
RABGAP1	PAXX	HMGXB4	NT5E		FOXJ3
ESYT2	PEBP1	ZWILCH	EXOSC6		COPS4
COASY	MUT	ITPR1	BIRC5		PHLDB2
PPP5C	SUSD1	RABEP1	C1orf123		MFSD2A
PRDX3	DEF8	ELOA	QRICH1		SLC35F2
RBM28	GSTM2	STK40	CST3		ZMYND8
ACTN4	PSME3	KMT5A	EFEMP2		RFFL
GTF2F1	CDC42SE1	FYN	PES1		RGS12
OGDH	COX5B	FTH1	FLNB		NFIX
CALCOCO2	COX6B1	RBM48	NAGLU		FANCE
ANTXR1	DBI	SGMS2	JPT2		PPP1R12A
AP2M1	CCDC28B	OLFML2B	MTHFD2		DPH2
TMEM63A	BAG6	CHDH	RBM38		TNIP1
KCNQ5	ATP2A1	DVL3	HDHD5		WAC
GTPBP4	TMEM135	ZBTB7A	PDE12		TJP1
OXA1L	RPS2	PHF12	CMTM6		RPL3
TTF2	ESYT1	CEP95	LMBRD1		AMD1
SLC25A5	NBR1	TAP1	PIMREG		DDX52
DCAF11	NECAB3	NAV1	ATP5MC1		HIPK1
STYXL1	ARF1	FAM219B	ATF1		EBNA1BP2
SHCBP1	DDX51	DENND5A	APOL6		ECSIT
VRK3	RACK1	ZDHHC8	MB21D2		PRDM8
MRPS7	NONO	GLIS2	KLHDC8B		RUFY2
ARPP19	RTF2	ANKLE2	PLBD2		NFAT5
HADHA	TPM2	C2CD2L	TAF10		FBXO25
RCOR3	AEN	MTX2	SRC		H2AFX
LIN52	UBE2T	PRDM4	PPARGC1B		DNAJB5
PRCP	GMPPA	NFYB	SSR2		METRN
UQCRC2	UNG	INPP5A	DCAF4		CHMP6
RAB3GAP1	ARL8A	LRRC4B	ZNF805		LRPAP1
ACAD11	SAR1A	DOCK1	NOC2L		DYSF
ZNF526	SLC11A2	MCM3AP	PHF19		RP9
MYD88	C1RL	RFX7	NFYA		AGO2
NPC1	GLYR1	KLHL36	FBL		IL4R
EPB41	VPS4B	NCOR1	HUS1		HLA-F
NTHL1	SPR	NCOR2	PSMB8		COQ2
EP400	C22orf39	MAML1	ATG14		CEP128
NRDC	CUTA	TBKBP1	PHB		PLCB3
RFTN1	YAP1	LRIG2	TCP11L1		SARM1
OSBPL5	PARVA	KIF26B	FBLIM1		ADAMTS15
SPATA6	LEPROTL1	MGAT5	APMAP		CHD4
RBMS1	NDUFS7	WNK2	KLHL18		MKNK2
COX10	PDLIM5	RHOBTB2	RTN4		ASL
WDR20	RNF146	WNK1	CDK5RAP1		SENP2
NUP205	FAM210A	RAD54L2	NADK2		TTC14
COPS7B	GATC	IGSF9B	GGCX		CABLES1
NDUFV2	ACP1	EPS8	HEXA		RUNDC1
PCBP4	ANXA5	SVIL	RNF7		CYFIP1
SLC37A4	ANXA6	FGFR1	TBCD		AKAP13
GYG1	NUP88	TGFBRAP1	TMEM209		NOLC1
ARHGEF6	PET100	TUBGCP6	C20orf27		CHERP
KIF1A	SLC2A4RG	TOR2A	RUVBL1		PPP2R2A
GTF2E1	MED28	EXTL3	ATP6V0C		ZNF768
PFKP	HMGA1	URB1	ATP5PO		ATRIP
ARMCX1	DTL	HCFC1	WDR61		SLC4A2
MORC2	PRKCSH	NADK	EPOR		TMEM237
MON1B	SP1	CCNI	YIPF2		ATF5
CLASP2	C19orf70	DGKD	FKBP5		SNX29
TULP3	HNRNPH1	UNC13B	UBE2N		TRIM62
SF3B2	DHX15	RBSN	GYPC		SLC4A11
PRKAR2A	PTPMT1	INPPL1	TM9SF1		LDLR
NUP107	CANX	NOTCH3	PROCR		HOXA13
DERA	TMEM258	RNF34	PRDX4		TTLL12
CAPZB	DNTTIP1	ELMSAN1	ATE1		RASA2
ZNF549	PYROXD2	SPATA13	MAF1		PRSS23
BSCL2	PGD	AGAP3	GSKIP		STRAP
ZNF304	FAM207A	ADGRA3	TCTN3		FOXP4
GEMIN6	NUBP2	SSX2IP	MTR		TNFAIP8L1
ST6GALNAC6	APLP1	EHHADH	SLC9A3R2		SLC25A46
FCHSD2	NMT1	RABEPK	MAPK8		GGH
AASDHPPT	UBIAD1	SDCCAG3	ZCRB1		SLC50A1
SNRPD1	PMP22	ZBTB20	RRP36		C7orf26
CSNK2B	MRPL55	C2CD2	PDK2		SPATA5L1
DKC1	PITPNA	NFATC1	SFXN5		MORC3
SH3KBP1	PIN1	BDNF	PPID		ATP7A
LPGAT1	CHMP2A	BMPR2	ERI3		ITPKC
GNA13	S100A4	PRDM16	RNF44		ZNF668
ACTL6A	TXNRD2	ABCA3	SDHAF2		BCAR3
CTNNBL1	HNRNPD	PWWP2B	MRPL16		OGFOD1
ANAPC15	HNRNPDL	PCNX1	TMEM127		CORO2A
SF3A3	LRRC42	ARHGAP35	SLC31A2		AURKAIP1
STARD3	FBXO21	EIF2AK4	COX7A2		ZNRF2
PRC1	ELF4	AKAP6	MTMR1		LGR5
NARS	DLST	C5orf34	TSEN15		CBX4
MOCS2	KHDC4	FAAP100	MRPL44		PTPN12
BTBD10	ATP5MC3	PTPRF	TSPAN14		NCL
TARS	CKB	EIF4G1	ORMDL1		RXRA
ADAM17	HSD17B4	CELSR2	GLOD4		ASCC2
ZYG11A	GABARAPL1	HDAC10	ATP6V1D		B4GALT1
NELFE	RFC3	UTRN	MED29		C19orf44
ABCD4	SHMT2	ZSCAN29	ACTR1A		IER3IP1
RPL18A	VPS72	FGFRL1	PSMA1		TMED8
DCAF5	AAGAB	PPP1R14B	RPN1		USP33
ASNA1	EEF1G	UBTD1	DCTN3		RBM34
GNAI3	ADGRE2	EPDR1	DHX40		SPCS3
TBC1D2B	STOML2	ZKSCAN5	OPA3		PCYOX1L
PARN	ACD	MTA1	EMC10		CLPTM1L
PBX2	ALDH2	DAGLA	MAGEA11		TTC27
IPO5	STX18	ZBTB18	MLEC		ARHGAP24
STK32C	ORMDL3	TMCO3	CHMP7		DUSP11
CD47	KDELR1	SLC25A39	OTUD5		PRKD1
ORC1	TUFM	RBM8A	OBSL1		RPP40
MRPS33	TALDO1	E2F5	MRGBP		PAK1
PPHLN1	DDX11	RASGRF2	PCDHA4		SPIRE1
PSPC1	C1orf122	TBRG1	PTOV1		UBAP1
METTL13	ELF2	PDE4B	RAC3		PRKCA
CXXC1	RPAIN	SOGA1	UQCRC1		UXS1
PHLDB3	SUMO3	NOL10	FAU		COLGALT1
CRELD2	STXBP1	ALDH6A1	NFIC		CENPV
SIX4	CALM2	HOOK2	FOXO3		HS6ST2
PIK3C3	CARD19	PDE7A	MLF2		MTG2
ASXL2	EPB41L3	CDK5RAP2	CANT1		ZFHX4
ZFX	ACTR3	CRACR2A	NEMP2		CKAP5
CNOT10	ANKZF1	ATN1	PFKL		RBM10
UBE2C	HS1BP3	PPFIA1	SIVA1		LRRFIP1
DARS	NXN	RNF216	CCT6A		TMEM203
COQ10B	ENO1	EVI5L	GRSF1		RBM33
SENP1	PDZD11	HMGXB3	NDUFB2		COMMD7
TFG	PIGT	WDR26	CD82		STX3
HMGB1	DNPH1	IRAK1	BOK		EIF2B1
RAPSN	ATF6	WDR62	NSUN5		WASF2
PRAME	IMPA2	PLEKHG5	CYP26B1		TUBA8
VAPB	EFHD2	KIF13A	PLEKHJ1		ACTR8
DCTN1	CLEC2L	SPEG	TRIM47		EXOC6B
ERLIN1	SRSF1	KDM5C	CHMP4B		TIGD5
PCSK1	CARHSP1	SBF2	COL2A1		SPG21
UGGT1	HNRNPF	C1QTNF1	COL4A2		ALG8
GATAD2B	MCM6	TRIP13	BTBD1		ARL16
YBX1	MRS2	NAB1	CACUL1		CPPED1
SRP54	NSMCE2	PPP4R2	SPOCK1		RPTOR
TCOF1	WDR41	CPNE2	GNB5		ATF4
IPO9	SCRN1	PYCR3	FOXK1		CDYL
RNF13	PIGC	TICRR	USP22		SOX11
TWF2	DBR1	GPAT4	SPINDOC		GPR161
KDM5B	RPL8	DGKZ	SLC9A7		ZNRF1
SLC16A1	AHCY	INTS1	RING1		RNF215
GNL3L	DAD1	ZNF638	RNH1		YIPF3
MED21	TLL2	RTL6	RILP		SRF
UBA3	TMED10	TRAPPC8	RPS14		PELP1
VPS8	ACOT2	UBP1	KIAA1671		STX10
CTR9	NDUFS3	DDHD2	RIMKLB		ANKRD13C
PUM1	SPP1	ZNF839	USP5		PLOD3
ORMDL2	COPS7A	AFF1	ATPAF1		SP110
MRPL22	ATP5MPL	C12orf29	HDAC7		DHRS13
SLC25A12	ARFRP1	TANC2	UVSSA		ORC2
STMN1	GABARAPL2	MAP3K3	AAMP		NECTIN3
XRCC4	NEU3	PUS7	MCFD2		CPT2
BORA	VIPAS39	FAM171A1	MRPL51		UFC1
CISD2	LBX2	MAP4K4	CORO1C		RNF14
FANCD2	GNB1	BAIAP2L1	KLHL15		GLRB
STX4	KISS1	MCM8	BHLHA15		SSBP3
KIAA0319L	VPS28	WWP1	JAM2		EIF2AK2
TNPO3	RCC1	PDZRN3	NDUFV3		SYTL3
C9orf78	AHCYL2	CEP112	PAIP1		RINT1
PIAS4	UBFD1	COL12A1	OAF		EIF2A
ATAD3A	CBFB	NEFL	PON2		POLR3H
ZNF700	POP5	PHF20	NAA30		TNRC6B
NCAPH	RDH13	IGF1R	APTX		ZNF490
C1orf112	COQ8B	POMGNT1	MAZ		KHNYN
IGF2BP2	UCK2	ZYG11B	GLA		PCDHGA9
SRP68	HM13	REEP4	TIMP3		VPS18
MIPEP	CLPP	LRIG1	SNTB2		PCDH18
HAUS8	TOMM40	MSL3	UNC119B		NDE1
ATP6V1E1	PFDN1	XPO6	ITGB1		B4GALNT1
DUSP13	PFDN5	AKT1	ALDH16A1		SLC25A17
CHIC2	GAR1	KEAP1	PALLD		PDE4DIP
PSRC1	TFPT	HPSE	PRMT2		MAP2K2
TBCE	GSN	BTBD6	DLAT		OTUD4
TBX15	DUSP12	SRCAP	RHBDD2		PGPEP1
NEK9	SAT2	TMTC2	ZC3HAV1L		ATP6V1C1
EIF2B3	NMD3	ARID1B	CDCA5		SCAF4
KCNH1	PTPA	ZSWIM8	CORO2B		MBNL1
SERINC3	PLEKHB2	PKN1	CDK2		PSTK
PAX3	TFPI	SNX33	CHST14		NMT2
SUB1	ERP29	YLPM1	TRAPPC5		CIAO1
FLII	RGP1	TMEM104	ARAP3		COX6C
EIF3K	IFI30	COP1	SPHK1		CD3EAP
ATXN10	ECHS1	B3GNT7	GUSB		HELZ
UBE2D1	SZRD1	HTT	DDX55		SUPT5H
DHRS1	NAA10	APBA2	ARL1		GEMIN7
EIF2S1	MCRIP1	WSCD1	DNAJC5		CPSF1
CAPRIN1	EIF4EBP1	TBC1D16	RFWD3		LRWD1
NEDD9	RFXANK	IFT122	NOSIP		KIF1BP
RPLP0	NEMP1	CCDC92	MRPL2		ARPC2
NFU1	CRCP	ZNF276	CTHRC1		SCAMP3
ACO1	LPCAT3	ME3	SEC24D		SAMD4B
NFKB2	TRAPPC4	SHROOM4	TMEM43		TRIM11
MBNL2	ALYREF	C3orf58	PPIL2		PAK4
FTSJ3	SWI5	TYRO3	CDC25B		ULK3
PIP5K1A	NAA38	PRKCE	ZNF511		PLK1
ICAM3	ADH5	PRRC2B	HIST1H3D		POLRMT
PIGV	COPB2	ADAM15	RELT		DLGAP1
SLBP	NAF1	SDK1	RFNG		ATP6V0B
SYNPO2	PTGES3	WDR24	KIAA0141		PIAS2
FADS2	CTDSP1	RBM15B	ATF2		BRF1
COIL	ACTR5	INSR	INA		GATAD2A
CBLB	PDCD2L	MLXIP	PLP2		TTYH3
CUL4A	C21orf33	KIAA1958	PLD2		DGUOK
PRKG1	MAP3K7CL	PPP6R1	ZNF473		KCTD20
PDE9A	TFE3	INPP4A	PCID2		TRIM16
DNAJC8	ABHD12	C2CD3	ZNF460		TSPAN9
MTHFD1	MRPS6	URB2	SLC5A6		RPS27A
CTTNBP2NL	HAUS4	MEX3D	ISG20		RPS6KA1
RPL13	PDE6D	ULK1	NME4		DNMT1
PAPD4	EXOSC2	STIL	C19orf24		SETD6
ILF2	NOMO1	UBTF	SEC61B		HIST1H2BD
FAM20B	NCAPD2	SULF2	MYL6B		TM2D3
ZNF506	HLA-A	ZNF598	RPE		ABRAXAS2
SERGEF	RSU1	RNF185	TRMT2A		ANAPC4
NUP160	SLC30A6	REV1	ACVR1B		TMED2
SLC25A3	NPTN	DYRK1A	SLC26A11		CERK
FAM50B	SEC14L2		CCND3		CNTN3
SF3B3	ETFB		SHPK		TOMM7
RPL13A	BEX3		GNL1		PRSS56
SRA1	ALPL		ARL6IP4		BCAR1
SMAP1	AK1		INPP5B		TLE4
PDHA1	RNF187		PBX1		WDR43
DHX33	TRA2B		UCHL3		RBM25
PDSS2	NCSTN		SIGMAR1		KCNMB4
SF3B1	MDH2		NOC4L		FH
TBP	GTPBP1		C1QBP		HIST1H2BJ
CENPI	PA2G4		PPIF		SMC1A
KAT8	RNF214		EMD		LONP1
POLE2	RBBP9		ARPC1B		RPL4
MDH1	CSTB		QARS		STK10
MCM4	MOAP1		TSPAN3		OGFOD3
MLLT10	FAM229B		DUSP4		SLC35C2
C7orf25	CDT1		DPP3		FXR2
MYPN	SCRN2		RAB4B		TEPSIN
PAICS	BOD1		VTA1		CRAT
PTGS1	ACSS2		TRMT6		SSRP1
ARIH1	IGFBP2		SDSL		POLR2A
ZER1	BLVRA		GLMP		SLC26A6
CDCA3	PRDX5		NUPL2		PPP6R3
ELOVL5	MZT2B		CENPO		RUFY1
DCAF8	POLE3		NUP54		UVRAG
LRSAM1	FITM1		SYPL1		GSK3B
PACSIN2	ARHGEF19		GFER		LARS2
LSM2	MCAM		TUBA4A		DBF4B
KNSTRN	SDC4		TMEM39A		FBXL4
EIF4ENIF1	NDUFB4		GRHPR		OCRL
SMARCC2	IRF2		CCNE1		ATG7
CTDSPL2	RCHY1		DAB2		AQR
TRMT61B	TTC13		WDR54		TBX1
WTAP	S100A2		SLC39A1		SHPRH
RPS6	PCBP2		CDC7		ANPEP
RPS13	PMVK		GGT7		APBB2
SDC2	PTMA		GFM2		WDR45
TNNT1	C8orf82		NTMT1		Mar-05
GGNBP2	PMEL		ATP6V1G1		ACVR2B
ARHGAP6	NAA20		GNS		PLEKHH2
WDR12	GINS2		DYNLT1		CDAN1
MYH14	RBM12		FAM53C		BMP2K
PSMD6	TMEM110-MUSTN1		GPSM1		SMUG1
MAP2	CAMLG		AGRN		VWA1
MAP1A	CCDC97		PPM1F		MAD1L1
CDC73	FUT11		RRP8		IL17RD
GCC1	SRSF9		ZDHHC12		SNX19
EIF3B	NPEPPS		PDCD7		E2F1
CHCHD10	EIF4H		ERAL1		ZNF394
SLC26A2	REXO2		PDLIM2		DDX10
PMS1	CTAG2		AP1S1		NPTX2
CDCA7L	BCL7A		TBCB		C16orf58
KATNA1	MGMT		CDC37		ZSCAN22
KRR1	MIF		CERCAM		WIPI2
PASK	C12orf57		SURF4		CPD
SLC38A6	CDK9		EXT2		SPOCK2
TTI1	CTNNBIP1		UBL7		PIGF
RNF144A	VGLL4		SARNP		FAM114A2
MEPCE	CDC6		CAT		ATG5
HEATR6	PRRC1		COL1A1		ST7L
ZNF189	SEC24C		DDX47		FOXK2
SEC31A	COX5A		SMPDL3A		SH3BP5
TRIM32	CITED2		SAR1B		TOMM34
EYA3	IGFBP6		CCDC142		SNF8
EZH1	URM1		UBE2A		CASC4
PSEN1	RAB12		MANF		RABL3
CCNB1IP1	PNPO		LAGE3		PPARD
SCLY	ELAC2		TRMT61A		DOPEY2
SART3	FAM168A		NPDC1		ITGAV
CNPY2	TOX4		SEZ6L2		MMD
RANBP3	CAMKK1		KAZALD1		DUSP2
LIMK1	VHL		YIPF1		LSM4
LOXL2	MRPS23		ARG2		UBOX5
GINS3	C17orf75		ADAM19		NIFK
RTN3	MCUR1		TEAD1		TAB2
CCDC102A	HNRNPC		ZNF8		CDH2
TRUB2	UBE2M		SYS1		INF2
TCHP	PLA2G16		PRICKLE3		DENND1A
TOMM70	CCND1		EMC2		QKI
AP2B1	EDF1		DCPS		ZNF317
TRO	CADM4		CTDP1		OSGEP
RRM1	PDRG1		HGS		THOC6
ZWINT	ATP5MC2		SYNGR1		WBP11
DCP1A	SSBP2		ILVBL		UIMC1
PTPRN	UQCR10		YARS2		STK24
INTS2	MPG		ENOSF1		ZNF7
CASC3	MRPL11		MAP4K2		RTL8C
NOP16	PAF1		PSPH		SLC12A6
TIMM17A	GBA		TEX261		HIST1H3G
ATP5PD	SIRT2		GSDMD		HIST1H3E
ILF3	HSD17B10		SPIN1		FLVCR1
NAGA	CCDC12		UBA1		MIER3
BRWD3	TFAM		ADRM1		RNF40
FLOT2	MAGEA6		RAB5C		CEP192
MRPL47	PTPRH		DPYSL5		WIPI1
LRP4	CCNJL		MGST3		SLIRP
TANGO6	GOT1		PDLIM3		SIPA1
MTPAP	ALKBH2		YIPF6		PLRG1
PDIA3	TAF11		GFRA1		MPZL1
TAF13	BUD23		CNRIP1		POLR1A
NDRG3	ZCCHC17		BABAM1		SLC35D1
PCYT1B	CHCHD3		MCEE		RTF1
CAD	PARK7		RRP7A		TLK1
ZNF827	LYPLA2		LOXL3		MEIS2
PRIM1	UBE2I		DESI1		MPP6
PIAS1	ATP6V0E1		MTG1		RANGAP1
CARS	PIP4K2C		ERRFI1		ARHGAP45
CNOT11	UNK		NAAA		RRAGA
MAP3K1	FOXRED1		NAXE		ZNF691
ANKRD27	LRRC47		MPST		CPT1C
MTMR6	TSTD2		ACBD6		TSC1
MTMR4	AKT1S1		SLC2A8		RAB11FIP4
PIM3	ELOF1		NDUFA9		HK2
STARD3NL	EEF1D		DDX19A		GPBP1
C1QL1	GABPB1		DBN1		TAF4
ACADM	CHMP4A		CBLL1		PPWD1
KPNB1	VPS33B		GATS		UPP1
STX6	UBXN7		RBM12B		PCDHGC3
UBE2E3	PIH1D1		CLN3		CCDC85C
MTHFD1L	DNAAF3		MLF1		CPTP
ARMCX2	SPC24		MRGPRF		B3GALT6
NFS1	TRIM14		STK32B		TYW1
PPP2R5D	OXSR1		EVA1B		ZNF358
BBS4	HBP1		MARCKS		WRAP53
TM9SF2	MRPL4		PROSER3		NDC1
AMOTL1	PFKM		NCDN		ZNF26
SMURF1	TMEM159		DGCR6L		ALS2
RBMX	UQCC1		ESRRA		GALNT10
ZBTB7B	XRCC1		LMCD1		GRK3
PYGL	TMEM109		SLC9A3R1		LSM14A
PYGB	EXOSC1		ZFYVE21		SLC27A1
CEP97	SNRNP70		CDC34		CGRRF1
RNF219	CD63		CD81		SLC9A1
MZT2A	RAB5B		TRAPPC3		HIST1H2AC
ATG13	CYBA		PGK1		CTCF
RSRC2	SNAPC2		PHKG2		COL5A1
STK4	TROAP		TMEM101		KIDINS220
MCPH1	DSN1		MCM5		ANGEL1
SP4	PIP4P1		DUSP14		WEE1
CLCN3	ARL6IP6		MAGT1		PLAA
SYNRG	FAM234A		AFG3L2		RNF157
OSBPL10	IFI27L2		RAB3D		IVD
ANK1	EMC1		TSEN54		ALMS1
TCF4	RNF5		LAMTOR4		TGFBR2
TDRKH	COMMD9		LAMA5		WDPCP
ACAA2	PPIB		KCNK5		TMEM8A
COX15	CENPX		IDI1		TINF2
CHD1L	CSRP1		PDGFRL		UBR1
CRTAP	HAX1		ZNF556		LRP10
NACA	VAT1		RPF1		C1orf159
POLA1	ADGRE5		ZNF703		PAFAH1B1
SMARCAL1	PEX5		CPQ		OXCT1
RGS19	TIMM17B		MYEF2		NEU1
TDP1	MEA1		PODXL2		YWHAQ
SH3PXD2B	SF3A1		ZXDC		CKAP4
MYH9	SAP18		ENTPD7		APBA3
TCFL5	RPAP1		JMJD8		RSBN1L
MCAT	PGM1		ANKRD10		P3H4
EZH2	NFXL1		PLOD1		TRABD
VPS53	FSTL1		HACD3		NOL9
TRAFD1	TAGLN2		THBS2		OIP5
TXLNA	CCS		PANK2		SLC25A43
ACLY	EIF5A		PRDX6		MED17
ABCF2	ETV5		HDDC3		EIF4E
PSMC3	ZNF24		SGTA		C19orf47
PSMD1	TNIP2		PSMC4		ZNF592
CARD10	GPI		SUSD5		CCDC25
HJURP	LDLRAP1		MCMBP		TMEM184C
SETD3	HLA-C		MYBBP1A		DDX21
MICU2	PYGM		ABT1		CLCN7
COA7	PSMC2		DPP7		TRIM27
DARS2	PRDX1		INTS9		NUSAP1
PPM1K	PSMD2		REEP2		SLCO4A1
SCFD2	SS18		MAP4		NFYC
KARS	BTN2A2		PML		PHC3
TLN1	BUB3		SLC39A6		FAM126A
MLH1	STOM		SAMD5		IMPDH1
TCF7L2	HMG20A		PSMD5		IMPDH2
ZNRD1	DNAJB6		SMPD4		TGFB1
CCDC50	ZNF350		PSAT1		ANAPC11
SOX6	MAPK9		SDF2		ECHDC3
NSF	TRMT112		RAD51D		C6orf89
APPL2	RNASEH2A		PLEKHO1		NPRL2
UBA52	MRPL30		PRMT7		DCAF12
MAGEA12	NDUFB10		NQO1		ZNF451
HADH	ZMPSTE24		LETMD1		ANO6
VPS37B	PARL		FDXR		SLC20A2
SF3B4	NAT9		TBL3		GEMIN5
AKAP8	NUDT14		ZNF395		AGPAT5
HNRNPH3	DNAJA3		TMEM208		AHCYL1
AURKB	UQCRB		CFL1		TPX2
FAM192A	CTSL		CDIPT		KCTD1
ECI1	GPHN		CNPY4		CENPM
RHOF	RPS9		LEMD2		CTNNAL1
SRP72	DNLZ		ANKRD40		PITHD1
Sep-02	PRPS1		ARPC5		CORO1A
AHNAK	C9orf16		ABHD3		TMEM201
EIF2B5	SF3A2		CDKN2C		TXNL4A
HSPA14	CMC2		PSMF1		AGPAT4
ACAT2	NCAM1		TMX4		TSC22D2
SUCLG1	DDA1		SQSTM1		ZSCAN12
NUP37	PXMP2		SCAMP2		TOR1AIP1
SCRN3	RBP1		PTBP2		SLC19A1
RTCB	BLOC1S1		ADSL		Sep-06
SEC24A	CHAF1B		SGCA		NOL11
PPFIA3	PAPSS1		TFAP4		H2AFY2
ME1	PKM		TTC38		FBXL15
SRSF4	ME2		AGFG2		ALG12
ANKRD17	PTPN1		NSL1		MRPL48
FGF13	KBTBD4		ROMO1		SLC25A23
