FBXL19	ITPA	ZNF689	ITGAE	AGBL5
DEF6	GLUL	MPC2	PSMA6	ZFAT
BACE1	NDUFS2	ZMYND11	PGS1	ARHGEF12
TIAM2	GART	PCDHB16	ARRB1	CLIP2
SLC35F5	RER1	HIST1H2BC	TMEM41A	TRIO
NCOA3	TTC17	PHAX	SPTLC1	TTBK2
YEATS2	PSMD11	ANLN	EHBP1L1	KIF21B
MAN1C1	NDUFS6	GRK6	CCNK	ARHGAP23
SYNE1	IP6K2	XYLT2	ACIN1	PITPNM2
CEP78	CTDSP2	AFF4	NDUFB9	FOXM1
AKT2	BAX	L1CAM	SNU13	ZNF71
TLE1	CLNS1A	LIMA1	NDUFB7	EFL1
TMEM246	CAPNS1	TMEM25	TRIM68	KDM4B
MGAT1	RASSF4	ATP2A2	CDC25A	ITGB8
TBCEL	DIABLO	ARHGAP1	CLU	HIPK2
CDK13	EPS8L1	THAP1	CRMP1	VPS13D
EPG5	GAPDH	SGSM3	ZC3H18	HACE1
GNAI2	SP140L	TANC1	ECE1	ZNF496
C6orf47	MVB12A	FMN1	CYP51A1	ABTB2
CUX1	PLIN2	WDR46	NHP2	TBC1D9
SLC12A2	ADD1	SKIV2L	LCMT1	DLG4
POM121	PSAP	SERBP1	CMPK1	TAB3
RABL6	CREB3L2	ZMIZ1	CRBN	CACNA1H
FBXW5	RHOC	MED14	MRPS17	HIRA
F2R	RBMX2	CCNB1	BCAT2	DAB2IP
RNPEPL1	MFAP1	ABCB6	MALSU1	LRRC8B
PUM3	PLAUR	KPNA5	CCDC124	HIVEP2
TRIB3	ARHGAP17	NFATC4	MRPL21	IL11
NOTCH2	DDX3X	LUZP1	BOP1	NF2
MECP2	TIMM8B	MAP3K9	NOL12	MARK3
BMS1	TIMM13	GSPT1	C1orf35	MLLT6
CCDC14	FAM98C	DHRS7B	NENF	MPRIP
INTS14	ZW10	PUM2	HIST1H2BF	SIDT2
RRBP1	SERINC2	TSPAN15	UBXN6	ZNF236
KMT2D	UQCR11	UBTD2	MRPL19	IRS1
EHD3	GM2A	UQCRQ	TOMM20	ZNF835
KLC1	LARS	ARFIP2	FOSL2	PPFIA4
APC2	ENO3	CYTH3	PIAS3	CREBBP
KATNB1	GPATCH2	RAC1	SLC7A6OS	SLC40A1
AP1AR	LITAF	C1orf52	ARMC9	ABCA2
DCHS1	NAT14	ACVR1	BIN3	CDC42BPB
ASAP2	ERICH1	FLAD1	COX14	PTPN21
KIAA1841	ERF	PLEKHO2	VAPA	PDE8A
RNFT1	RABAC1	TMEM161A	WDR91	STK40
CHD8	LRRC59	LYAR	METAP1	CIC
TBC1D14	GIT2	UBE2R2	OGG1	FTH1
TSC2	TBC1D10A	FECH	NUDC	B4GALNT3
SGMS1	AARS	AHNAK2	TP53INP2	UBE3C
SLC16A5	METTL14	RBM17	VPS37C	ZBTB7A
ORAI2	TMEM106C	TBX18	PPP2R1A	PHF12
CSMD1	VDAC3	FSD1	CHID1	DENND5A
MYO19	BSG	SLC29A1	UXT	CAMSAP1
ITPRIPL2	LAP3	TAF8	GIPC3	EPB41L1
EPOP	TARDBP	FZD7	FLT4	STK11
BRPF1	EGFLAM	ALG3	HOXB7	ST3GAL2
PITPNM1	EIF4B	INO80B	AURKA	DZIP1
PCDH7	CD59	ADPGK	ATP1B1	IPO13
MINK1	RPL10	MRPS15	TMEM141	JARID2
IL17RA	TMED9	DNAJC16	VANGL2	VPS54
MBD4	GBP2	NCBP3	PSMD13	HIVEP3
SCARA3	ETHE1	CPSF7	RRP9	BRSK1
CSK	TPGS2	TEX2	AIMP2	TIAM1
POLR3A	TBC1D5	HBS1L	NT5C2	PTPRG
ERLEC1	IAH1	MAPKAP1	VPS51	REXO1
TNKS2	PDCD5	CUL9	SCPEP1	B4GALT2
GREB1	ATG12	XKR5	KPNA4	TNK2
CHRM3	SARS	RNF123	PDCD2	TOP3B
SCAF1	MRFAP1L1	MRPL17	RAB18	RAB11FIP3
EPC2	STAM	ZNF414	C1orf53	GRIN3A
SZT2	RFC4	COL8A1	WDR48	RC3H2
EVI5	PCCA	RNF111	HKR1	LRP3
PLEKHG3	HNRNPA2B1	RFT1	TSPAN4	GNAZ
PTPRO	JUP	PPP3CC	GSTO1	CELSR3
RUSC2	FNTA	GALNT16	DYNLL2	FBXW7
IQCK	FANCL	SERPINE2	TMEM143	CCDC88C
CTNS	HMGA2	GGA1	SFPQ	USP31
ALKBH3	SSNA1	GRIPAP1	CCDC115	DAGLA
ADGRG6	YIF1B	BDH2	SCD	TMC6
CDK12	XBP1	SCYL1	ELP3	NDST1
ARHGEF40	PSMG3	TRIOBP	NECAP2	PCF11
MAPK8IP1	ALKBH7	GPN2	TCAF1	TULP4
FYCO1	CDC40	IPO4	TTC31	SH3RF3
BAZ1B	CNOT8	ZBTB9	PCDHAC1	SLC43A1
FBRS	ANKRD46	SLC15A4	ZSWIM6	CUEDC1
PRPF39	POLR2H	NPHP4	ACTB	TRAK2
BANP	CDKN2A	RAD23A	DYNC1LI1	PACS2
THAP7	RFC5	JADE1	TPPP3	HOMER2
RNF24	EPB41L2	GCLM	WDR83OS	PLEKHG5
NACC1	THRAP3	TAPBP	RAB20	FBXO41
HEXDC	TIMP1	KCNJ6	WRAP73	SHANK3
PEG10	ELP5	FBLN1	NCLN	AZIN1
LRRFIP2	TK1	ASXL1	RNF181	FAM20C
PRPF8	TMEM205	LETM1	ATP6V1H	SETD1A
POGLUT1	PRDX2	FLNA	ISYNA1	ZDHHC6
CLDN12	PPP1R3C	TRIB2	AP2A1	BRD4
PSMG2	GOLPH3L	SUGP2	R3HCC1L	GPBP1L1
WDR45B	SERPINF1	PKMYT1	TXNDC11	KCNH2
RBM6	DNAJC18	RBM19	RTL8B	SETD5
EMILIN3	LY6E	KYAT3	EBP	MTCL1
CEP120	RCC2	GMCL1	RCN1	SIPA1L2
RECQL4	PIP4P2	RDH10	GNB2	STARD9
KDM6A	ZSCAN2	PARP16	SMAD3	SHD
MAP4K5	NUDT21	AEBP1	MANBA	TWNK
GLT8D1	IRAK1BP1	AP1B1	TPT1	SEMA6B
TNC	NAA40	GUK1	ABI1	SPTBN2
CIZ1	TARSL2	SPAG9	SF3B5	EP300
WDR13	COPE	CSRNP1	LMNB2	CRAMP1
SRGAP3	OLFM2	AP1M1	TMUB2	PREX1
AXL	ROBO3	NYNRIN	RPP30	PHF2
EGFR	ANAPC16	MTOR	CCDC28A	ADGRL1
LTBP2	PDCD4	UPF1	INTS7	SOBP
TCF20	EMC7	MEF2D	NIT1	NLGN2
SPATA2	UBALD2	MELTF	UBE2D2	TRAF3
SPATA20	EIF1AD	PDK1	MLX	ARHGEF11
MXRA7	CTSV	SH3BP2	DYNC1I2	DOCK5
PDGFC	BCL2L12	PLAGL2	PKNOX2	RTEL1
HIF1A	STAT5B	TONSL	YWHAG	SCN8A
UBE3D	ZFPM1	TRIM9	HDAC1	GLI2
ZNF142	LMNB1	BZW2	TXN2	MYO9B
FABP4	LMO2	ATG2A	TATDN3	PPP6R1
RREB1	TAF15	ZDHHC5	FXR1	TNRC6A
MAP3K6	EIF3G	PHF8	PLD3	AGAP1
STARD7	CFD	FASTK	GPS1	KMT2B
TRIM41	PIGO	DHX9	DGLUCY	
SECISBP2	NTPCR	MTBP	CDIP1	
PCIF1	MTCH2	RERE	TGFBR3L	
NRG1	CD58	TBL2	OS9	
FGD1	SMIM10L1	SLC35G1	LMAN2	
SENP3	PQLC2	USF2	UBQLN4	
PER2	STIP1	LTBP1	ZSCAN26	
ATP13A1	COTL1	MCM2	NUDT16L1	
DIP2C	ATP6AP1	E2F2	EXD2	
HOXB3	SYPL2	DIAPH3	FANCI	
SNX8	METTL3	FAM171A2	HSPA9	
NECTIN1	TFRC	PSMG4	GLE1	
ADIPOR2	SOD2	CBLN2	TCEA3	
MCC	PMPCA	BRAP	PEA15	
NEDD4L	ZMYM3	TRIM2	MYL12B	
FBXO22	FHL2	FBXW9	ACSF2	
NRXN2	C16orf45	CERS5	TRIP10	
PAG1	NUB1	ANKRD13B	RANBP10	
XPOT	ASF1B	AKR1B1	NUDCD3	
GLIS3	FKBP10	S100A6	IRF3	
TAF1C	ENSA	MSH3	PWP2	
BRD2	EZR	SNX5	CPNE7	
XXYLT1	ANXA7	ARHGEF16	ACTR1B	
ZSCAN5A	IDH3B	XPO4	PPA2	
PLEKHG4	GMFG	VSIG10L	SSR4	
ZNF696	HACL1	COL18A1	CAPG	
KDM2B	ATP6V1F	IGDCC4	CLPTM1	
IDS	BUD31	ZFR	UBE2G2	
SCMH1	ZNF16	WDTC1	MPP5	
CDH11	COQ5	NOP53	NRBP1	
RNF8	HLA-E	PLA2G3	DHDDS	
WWC2	ELAVL1	POLR3D	MED22	
CLMP	PYM1	NBAS	SUFU	
KAZN	CHCHD6	SSFA2	PTTG1	
TAF1	DNAJB2	HINT1	TMEM14C	
ZBTB46	SIL1	DDX6	VPS52	
NCOA6	COQ9	ADORA2B	MFSD10	
CLEC16A	PSMB3	C1orf109	HPRT1	
MYBL2	CRELD1	CNIH1	TBC1D17	
PTGES	PPP1R11	H3F3C	E2F8	
TWISTNB	POLDIP3	AFTPH	TPM4	
SEPHS1	RXRB	SEC16A	ETV1	
EPHB4	GPS2	PPP1R21	MRM2	
EIF5	SUMF2	ACTG1	KHDRBS1	
MCM10	FUOM	SRSF2	SMARCD1	
GRK2	COPS9	YEATS4	YKT6	
MGAT4B	MPP2	HIST4H4	NDUFAB1	
ZNF398	HAAO	DIS3L	MRPL10	
FBXO18	LSM14B	LIMD1	DPH5	
GPATCH8	MED27	FUZ	POP1	
TBC1D8	DCTN4	C10orf88	SWAP70	
EEF2K	IDH2	MRPL45	UBQLN1	
POLG	PLPBP	MOCS1	ATL3	
SMG5	TP53	LAMTOR3	POGZ	
GNE	UBXN1	CIPC	THUMPD3	
ACHE	MRPS18A	MOB1A	RNF20	
DLK2	SYNCRIP	DGCR2	GLI4	
TMEM19	PTPN18	TUSC3	SMYD4	
DLL1	TP53BP1	C20orf96	UBC	
KRI1	MED10	RNF31	MXD1	
ALG9	ARHGEF9	SNAPIN	PPP1R13L	
CABIN1	COMMD1	CCDC107	MID1IP1	
C2CD5	FAM96B	NSD2	SNX6	
NFASC	MRI1	CCNB2	TIMM10	
PDE4A	HARS	GATB	LDLRAD3	
RRP1B	RPA1	SERTAD2	DDR2	
MOCS3	CLTB	MAP2K4	ILK	
SIPA1L1	CLTA	C15orf40	UCHL1	
TRRAP	CHCHD2	ACTN1	CLP1	
MTSS1	MTCH1	GLT8D2	COPS6	
ZNF45	GAMT	CYHR1	GALE	
ZNF74	IFI35	SLC7A5	G6PD	
KIAA0556	DCAF7	EHD2	GCN1	
FANCE	RAN	ZPR1	IMMT	
ZNF746	SNX4	SUN2	SPAG7	
ZNF232	TUBB3	LSM3	INTS3	
TMEM184B	METTL26	DHX37	NDUFA10	
TJP1	MXD3	BRWD1	NDUFB1	
RARG	ZC4H2	WDR33	ZC3HAV1	
RMND5B	HRC	SARAF	ADI1	
EYA1	RCCD1	ABHD10	TIGAR	
ELK1	INTS4	IPO11	YWHAE	
ZNF445	FXYD5	SLC30A7	HAGH	
RUFY2	MRPS14	C1orf43	FDPS	
TMEM9B	COQ6	XPR1	ABHD2	
AP5B1	C17orf49	IPPK	CLN5	
NAV3	FARSA	KRIT1	MRPL28	
HLA-F	POLE4	KANSL1	RAB21	
SAMD1	CNDP2	DPP9	CWC27	
USP42	ACADS	TMEM219	SERP1	
PLCB3	AIFM1	CCDC134	ANKLE1	
TTLL5	SLC35E1	ZNF207	MFN2	
PCGF3	DBNDD1	RAB4A	RNF25	
MKNK2	LSP1	CHPF	ACAA1	
ARHGAP42	SNRPF	HLX	SMG9	
UHRF1BP1	APOL2	GTF3C2	ALG1	
KDM5A	SLFN11	SLC16A2	NIP7	
DSE	MCUB	AKAP1	COL5A3	
MAPKBP1	PEX19	KIF4B	SHKBP1	
PALB2	FAM89B	CDC27	RAPGEF6	
CHST15	FAM118B	BAZ2A	TRIM24	
ERN1	RNASEH2C	RGL2	KANK2	
HOXA13	NIPSNAP1	U2AF2	ADORA1	
IP6K3	PECR	TIMELESS	VPS25	
IFNGR2	HDGF	B4GAT1	STRN3	
TTLL12	CERS2	SCD5	FAHD1	
RASA2	CHP1	DNASE1L1	RBFA	
PRSS23	SRP19	WSB2	SET	
TNFAIP8L1	FHL1	NARFL	CD55	
C7orf26	COX8A	NDN	UQCRH	
UBN2	CHRND	FAF1	NEURL4	
ZNF668	SH3GL1	ABCF1	THOC1	
SPTBN1	FAM50A	CYB561D2	PRPS2	
GCLC	SNIP1	STK38	AATF	
FAM160B2	NUDT1	C1orf174	FAR2	
WDR81	NT5C	FAM53B	CCDC120	
JUND	STAT3	ERH	UNC45A	
KIFC3	THYN1	EIF3D	PPT2	
VPS13B	PSMD14	EIF3A	CBX6	
CASZ1	LHPP	MECR	SAMHD1	
MORC4	BLZF1	APEX2	COPG1	
ARHGEF25	DFFA	LMF1	RAB11FIP5	
DEPDC1B	AIP	MFSD14A	C10orf76	
CHPF2	CAP1	WDR7	MAGEA3	
EGLN2	LRRC57	CDK14	TFPI2	
HTRA3	MARS	LIG3	WARS2	
RBM33	CAMTA1	DHPS	HMGCS1	
SLC19A2	ZNF444	DIP2A	BARD1	
SPG21	TARS2	CHUK	SNRNP27	
PHLPP1	COA4	UTP18	KDELR2	
ATG4D	AP4B1	DMTF1	KDELR3	
RPTOR	RABIF	ZFPM2	FBXO3	
VAV2	TUT1	GLUD2	TMED1	
CYP1B1	ERFE	PPP2CB	PEX14	
PLCB4	CHTF8	ETV6	CAMK2G	
IVNS1ABP	TPM3	GPR162	CORO1B	
NIPBL	USE1	ZNF446	RALY	
ZHX3	SDE2	RMND1	ARF4	
C12orf45	DNAJC11	PAK1IP1	NIPA1	
KSR1	PLTP	SELENOS	FDFT1	
AFF3	FAM104A	TSR3	PEPD	
ZNF608	UBE2J1	NEURL1B	TKFC	
GAL3ST4	RBFOX2	NCK2	CDK4	
STUB1	DKK3	POMT2	TYMS	
IFRD1	C1orf198	SRRM2	TUBG1	
STIM1	KRT18	THAP11	TCERG1	
CELSR1	PPOX	ANAPC2	H2AFY	
TBX2	C12orf10	ZMYND19	RCC1L	
LHFPL4	MFAP4	TRIM46	WDR3	
TACC1	HAUS7	PAGR1	TRADD	
MYLK	MAFF	ZNF211	MAP1LC3A	
ZNF490	CREB3	TUBB2B	PGAM5	
CRNKL1	CAP2	AFAP1	TAX1BP3	
BRD9	ALDOA	ZNF318	UBXN4	
FAM91A1	LENG1	FJX1	ZNF512	
NACC2	TIPARP	H3F3B	WDR25	
ZNFX1	KIF22	HIST1H1D	XPO5	
HELZ	GPX1	HIST1H1B	RAB35	
ASAP1	STAT6	FBXW2	TRIM25	
CLIP1	CTSD	SLC52A2	NUP214	
BLOC1S2	CAPN1	HPCAL1	CHCHD5	
EFCAB14	CBR1	FIBP	PEX2	
SSH2	ARPC5L	GTF2H3	PXN	
AFDN	OSBPL2	TBRG4	PDAP1	
GON7	STARD4	RIC8A	C19orf66	
JAGN1	RPL7L1	C1orf106	TLDC1	
ADAM12	BCL7C	LRRC24	HSPB11	
VASH1	PSMD8	FZR1	ABCF3	
POLRMT	PTBP1	LAMC1	SNRPA	
ADGRB2	AKIRIN1	WDR59	FAAP20	
PRRC2A	FAM210B	TAP2	MCCC1	
BCL9	MOB2	MOGS	FPGS	
MGRN1	SYP	VPS26B	RPLP2	
TMEM138	GPKOW	CCNA1	SLC39A7	
ZC3H7B	EIF4E2	TPD52L2	DRG2	
ERCC3	ABHD5	MAST4	HSPBP1	
GLYCTK	NNMT	SMYD2	CD44	
TSPAN9	AP2S1	MYO1C	FKBP9	
DTX3	SMDT1	SORBS3	HSD3B7	
TM2D3	RNF114	PIP4K2A	B4GALT5	
GALNS	NSUN2	LPIN2	QPCTL	
CRKL	ATG4B	TTLL4	EARS2	
GOLGA3	CNPPD1	DXO	MDFI	
CRTC3	BLVRB	PTPDC1	PDIA4	
CERK	OGFR	HUWE1	ATP9B	
PCDHA6	ZNF143	PSMB7	NELFB	
SAPCD2	PLAT	PSMA5	KLC4	
PSD3	WDR76	PSMB1	SUMF1	
TEP1	CTNND1	MFSD3	PREB	
AHI1	PGLS	SYAP1	SLC25A24	
NCOA1	EIF6	AAR2	CHRNA1	
AGO1	PPP1R7	PARD3	AMDHD2	
FZD4	HYOU1	SLC8A3	AP3B1	
KIAA1211	SRSF3	SRRM1	LTBR	
FTL	NEIL2	TMEM87B	NAP1L4	
TTC7B	TMEM53	CA11	HNRNPM	
KIF3B	DAP3	FAM76A	FTSJ1	
SCRIB	TCF12	DYM	RPUSD4	
CNNM4	DYNLRB1	FAM83D	GLUD1	
ARFGEF2	RHOA	GFM1	HSPA5	
CCDC106	MRPL24	PRPF4	MYADM	
ZFYVE26	DES	PCSK5	RGS17	
DAAM2	PEMT	TRAM1	RAB3GAP2	
OCRL	PNKD	RNF2	ZNF576	
PTPN9	ARF3	NOTCH1	MTERF4	
ZNF562	RAB2B	GTF3C4	HDGFL2	
SASH1	TIMM29	RAVER1	TNFRSF1B	
SBNO2	RETREG3	ABCD1	STK17A	
PTP4A2	ERG28	INPP5K	MRPL37	
USP54	BLMH	YIF1A	BVES	
PDGFRB	RUNX1	RPN2	NSA2	
PPP2R2D	MVP	TUBB6	MBD2	
CRIM1	FAM213B	ZNF772	BCKDHA	
KIAA0930	IRGQ	INCENP	P4HB	
CECR2	CD46	TIMMDC1	SPTY2D1	
SMUG1	PCMT1	SNRNP25	FUBP3	
TMUB1	PDCL	SOX8	PM20D2	
LRRC14	HNRNPUL2	HUNK	IFT52	
PIP4K2B	TMEM18	PRMT6	KPTN	
MMACHC	C3orf38	FURIN	TXNDC15	
IL17RD	RAB29	RNASEH1	NUCB1	
PRDM5	PRMT5	CDK11B	GLG1	
CCDC136	MORF4L2	FBXO9	KDM4A	
TNS3	CLN6	WIZ	EIF3I	
ZBTB12	DCXR	MRPS18C	EIF3F	
RARA	XKR6	PNPLA6	ZNF330	
ABR	ST3GAL4	MKL1	GORASP2	
JPH2	LASP1	CCNT1	MFAP2	
UBAC1	PTGES2	GSTCD	NUP85	
MGA	PUS1	SNUPN	SLC35A2	
FOXK2	AACS	PRMT1	CHKA	
CXXC5	GSTM3	ARSB	BID	
CASC4	MAPT	DDHD1	XRCC5	
ITGB5	LONP2	TADA3	ALDH7A1	
DAG1	LIN7C	METTL17	OTUB1	
RIPOR1	ASH2L	CEP164	ERCC1	
HYAL2	EIF4A1	LDB1	ASS1	
PANX1	EIF2S3	MAPK7	STT3A	
TTC28	RPS19	P3H1	TGFB3	
SETDB1	XPNPEP3	SEL1L	LAMTOR1	
NIFK	NPM3	RNMT	AEBP2	
TRABD2A	MIS18A	RFX5	METTL1	
HIC2	CRLF3	THOC3	CDH15	
ATP13A2	PDIA6	ST8SIA5	CDK5	
UBE3B	CDS2	NOP56	PCBP1	
SMURF2	ALDH18A1	MAD2L1BP	PBX3	
DENND1A	MYL6	GIGYF2	SMYD5	
USP37	VCP	THSD1	EMC8	
FRMPD1	UBAP2L	USP6NL	AKR1A1	
PAPOLA	THY1	C1orf216	DAGLB	
OSGEP	STAT2	SS18L1	ATP10D	
UIMC1	SAE1	CDK16	MRPL27	
MARK4	SORD	CEP131	ERAP1	
NF1	ATP5F1A	CCNA2	LOXL4	
ARHGEF10L	UMPS	CBR3	DIAPH1	
RNF40	ASB8	SUV39H1	TMED3	
FAT1	COG4	CALD1	PSMA7	
FRMD4A	NFKBIB	GTPBP2	ARAP1	
SLC35D1	NID1	OLFML2A	PINK1	
ABCC10	DUT	BNC2	ATG101	
PKP4	TXNDC5	FAM46A	MIIP	
SUPT6H	SFXN4	MED18	RNF220	
C11orf24	TECR	DUSP6	NPLOC4	
ACOX3	PSME1	BAHD1	RPS6KC1	
ERC1	TSPYL1	SYNJ2	POLR2C	
ARHGAP32	CALR	KLHL26	EFTUD2	
IL17RC	RNF212	PHLDB1	EIF2D	
ETS2	DPM1	DDX24	SEC23B	
RAB11FIP4	SCP2	SDF4	DVL2	
UPP1	MAP2K1	GMNN	COPS8	
SPRED2	YPEL3	SNX30	YY1AP1	
SFMBT2	ADIPOR1	PDCD11	ALDH1A2	
ZNF629	DHRS11	PYCR2	CPNE1	
PPP1R9A	RAB1B	ETNK2	PARP1	
MFSD14B	SLC25A28	NFKBIL1	AMFR	
FBXW11	GATD1	POLR3E	IMP4	
KDM2A	RBX1	SNTA1	DMAC2	
NDC1	PKIG	L3HYPDH	SPATA2L	
CENPA	VKORC1	SNRPC	ARNT	
EXO5	RNF126	UBA2	MDC1	
ADCY9	SERPINB1	RANBP9	CCT4	
TAOK2	RRM2	PEX3	SAFB2	
GTSE1	GHDC	IGFBP3	MRPL40	
SLC27A1	UBE2H	PPP2R5C	ATP1A3	
TTF1	COX6A1	TNS1	CCDC51	
FNIP2	POLR2D	VSTM4	DDI2	
SLC9A1	PRDX4	CDH4	UQCC2	
FAM217B	LAMTOR2	SEPSECS	ARHGDIA	
FAM160A2	TRPC4AP	NEK2	PSMB2	
CLOCK	PAXX	GTPBP3	PSMB4	
