list1	list2	list3	list4
ATP5S	F2RL2	ODR4	MRPS30
THEM6	ITPR3	BICD2	RPL15
TMEM120B	ZFHX3	APRT	FDX1
SPATS2L	UCP2	MIER1	ELOB
ASPHD2	ARHGAP29	PDLIM1	TIMM21
HEG1	GRIK5	FADD	SNX3
CHSY3	TNRC18	NAPA	FKBP8
LZTS1	VAC14	RIPK2	CIRBP
JAG2	LMTK2	ATP5PB	GSTK1
ZNF326	USP49	GCDH	DNPEP
TJP2	FAT4	GBE1	SNRNP40
TMEM198	SLC30A5	SNTB1	C5orf15
PCDH10	LRFN4	PRUNE2	MRPS22
ISG20L2	NBEAL2	TSSC4	AKR7A2
MADD	ZNF704	KIF2C	CBX5
SMARCA4	PLEKHM2	C17orf62	PPDPF
NRSN2	GON4L	UGDH	C6orf106
RETREG2	EVC	PEX16	FKBP4
TUBA1C	ZNF462	DDX23	ACSS1
FAM118A	PGF	WDR75	XRCC6
TTC9	PPP6R2	YARS	ZFYVE19
SUZ12	MEGF8	PDXK	GRN
ELL	MAP3K4	MKNK1	CCDC22
NOP14	KIAA0100	KHSRP	NDUFS1
DYNC2LI1	DHX34	PDLIM4	AGK
STON2	ABL1	SURF1	SRSF5
TAF6	KIAA1614	MAD2L2	EIF2B4
PRELID1	NOD1	COPA	RHPN2
NOM1	FAM193A	AMPD2	BAD
SEC24B	CSNK1G2	RARS	PFN1
TBL1X	ZNRF3	MBOAT7	CEP85
AAK1	TRAK1	UBL5	RAB11FIP1
CEBPA	MYO10	PHF23	ZSWIM7
NOL6	SIM2	FASN	COL9A3
VEGFA	NETO2	GRB2	STK39
SLC31A1	CACNA1G	GOT2	SFXN2
SPNS1	MFHAS1	ELP4	ZSCAN25
C18orf21	RGMB	VCL	ASPH
NT5DC2	AXIN1	NUP133	MRTO4
SLC2A6	FZD1	POFUT1	CENPH
ZBTB17	IGSF3	NUP188	TMEM160
PRR14	FAM69B	OSBP	GALK1
Sep-09	DOT1L	PNPT1	CWF19L1
ODF2	KMT2C	APP	UTP14A
CYTH1	MIGA2	GTPBP10	MRPS35
NIF3L1	CHST12	PCNA	TM9SF4
RIMS3	USP36	SH3GLB1	TMEM199
ITPK1	PPP1R16A	LPIN1	MEAF6
NR2F6	KLF4	MRPS2	LIX1L
EPHA3	TRIM71	PPP3CB	CDH13
ELK3	ZNF618	CREB1	TFDP2
KLF13	TFDP1	TUBA1A	MTA3
ETV3	SPECC1L	MAGED1	TRA2A
VEZT	ZDHHC17	BCS1L	OXLD1
S100PBP	MED13L	MIDN	TPI1
Sep-11	PPP1R37	COL19A1	NGRN
PCDHGA10	KIF4A	ANK2	RPRD1A
ERBB2	APH1B	DEDD	CCDC117
FAM120A	ATP10A	TIPIN	SNAP29
CBFA2T2	TBC1D9B	BIN1	MPI
TMEM147	SLC45A4	ATP5F1B	RPSA
LOXL1	FBRSL1	ATP5F1D	ZFPL1
CNKSR3	LRRC8A	LARP4B	QPRT
LHX8	MAP3K5	FAM49B	CALU
MALT1	PITX1	NUP98	SAMD8
RALBP1	PLXND1	PRKD2	FAM98A
CNP	EHBP1	MKS1	IFITM2
FBXO42	EPN1	WDR5	NPC2
NEK4	FBXL19	UBE2Q1	DPYSL2
SLC27A4	SGSM2	TRIM44	MNT
CAMKK2	BACE1	POC1A	P4HA2
RAVER2	TIAM2	GAA	PPME1
TRIM28	KAT6A	MED15	SLC25A1
ITGA9	PCDH17	STARD10	ASB1
ARIH2	TLE1	RPA3	SH3BGRL3
DVL1	CDK13	MRPL9	MAP3K12
MICALL1	NSD1	PPM1G	COX4I1
ROBO1	EPG5	SATB2	ATOX1
HPS3	C6orf47	TIMP2	PSMD4
ABCC1	TRAPPC10	PPP6C	NDUFB7
CNN3	KCNC1	THOP1	CDC25A
SLC16A3	CUX1	SNX17	DCTN2
XRCC3	B4GALNT4	ERCC4	RAB11A
VGLL2	SLX4	KLHL7	CDC23
TUBGCP5	PLXNA3	VEZF1	DCK
KLHL42	CIT	SEC14L1	NHP2
LIN7A	RABL6	ATP1B3	DNAJB11
MAPRE2	RNF10	ZNF609	CCDC124
CYP27A1	RNPEPL1	FN1	MRPL21
SLC41A3	TRIB3	RRS1	MRPL54
TSPYL2	GBA2	MGME1	TMPO
UBR3	PIGH	HADHB	BOP1
PRRX2	BRD1	PPT1	RCN3
THAP4	AGAP2	GINM1	NOL12
KCTD12	ADAMTS5	MPC1	MRPL19
TRAF6	KMT2D	JRK	TOMM20
ZMYND11	GPR153	NEK6	DAZAP2
CC2D2A	KATNB1	VAMP3	FAM161B
FNDC5	FBF1	UNKL	COX7A2L
TATDN2	CHD8	DCUN1D3	WDR91
ANLN	TBC1D14	TXNL1	ACP5
GRK6	INPP5E	UBE4A	NEPRO
UBE2S	COL27A1	ARRDC1	METAP1
AFF4	SKI	XRN2	RPL36
RNF169	SLC16A5	PWP1	ZKSCAN8
TMTC1	EPOP	Mar-07	PLEKHB1
LIMA1	BRPF1	VASP	PPP2R1A
TRIM37	PCDH7	ATRN	HOXB7
CCAR1	MINK1	PKN2	SNX15
POLR1B	SCARA3	BAG4	HMGCL
KIAA1549	NXPE3	MPDU1	DSCR3
SGSM3	TET3	CCDC47	RPL37A
TANC1	PHF14	SYMPK	RPL29
AP3D1	CHRM3	SLC25A13	PSMD13
G6PC3	SZT2	ANKMY2	MED20
WDR46	CHD2	CIAPIN1	BUD13
HIST1H2AG	ATP8B2	MEGF10	PDCD2
SKIV2L	ARHGEF40	BTBD9	SEC13
EVC2	BAZ1B	C17orf53	RAB18
TST	PKD1	FKBP3	TSPAN4
ZMIZ1	DLG5	MTMR12	TMEM143
RALGAPB	TRIM8	VPS4A	ATF6B
MED14	CEP120	HTRA2	ACOT7
CCNB1	NSMF	OSTM1	MRPS25
ABCB6	SRGAP3	PANK4	SUDS3
C7orf49	SEL1L3	DSTYK	TTC31
TP53I13	PDGFC	LRRC1	BABAM2
KPNA5	BTAF1	ITGAE	DYNC1LI1
MAP3K9	ZNF142	PSMA6	NSFL1C
GSPT1	N4BP1	YTHDC1	WDR18
DHRS7B	MBTPS1	PGS1	SNX12
LARP1	FGD1	TMEM63B	TMEM206
NAV2	MAST2	CLK3	GANAB
RAC1	HOXB3	ELP2	TBC1D22A
PLEKHO2	ATXN1	KIAA0355	PGM3
LYAR	PTPRS	TMEM41A	LSM11
IMPAD1	NRXN2	SPTLC1	SOCS4
AHNAK2	TAF1C	CDKN2AIPNL	CYBRD1
DIAPH2	ZSCAN5A	EHBP1L1	DCTN6
PAQR4	PLEKHG4	CCNK	HMOX2
RBM17	AADAT	ACIN1	SF3B5
TBX18	KDM2B	MAST1	PMM1
BCKDK	SHB	NDUFB9	CBSL
FZD7	WWC2	SNU13	NDUFB11
TBC1D1	MAN1A2	TRIM68	MRPS36
FBXL18	MYO18B	CLU	PHGDH
TMEM129	SEPHS1	CRMP1	NIT1
ALG3	EPHB4	ZC3H18	E2F7
MYO18A	GRK2	MRPS9	BRK1
ADPGK	MGAT4B	ECE1	ASAH1
MRPS15	POMGNT2	RELA	PKNOX2
DNAJC16	FBXO18	WDR82	TXN2
ARID1A	TBC1D8	TRIP12	RBM3
TEX2	ACACB	ZBTB14	MMS19
HBS1L	SMG5	CYP51A1	MYOG
CUL9	SH2B3	LCMT1	PTMS
XKR5	DLL1	CMPK1	ZSCAN26
RNF123	PDE4A	CRBN	ITPA
USP21	SIPA1L1	NDUFA13	EXD2
RNF111	GLI3	MRPS17	GLUL
RFT1	MAPKAPK5	BCAT2	GLE1
PPP3CC	ZNF45	ZNF689	NDUFS2
GALNT16	ZNF74	MALSU1	GART
SERPINE2	ATP11A	MPC2	PEA15
WRNIP1	RARG	C1orf35	RER1
GRIPAP1	AP5B1	NENF	TRIP10
SCYL1	TNRC6C	PCDHB16	RANBP10
TRIOBP	CAPN15	HIST1H2BC	NUDCD3
GPN2	SMO	FOSL2	TTC17
ZNF426	PCNX3	PIAS3	IRF3
