"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"chrE",49461.2972171373,1.36401151695595,0.27492807321161,4.96133952790656,7.00086947926935e-07,0.000314243573217204
"NM_017847",63.9022336029962,0.302054891730708,0.338761811081835,0.891643868493019,0.372583848774506,0.999758011273663
"NM_001003803",48.4128512444263,0.180483255996992,0.375636886366355,0.480472665352061,0.630891335353167,0.999758011273663
"NM_001003800",585.283004475555,0.244334076620162,0.168318408490975,1.45161826808304,0.146607776383496,0.874774496548048
"NM_016649",55.6237812979009,0.0744390809961203,0.841988585608202,0.0884086581082925,0.929551880068544,0.999758011273663
"NM_016647",92.431057416335,-0.33770311484885,0.322458005846209,-1.04727781207551,0.294971466355107,0.979106968153507
"NM_016640",216.178147093698,0.00968328847475617,0.157087626843647,0.0616425919044163,0.950847457980707,0.999758011273663
"NM_003279",63.2038616662439,0.261574421626862,0.415472694675851,0.629582701772834,0.528967644138007,0.999758011273663
"NM_001304467",27.9167742585561,-0.532815976612033,0.442397072471524,-1.20438404719852,0.228441175048603,0.95044411433085
"NM_001080825",33.6774319687297,-0.0317775211254087,0.374001487847585,-0.0849662960120598,0.932288185669035,0.999758011273663
"NM_001008781",948.303707810993,-0.353360904896711,0.22567620633641,-1.56578715422912,0.117398454526344,0.81521000415262
"NM_001253384",75.4300409668677,-0.0903540669359545,0.308114514010835,-0.293248330822797,0.769332344348565,0.999758011273663
"NM_003363",128.633625888379,0.520051906862227,0.246272704830571,2.1116912132833,0.0347129431702895,0.497975932738437
"NM_207118",44.1715795578027,-0.0790083622322483,0.399769445032765,-0.197634819804132,0.843330789841223,0.999758011273663
"NM_001282735",1175.74617977635,0.0205795053834731,0.233224876280161,0.0882388950600277,0.929686804078728,0.999758011273663
"NM_001282730",133.822463842211,0.171615073858362,0.222335171897097,0.771875508467865,0.440188164328014,0.999758011273663
"NM_004109",46.0871670685877,-0.206784734524824,0.324691525773317,-0.63686520315652,0.524212650126916,0.999758011273663
"NM_004101",28.4254557535846,0.0453642838472314,0.383462406627876,0.118301776297081,0.905828550002996,0.999758011273663
"NM_007101",37.7413191380541,0.388017106210756,0.38722019561133,1.0020580295358,0.316315566929984,0.993504377496431
"NM_007100",145.32731011625,-0.049908318470456,0.265366709272587,-0.18807302018879,0.850819410448204,0.999758011273663
"NM_000485",277.53362322999,-0.120613096750037,0.243160197130568,-0.496023190363152,0.619878049434,0.999758011273663
"NM_007108",578.089714620081,0.0681595977377354,0.304598831384032,0.223768415092181,0.822937507884873,0.999758011273663
"NM_016643",74.2487925590273,-0.343280734254414,0.229451529002837,-1.4960925984946,0.134629526421388,0.853660013149524
"NM_001350532",108.881402443962,0.0338500632489398,0.311867750183081,0.108539800056492,0.913567511102842,0.999758011273663
"NM_001350530",202.228645707613,-0.0982624246033327,0.335549020869112,-0.29284074305692,0.769643884235068,0.999758011273663
"NM_014177",57.1496567371682,-0.0673662086729199,0.311796291024471,-0.216058402912922,0.828942223544527,0.999758011273663
"NM_020992",23.4489631327558,-0.13382905509979,0.492815718643159,-0.271560037630808,0.78596033036477,0.999758011273663
"NM_005802",120.810274260048,-0.799696724390066,0.356362169319877,-2.24405616880237,0.0248287876186117,0.43090382730016
"NM_003824",92.6745291978166,-0.338256621740777,0.27801584929566,-1.2166810726717,0.223725583157065,0.948616163132331
"NM_003825",111.194655646093,-0.137681886566007,0.265232385396493,-0.519099077438029,0.603691651652905,0.999758011273663
"NM_003826",91.9812581269343,-0.214413376950262,0.277815836079756,-0.771782415199355,0.440243308471734,0.999758011273663
"NM_003827",367.016966999444,0.1611139813472,0.187695868233664,0.858377879403439,0.390683838167808,0.999758011273663
"NM_003821",58.2160885870954,-0.0460818362962044,0.256784240845877,-0.17945741586168,0.857578551691894,0.999758011273663
"NM_003795",218.937096947387,0.0144247306427961,0.231095037873804,0.0624190409950434,0.950229132003836,0.999758011273663
"NM_012181",726.827455184776,0.0344150825757567,0.171929572860537,0.200169650881835,0.841347901897622,0.999758011273663
"NM_012180",29.5440155718941,-0.577442906794536,0.36446475009805,-1.58435872505967,0.113112109018315,0.806485253830944
"NM_001018088",73.2599008951902,-1.10025376353961,0.390953100557601,-2.81428581067746,0.00488857430566016,0.181942084021774
"NM_020437",46.3638426882124,-0.239586128605448,0.327017734790342,-0.732639557787445,0.463778297506993,0.999758011273663
"NM_020733",104.03091902877,-0.150111383856252,0.244954117228121,-0.612814291733078,0.539999139848208,0.999758011273663
"NM_020731",53.5707917583529,0.689770089781405,0.273530641167826,2.52172877903721,0.0116779709857041,0.310395085491881
"NM_001025780",55.8304265264504,-1.05489029591406,0.349610270253851,-3.01733211426571,0.00255010253135146,0.128480931107631
"NM_001300829",684.078218699051,0.225369174720474,0.243075206598294,0.927158215247015,0.353844394107747,0.997962923096819
"NM_002224",621.979936153793,0.107832934490761,0.320254642293277,0.336709980903295,0.736335538623302,0.999758011273663
"NM_175856",42.7673794893098,-0.231686346244288,0.423942425992502,-0.546504270484092,0.584719353026028,0.999758011273663
"NM_001688",403.846336749874,-0.1148505347417,0.213623880328135,-0.537629662775926,0.590832747408483,0.999758011273663
"NM_014171",85.4411523350704,-0.220865195105107,0.345503133880224,-0.639256705502634,0.522655948283081,0.999758011273663
"NM_001867",185.715673160173,-0.00439072323162739,0.245242563886288,-0.0179035937402091,0.985715762084311,0.999758011273663
"NM_144643",61.0143707716427,0.0180720319248169,0.358241977372253,0.0504464386261415,0.959766630798479,0.999758011273663
"NM_001161546",272.725403364675,-0.280090202895672,0.247342788339417,-1.13239688440529,0.257467614136436,0.965817160648053
"NM_144641",38.8230001482704,0.0352515565534375,0.318783295866373,0.110581567511662,0.911948164823771,0.999758011273663
"NM_000159",148.572036656068,-0.174579773739324,0.215580690631722,-0.809811737905413,0.418048385333853,0.999758011273663
"NM_000158",104.075458141617,-0.00133909838909063,0.279889588341455,-0.00478438085898709,0.996182630943073,0.999758011273663
"NM_021020",615.525971771449,0.312211525775553,0.241259411818362,1.29409055349355,0.195634144126267,0.915379431465811
"NM_021021",358.377156879544,0.319189293550961,0.23543009602747,1.35577098653402,0.175172045315648,0.903942055602657
"NM_015225",65.7590807684803,-0.07675100707607,0.278767241902556,-0.275322905777066,0.783068167975998,0.999758011273663
"NM_001143679",82.890637540572,-0.139355226104655,0.25311943931049,-0.5505512594539,0.581941328824469,0.999758011273663
"NM_001297658",172.747486495665,-0.407859106194313,0.221685915559668,-1.83980612915634,0.0657967052767968,0.656149093093112
"NM_023009",1467.00563931579,-0.221720394804632,0.296762093393166,-0.747131792573268,0.454984010959181,0.999758011273663
"NM_173531",38.7361236542578,-0.455158519696721,0.451978543024185,-1.00703568061275,0.313917628038377,0.993504377496431
"NM_001286499",36.3113133142553,-0.00635808899611245,0.333417862456173,-0.0190694312214547,0.984785717345787,0.999758011273663
"NM_001297656",706.531671435125,0.179730280536285,0.251019884320467,0.716000172746594,0.47399124224773,0.999758011273663
"NM_006885",260.633256895363,-0.0787886510972928,0.365049810795719,-0.215829864219222,0.829120368619224,0.999758011273663
"NM_002226",498.204089783907,0.303742140811116,0.213139594255288,1.42508547917807,0.154132493574087,0.881841468159972
"NM_001282864",22.247085509918,0.322323581778107,0.406199909533529,0.793509733048084,0.427480900876994,0.999758011273663
"NM_001319119",313.902656515081,0.150018694985312,0.206457508482486,0.726632303605654,0.46745123378441,0.999758011273663
"NM_001193653",161.835908226644,-0.385875079111209,0.238003346809642,-1.62130106271084,0.104953087239222,0.79238344411257
"NM_182976",152.104262234989,0.218287528137459,0.399137561955306,0.546897984414461,0.584448820546849,0.999758011273663
"NM_006270",86.7693689347951,0.0821300456875853,0.384561539235358,0.213568017880541,0.830883941981376,0.999758011273663
"NM_003355",83.4542020769726,-0.164734519199759,0.330509819495297,-0.498425491416007,0.618184173264979,0.999758011273663
"NM_001002030",89.0467901436928,-0.0719639514542879,0.34143245026884,-0.21077068508756,0.833066214575983,0.999758011273663
"NM_001170704",21.402565022784,0.00607753642872928,0.480739970543027,0.0126420451826885,0.989913376008714,0.999758011273663
"NM_003358",688.438008666978,0.111205630882556,0.235871910806571,0.471466189010318,0.637307859092767,0.999758011273663
"NM_003359",204.023562494481,-0.0772179446402584,0.30507983569672,-0.253107336523613,0.800185269705996,0.999758011273663
"NM_004813",95.545802023432,0.00441120590183277,0.280801414282043,0.0157093436053782,0.987466272798504,0.999758011273663
"NM_004814",658.796875251199,0.157300423549279,0.190337000499798,0.826431136017853,0.408559567140997,0.999758011273663
"NM_004815",64.6918537175476,-0.0842587544214709,0.28930525944765,-0.291245152550424,0.770863831826368,0.999758011273663
"NM_020199",124.797630591099,-0.269821710991859,0.262848809336438,-1.02652818429356,0.30464268563149,0.987711089977176
"NM_004817",232.313042848534,-0.219524904389437,0.209449584021293,-1.04810379746144,0.294590786890907,0.979106968153507
"NM_004818",391.603579690819,0.245825880079417,0.190099156686685,1.29314555816036,0.195960720822149,0.915379431465811
"NM_020196",653.833369524734,0.547899834142673,0.162761359292993,3.3662770851918,0.000761901342230126,0.0565697425152068
"NM_020195",85.6062701695707,-0.106016353337258,0.289199917384913,-0.366585005611033,0.713928594515533,0.999758011273663
"NM_014314",54.9076313742772,-0.0382895358607449,0.436038471181783,-0.087812288115243,0.930025870992185,0.999758011273663
"NM_020191",199.278113096195,0.298072373719705,0.219683923657072,1.35682378918631,0.174837206769512,0.903942055602657
"NM_001303098",94.6250735030319,-0.177369578913002,0.253554049712388,-0.699533606795855,0.484218618211344,0.999758011273663
"NM_005663",282.923780160825,0.530829383318275,0.229933839733566,2.30861792215261,0.0209647925337882,0.403118267598188
"NM_032961",176.675942427897,-0.00306958682530496,0.327844983338594,-0.00936292144551356,0.992529578682981,0.999758011273663
"NM_001303095",103.593386504749,-0.254667631086365,0.255320154816425,-0.997444292125979,0.31854890129939,0.993504377496431
"NM_001303096",325.936861860034,0.100418859256605,0.385519985346782,0.260476403489889,0.794496314562338,0.999758011273663
"NM_014313",105.997090554569,-0.0234218128658439,0.293878784400016,-0.0796988898455597,0.936476742421312,0.999758011273663
"NM_003688",101.1645953406,-0.407969389729465,0.272469582438158,-1.49730251016941,0.134314562033433,0.853660013149524
"NM_003689",240.538077197404,-0.0320623628514844,0.248081267158292,-0.129241370050833,0.897166662126398,0.999758011273663
"NM_003680",520.290858414006,0.26300961566562,0.193966263649018,1.35595546729475,0.175113337592755,0.903942055602657
"NM_003681",212.704552042394,0.139476586003967,0.181082787418715,0.770236575171874,0.441159571557368,0.999758011273663
"NM_003682",275.406801012435,-0.265526916434991,0.197724508411453,-1.34291352431862,0.179299976672231,0.903942055602657
"NM_003684",83.3123942771739,-0.00377715418145315,0.271421518316487,-0.013916192809182,0.988896842987234,0.999758011273663
"NM_003685",1682.25017339349,0.274941034941414,0.195408760714691,1.40700464982143,0.159426009980611,0.890010402789463
