HIST1H2BC	SPTLC1	PER3	GLUL	SLC45A4
TATDN2	EHBP1L1	GABBR1	NDUFS2	NCKIPSD
PHAX	CCNK	EXT1	GART	LRRC8A
ANLN	ACIN1	RALGDS	RER1	MAP3K5
GRK6	NDUFB9	HS6ST1	RANBP10	TLN2
XYLT2	SNU13	PLXNA1	TTC17	SLU7
AFF4	NDUFB7	UBN1	PSMD11	TONSL
L1CAM	TRIM68	ADGRB2	NDUFS6	PLXND1
LIMA1	CDC25A	AGBL5	CTDSP2	FMNL3
TMEM25	CLU	ZFAT	BAX	EHBP1
ATP2A2	CRMP1	ARHGEF12	CLNS1A	EPN1
ARHGAP1	ZC3H18	TRIO	CAPNS1	FBXL19
SGSM3	ECE1	TTBK2	RASSF4	DEF6
TANC1	CYP51A1	RBBP8	DIABLO	BACE1
FMN1	NHP2	KIF21B	EPS8L1	TIAM2
WDR46	LCMT1	ARHGAP23	GAPDH	SLC35F5
SKIV2L	CMPK1	PITPNM2	SP140L	NCOA3
SERBP1	CRBN	KIAA0930	MVB12A	YEATS2
ZMIZ1	MRPS17	FOXM1	PLIN2	MAN1C1
MED14	BCAT2	ZNF71	ADD1	SYNE1
CCNB1	MALSU1	EFL1	PSAP	CEP78
ABCB6	CCDC124	KDM4B	CREB3L2	AKT2
KPNA5	MRPL21	ITGB8	UBR7	TLE1
NFATC4	BOP1	HIPK2	RHOC	TMEM246
LUZP1	NOL12	VPS13D	RBMX2	MGAT1
MAP3K9	C1orf35	HACE1	MFAP1	TBCEL
GSPT1	NENF	ZNF496	PLAUR	CDK13
DHRS7B	MRPL19	ABTB2	DDX3X	EPG5
PUM2	FOSL2	TBC1D9	TIMM8B	GNAI2
TSPAN15	PIAS3	DLG4	TIMM13	C6orf47
UBTD2	SLC7A6OS	TAB3	FAM98C	CUX1
UQCRQ	ARMC9	CACNA1H	ZW10	USP3
ARFIP2	BIN3	ERCC8	UQCR11	SLC12A2
CYTH3	COX14	HIRA	GM2A	MON2
RAC1	VAPA	DAB2IP	LARS	POM121
ACVR1	WDR91	LRRC8B	GPATCH2	RABL6
FLAD1	METAP1	HIVEP2	LITAF	FBXW5
PLEKHO2	OGG1	IL11	NAT14	F2R
TMEM161A	NUDC	NF2	TIGAR	RNPEPL1
LYAR	TP53INP2	MARK3	ERICH1	PUM3
UBE2R2	VPS37C	MLLT6	ERF	SMG7
FECH	PPP2R1A	MPRIP	RABAC1	TRIB3
AHNAK2	CHID1	ZNF236	LRRC59	NOTCH2
RBM17	UXT	IRS1	TBC1D10A	MECP2
TBX18	FLT4	ZNF835	CISD3	BMS1
SLC29A1	AURKA	PPFIA4	AARS	CCDC14
FZD7	ATP1B1	PAPD7	METTL14	INTS14
ALG3	TMEM141	CREBBP	TMEM106C	RRBP1
INO80B	VANGL2	SLC40A1	VDAC3	EHD3
ADPGK	PSMD13	CDC42BPB	BSG	KLC1
MRPS15	RRP9	PTPN21	LAP3	APC2
DNAJC16	AIMP2	PDE8A	TARDBP	KATNB1
NCBP3	NT5C2	STK40	BRMS1L	AP1AR
CPSF7	VPS51	CIC	EGFLAM	DCHS1
TEX2	SCPEP1	FTH1	EIF4B	ASAP2
HBS1L	KPNA4	B4GALNT3	CD59	KIAA1841
MAPKAP1	PDCD2	UBE3C	RPL10	RNFT1
CUL9	RAB18	ZBTB7A	TMED9	CHD8
XKR5	C1orf53	PHF12	GBP2	TBC1D14
RNF123	WDR48	DENND5A	ETHE1	TSC2
MRPL17	HKR1	CAMSAP1	TPGS2	FAN1
COL8A1	TSPAN4	EPB41L1	TBC1D5	SLC16A5
RNF111	GSTO1	STK11	IAH1	ORAI2
RFT1	DYNLL2	ST3GAL2	PDCD5	CSMD1
PPP3CC	TMEM143	DZIP1	ATG12	MYO19
GALNT16	SFPQ	IPO13	SARS	ITPRIPL2
SERPINE2	CCDC115	JARID2	MRFAP1L1	EPOP
GGA1	SCD	VPS54	STAM	BRPF1
MSMO1	ELP3	HIVEP3	RFC4	PITPNM1
GRIPAP1	NECAP2	BRSK1	PCCA	PCDH7
BDH2	TCAF1	SLF2	HNRNPA2B1	MINK1
SCYL1	TTC31	TIAM1	FNTA	IL17RA
TRIOBP	PCDHAC1	PTPRG	MAP1LC3A	MBD4
GPN2	ZSWIM6	REXO1	FAM162A	SCARA3
IPO4	ACTB	B4GALT2	FANCL	CSK
ZBTB9	DYNC1LI1	TNK2	HMGA2	POLR3A
SLC15A4	TPPP3	TOP3B	SSNA1	ERLEC1
FMR1	WDR83OS	RAB11FIP3	YIF1B	TNKS2
BACH1	RAB20	GRIN3A	XBP1	GREB1
NPHP4	WRAP73	RC3H2	PSMG3	PHF14
ECI2	NCLN	LRP3	ALKBH7	CHRM3
RAD23A	RNF181	GNAZ	CDC40	SCAF1
JADE1	ATP6V1H	CELSR3	CNOT8	EPC2
GCLM	ISYNA1	FBXW7	ANKRD46	ZZZ3
TAPBP	AP2A1	FGFRL1	POLR2H	SZT2
KCNJ6	R3HCC1L	CCDC88C	FPGS	MGAT2
PHTF1	TXNDC11	USP31	CDKN2A	EVI5
TTLL1	FSD1	DAGLA	RFC5	PLEKHG3
FBLN1	RTL8B	TMC6	EPB41L2	PTPRO
ASXL1	EBP	NDST1	THRAP3	RUSC2
LETM1	RCN1	PCF11	TIMP1	IQCK
FLNA	GNB2	TULP4	ELP5	CTNS
TRIB2	SMAD3	SH3RF3	TK1	ALKBH3
SUGP2	MANBA	LATS2	TMEM205	ADGRG6
PKMYT1	TPT1	PPFIA1	PRDX2	CDK12
RBM19	ABI1	SLC43A1	PPP1R3C	ARHGEF40
KYAT3	SF3B5	CUEDC1	GOLPH3L	MAPK8IP1
GMCL1	LMNB2	TRAK2	SERPINF1	FYCO1
RDH10	TXNDC17	PACS2	DNAJC18	BAZ1B
PARP16	TMUB2	HOMER2	LY6E	FBRS
AP1B1	RPP30	PLEKHG5	RCC2	PRPF39
GUK1	CCDC28A	FBXO41	PIP4P2	BANP
SPAG9	INTS7	SHANK3	ZSCAN2	THAP7
CSRNP1	SEC11C	AZIN1	NUDT21	RNF24
SRPK2	NIT1	MED13	IRAK1BP1	NACC1
AP1M1	UBE2D2	FAM20C	NAA40	HEXDC
NYNRIN	MLX	SETD1A	TARSL2	PEG10
MTOR	DYNC1I2	ZDHHC6	COPE	LRRFIP2
