sample_name	time	assay
cdReads0_RNA_1	t0	rna
cdReads1_RNA_1	t1	rna
cdReads2_RNA_1	t2	rna
cdReads3_RNA_1	t3	rna
cdReads4_RNA_1	t4	rna
cdReads0_RNA_2	t0	rna
cdReads1_RNA_2	t1	rna
cdReads2_RNA_2	t2	rna
cdReads3_RNA_2	t3	rna
cdReads4_RNA_2	t4	rna
cdReads0_RPF_1	t0	rpf
cdReads1_RPF_1	t1	rpf
cdReads2_RPF_1	t2	rpf
cdReads3_RPF_1	t3	rpf
cdReads4_RPF_1	t4	rpf
cdReads0_RPF_2	t0	rpf
cdReads1_RPF_2	t1	rpf
cdReads2_RPF_2	t2	rpf
cdReads3_RPF_2	t3	rpf
cdReads4_RPF_2	t4	rpf
