AccNum,GeneName
NM_001178138,TFDP2
NM_001290326,USP38
NM_001278284,ZNF3
NM_001033081,MYCL
NM_003350,UBE2V2
NM_001281513,HADHB
NM_004126,GNG11
NM_001329662,ZNF25
NM_001282755,MTA3
NM_001353645,UPF3A
NM_001282759,TRA2A
NM_153717,EVC
NM_000317,PTS
NM_001304999,OXLD1
NM_000311,PRNP
NM_000310,PPT1
NM_030630,HID1
NM_001258026,TPI1
NM_030636,EEPD1
NM_001350517,TMX3
NM_001320252,GORAB
NM_021221,LY6G5B
NM_021224,ZNF462
NM_001033088,NGRN
NM_002632,PGF
NM_138782,FCHO2
NM_138783,ZNF653
NM_138785,GINM1
NM_001011724,HNRNPA1L2
NM_001270879,MPC1
NM_003353,UCN
NM_017489,TERF1
NM_001242597,TMEM147
NM_001193380,IL17RE
NM_001321784,FAM208B
NM_001286184,SLC25A44
NM_001303411,RPRD1A
NM_003724,JRK
NM_178019,CATSPER3
NM_006275,SRSF6
NM_005576,LOXL1
NM_021047,ZNF253
NM_153498,CAMK1D
NM_001330213,STK16
NM_173515,CNKSR3
NM_173510,CCDC117
NM_001145001,NEK6
NM_004781,VAMP3
NM_004782,SNAP29
NM_001193388,UNKL
NM_173475,DCUN1D3
NM_004786,TXNL1
NM_004788,UBE4A
NM_004789,LHX2
NM_001001933,LHX8
NM_001330372,MPI
NM_001317968,ARRDC1
NM_001317960,XRN2
NM_001317963,PWP1
NM_001304288,RPSA
NM_001282805,Mar-07
NM_003378,VGF
NM_003370,VASP
NM_006253,PRKAB1
NM_139321,ATRN
NM_006256,PKN2
NM_003377,VEGFB
NM_006785,MALT1
NM_006782,ZFPL1
NM_001145026,PTPRQ
NM_001351643,PPP6R2
NM_006788,RALBP1
NM_006789,APOBEC2
NM_004874,BAG4
NM_014298,QPRT
NM_001320099,CRADD
NM_004870,MPDU1
NM_004446,EPRS
NM_002738,PRKCB
NM_001256024,ARHGAP22
NM_020198,CCDC47
NM_001330216,CNP
NM_000179,MSH6
NM_001964,EGR1
NM_001199671,CALU
NM_004819,SYMPK
NM_198149,SHISA4
NM_144666,DNHD1
NM_000170,GLDC
NM_144660,SAMD8
NM_018994,FBXO42
NM_015475,FAM98A
NM_006435,IFITM2
NM_001317134,PFKFB4
NM_003157,NEK4
NM_001160213,PMFBP1
NM_006432,NPC2
NM_001160210,SLC25A13
NM_020319,ANKMY2
NM_001197293,DPYSL2
NM_001197294,DPYSL3
NM_020310,MNT
NM_020313,CIAPIN1
NM_001206710,PRKAG1
NM_020314,C16orf62
NM_004199,P4HA2
NM_032446,MEGF10
NM_001330219,HSD17B1
NM_052893,BTBD9
NM_001105539,ZBTB10
NM_024032,C17orf53
NM_001271593,PPME1
NM_005984,SLC25A1
NM_014470,RND1
NM_145265,CCDC127
NM_052897,MBD6
NM_022782,MPHOSPH9
NM_002013,FKBP3
NM_001040446,MTMR12
NM_001040445,ASB1
NM_001040441,ZBTB8A
NM_031286,SH3BGRL3
NM_201433,GAS7
NM_013245,VPS4A
NM_013247,HTRA2
NM_013248,NXT1
NM_001039661,TIRAP
NM_005094,SLC27A4
NM_006549,CAMKK2
NM_014028,OSTM1
NM_001193511,MAP3K12
NM_005760,CEBPZ
NM_018216,PANK4
NM_015375,DSTYK
NM_018214,LRRC1
NM_018211,RAVER2
NM_018210,NAXD
NM_001271938,MEGF8
NM_005762,TRIM28
NM_018219,CCDC87
NM_018218,USP40
NM_001166118,NT5C3A
NM_002208,ITGAE
NM_002207,ITGA9
NM_016323,HERC5
NM_001282232,PSMA6
NM_001134875,TEDC1
NM_152355,ZNF441
NM_001282236,CDKL1
NM_001292003,KLHL8
NM_001330698,YTHDC1
NM_024419,PGS1
NM_001287510,PPCS
NM_002775,HTRA1
NM_001318792,TMEM63B
NM_004041,ARRB1
NM_001318794,COX4I1
NM_002156,HSPD1
NM_145111,FAM200A
NM_001291953,GUCY1B1
NM_001560,IL13RA1
NM_005099,ADAMTS4
NM_001291958,MAP3K4
NM_032561,C22orf23
NM_002779,PSD
NM_001130020,ATP6V0A1
NM_003683,RRP1
NM_004045,ATOX1
NM_001130026,TCAF2
NM_001130028,CLK3
NM_004044,ATIC
NM_033163,FGF8
NM_001242875,ELP2
NM_001349220,ARIH2
NM_001287060,RABGEF1
NM_001330692,PSMD4
NM_014680,KIAA0100
NM_014681,DHX34
NM_001568,EIF3E
NM_001353345,SETD1B
NM_014685,HERPUD1
NM_014686,KIAA0355
NM_030952,NUAK2
NM_001330311,DVL1
NM_020879,CCDC146
NM_001353438,SHISA8
NM_080652,TMEM41A
NM_006415,SPTLC1
NM_080656,CDKN2AIPNL
NM_080657,RSAD2
NM_001093729,CCDC102B
NM_001345927,DDX60L
NM_001093725,MEX3A
NM_001099409,EHBP1L1
NM_033386,MICALL1
NM_000213,ITGB4
NM_001099402,CCNK
NM_000210,ITGA6
NM_001110514,EBF4
NM_003419,ZNF345
NM_133631,ROBO1
NM_001317980,RPL26L1
NM_001278248,RWDD3
NM_032389,ARFGAP2
NM_014977,ACIN1
NM_001013838,CARMIL2
NM_014975,MAST1
NM_014972,TCF25
NM_005005,NDUFB9
NM_014971,EFR3B
NM_005008,SNU13
NM_032383,HPS3
NM_032385,FAXDC2
NM_080386,TUBA3D
NM_177424,STX12
NM_018079,SRBD1
NM_004146,NDUFB7
NM_004994,MMP9
NM_018073,TRIM68
NM_018072,HEATR1
NM_015087,SPART
NM_176824,BBS7
NM_176822,NLRP14
NM_001034853,RPGR
NM_001034852,SMOC1
NM_001789,CDC25A
NM_004996,ABCC1
NM_001839,CNN3
NM_001316972,SPACA6
NM_181711,GRASP
NM_001831,CLU
NM_001206950,SLC16A3
NM_005763,AASS
NM_001330566,ZC3H13
NM_021973,HAND2
NM_015873,VILL
NM_174889,NDUFAF2
NM_001100119,XRCC3
NM_001288661,CRMP1
NM_001294340,ZC3H18
NM_001348067,DCTN2
NM_182645,VGLL2
NM_182647,OPRL1
NM_182640,MRPS9
NM_182643,DLC1
NM_001113347,ECE1
NM_005068,SIM1
NM_001354375,TUBGCP5
NM_020782,KLHL42
NM_021975,RELA
NM_017789,SEMA4C
NM_004663,RAB11A
NM_004661,CDC23
NM_004667,HERC2
NM_004664,LIN7A
NM_001167,XIAP
NM_025222,WDR82
NM_001161,NUDT2
NM_001321645,ZNF224
NM_001199469,ISY1
NM_001317776,THAP9
NM_001271208,NEB
NM_001308384,SLC38A7
NM_001143827,MAPRE2
NM_001348322,TRIP12
NM_001143823,ZBTB14
NM_001321648,NUDT5
NM_001143821,PLEKHA5
NM_000784,CYP27A1
NM_000785,CYP27B1
NM_000786,CYP51A1
NM_017780,CHD7
NM_000788,DCK
NM_000789,ACE
NM_017781,CYP2W1
NM_001142483,NREP
NM_017838,NHP2
NM_017839,LPCAT2
NM_017836,SLC41A3
NM_017832,FAM206A
NM_017833,DNAJC28
NM_032802,SPPL2A
NM_022117,TSPYL2
NM_172070,UBR3
NM_020485,RHCE
NM_016309,LCMT1
NM_016308,CMPK1
NM_016307,PRRX2
NM_016306,DNAJB11
NM_016305,SS18L2
NM_016304,RSL24D1
NM_016303,TCEAL9
NM_016302,CRBN
NM_022873,IFI6
NM_001354955,FGF1
NM_015963,THAP4
NM_015960,CUTC
NM_001205029,MDM1
NM_015965,NDUFA13
NM_015969,MRPS17
NM_024295,DERL1
NM_153809,TAF1L
NM_001015508,PURG
NM_001284325,BCAT2
NM_138447,ZNF689
NM_138446,MALSU1
NM_138444,KCTD12
NM_138443,HAUS1
NM_138442,CCDC124
NM_138441,CGAS
NM_138440,VASN
NM_181515,MRPL21
NM_172251,MRPL54
NM_001199282,LRBA
NM_007313,ABL1
NM_007314,ABL2
NM_001143674,MPC2
NM_001136534,TMEM233
NM_001136537,BTBD19
NM_139199,BRD8
NM_020654,SENP7
NM_001024660,KALRN
NM_145803,TRAF6
NM_001032280,TFAP2A
NM_001032282,KLF10
NM_001032283,TMPO
NM_015201,BOP1
NM_020650,RCN3
NM_001350912,PYROXD1
NM_001350145,PATJ
NM_001330057,ZMYND11
NM_002923,RGS2
NM_031157,HNRNPA1
NM_002921,RGR
NM_003514,HIST1H2AM
NM_020959,ANO8
NM_002928,RGS16
NM_024315,TMEM243
NM_001080522,CC2D2A
NM_002158,FOXN2
NM_024310,PLEKHF1
NM_024313,NOL12
NM_024319,C1orf35
NM_014043,CHMP2B
NM_013349,NENF
NM_001283041,USP25
NM_020950,KIAA1614
NM_020957,PCDHB16
NM_020956,PRX
NM_001171941,FNDC5
NM_138389,FAM114A1
NM_175709,CBX7
NM_003525,HIST1H2BI
NM_003524,HIST1H2BH
NM_003527,HIST1H2BO
NM_003526,HIST1H2BC
NM_003521,HIST1H2BM
NM_003520,HIST1H2BN
NM_003523,HIST1H2BE
NM_003522,HIST1H2BF
NM_025241,UBXN6
NM_001080435,WHAMM
NM_003529,HIST1H3A
NM_003528,HIST2H2BE
NM_015188,TBC1D12
NM_001288819,CPEB1
NM_001350141,PRMT9
NM_020435,GJC2
NM_014763,MRPL19
NM_014762,DHCR24
NM_001001323,ATP2B1
NM_014760,TATDN2
NM_005259,MSTN
NM_014765,TOMM20
NM_014764,DAZAP2
NM_005255,GAK
NM_005257,GATA6
NM_005253,FOSL2
NM_005252,FOS
NM_152447,LRFN5
NM_152445,FAM161B
NM_006099,PIAS3
NM_032177,PHAX
NM_152441,FBXL14
NM_032175,UTP15
NM_032178,SLC7A6OS
NM_152449,LYSMD4
NM_018685,ANLN
NM_018686,CMAS
NM_001319036,COX7A2L
NM_001352755,ARMC9
NM_003272,GPR137B
NM_002082,GRK6
NM_018688,BIN3
NM_006092,NOD1
NM_022167,XYLT2
NM_001352289,RHOT2
NM_001123375,HIST2H3D
NM_001257134,COX14
NM_014501,UBE2S
NM_052966,FAM129A
NM_003275,TMOD1
NM_001256666,FAM193A
NM_032717,GPAT3
NM_003574,VAPA
NM_032711,MAFG
NM_003575,ZNF282
NM_001271893,TWIST2
NM_003513,HIST1H2AB
NM_001352130,ZNF415
NM_183353,RLIM
NM_183357,ADCY5
NM_014423,AFF4
NM_014149,WDR91
NM_001098638,RNF169
NM_001348143,PPP4R4
NM_022006,FXYD7
NM_030935,TSC22D4
NM_012283,KCNG2
NM_001111035,ACP5
NM_015412,NEPRO
NM_015141,GPD1L
NM_015143,METAP1
NM_015144,ZCCHC14
NM_015417,SPEF1
NM_015414,RPL36
NM_015147,CEP68
NM_015149,RGL1
NM_001127222,CACNA1A
NM_175861,TMTC1
NM_001278116,L1CAM
NM_014005,PCDHA9
NM_012434,SLC17A5
NM_001278119,ZKSCAN8
NM_001113546,LIMA1
NM_032780,TMEM25
NM_012124,CHORDC1
NM_174928,EEF1AKMT1
NM_001353084,TRIM37
NM_001353080,MPP3
NM_012430,SEC22A
NM_001304420,SLMAP
NM_170665,ATP2A2
NM_015353,KCTD2
NM_016828,OGG1
NM_033449,FCHSD1
NM_001271918,SEC11A
NM_001040261,DCLK2
NM_033445,HIST3H2A
NM_020703,AMIGO1
NM_001319,CSNK1G2
NM_001330482,ZNF569
NM_004308,ARHGAP1
NM_018237,CCAR1
NM_006600,NUDC
NM_001310,CREBL2
NM_174953,ATP2A3
NM_001282777,POLR1B
NM_001329642,SPDL1
NM_018105,THAP1
NM_014460,CSDC2
NM_001164665,KIAA1549
NM_001350039,SGSM3
NM_001321417,USHBP1
NM_001350065,TANC1
NM_021200,PLEKHB1
NM_021202,TP53INP2
NM_021203,SRPRB
NM_021204,ENOPH1
NM_021205,RHOU
NM_001261826,AP3D1
NM_001308080,COMMD10
NM_001322855,NIPAL3
NM_017966,VPS37C
NM_001322500,ULK4
NM_001350121,SEMA3C
NM_001114403,UPK3BL1
NM_014225,PPP2R1A
NM_001329214,MIA2
NM_152499,CCDC24
NM_138387,G6PC3
NM_001277313,FMN1
NM_014220,TM4SF1
NM_005452,WDR46
NM_021064,HIST1H2AG
NM_021065,HIST1H2AD
NM_021066,HIST1H2AJ
NM_001142675,CHID1
NM_021061,ZNF250
NM_021062,HIST1H2BB
NM_178011,LRRTM3
NM_002553,ORC5
NM_006929,SKIV2L
NM_153477,UXT
NM_002220,ITPKA
NM_001281482,ARFGAP1
NM_153478,CSAG1
NM_001278351,FRS2
NM_001166136,EVC2
NM_001174116,DMXL2
NM_001001660,ETFRF1
NM_001001662,ZNF782
NM_001297619,ZFP14
NM_000379,XDH
NM_001010911,CASC10
NM_133264,WIPF2
NM_152493,ZNF362
NM_133261,GIPC3
NM_145331,MAP3K7
NM_182925,FLT4
NM_182924,MICALL2
NM_003316,TTC3
NM_006234,POLR2J
NM_003312,TST
NM_006233,POLR2I
NM_003311,PHLDA2
NM_153614,DNAJB13
NM_153610,CMYA5
NM_153613,LPCAT4
NM_004502,HOXB7
NM_004855,PIGB
NM_004506,HSF2
NM_180989,GPR180
NM_004853,STX8
NM_198439,KBTBD3
NM_015322,FEM1B
NM_015177,DTX4
NM_198433,AURKA
NM_013306,SNX15
NM_000191,HMGCL
NM_000190,HMBS
NM_001677,ATP1B1
NM_001018067,SERBP1
NM_032928,TMEM141
NM_198129,LAMA3
NM_001331022,DSCR3
NM_001080504,RBM44
NM_001286752,SETD4
NM_033196,ZNF682
NM_001324266,OGFRL1
NM_020338,ZMIZ1
NM_001206739,ITGB3BP
NM_020336,RALGAPB
NM_020335,VANGL2
NM_001199251,SGO1
NM_000064,C3
NM_004229,MED14
NM_000998,RPL37A
NM_001164372,GPN3
NM_001164723,PTAFR
NM_145271,ZNF688
NM_000992,RPL29
NM_001348688,ZNF726
NM_001317238,ATAD3B
NM_000997,RPL37
NM_000069,CACNA1S
NM_004282,BAG2
NM_175932,PSMD13
NM_001300942,EMSY
NM_031966,CCNB1
NM_004704,RRP9
NM_001326609,AIMP2
NM_005689,ABCB6
NM_001351179,NT5C2
NM_002040,GABPA
NM_002043,GABRR2
NM_001305456,MED20
NM_002048,GAS1
NM_013265,VPS51
NM_024789,MFSD13A
NM_013262,MYLIP
NM_024787,RNF122
NM_024784,ZBTB3
NM_001206998,ZNRF3
NM_021626,SCPEP1
NM_021199,SQOR
NM_032725,BUD13
NM_001047160,NET1
NM_001305630,C7orf49
NM_001346082,TP53I13
NM_002261,KLRC3
NM_002260,KLRC2
NM_001282666,MICAL2
NM_024888,PLPPR3
NM_002269,KPNA5
NM_002268,KPNA4
NM_002598,PDCD2
NM_024430,PSTPIP2
NM_001136026,SEC13
NM_021197,WFDC1
NM_001136022,NFATC4
NM_001256410,RAB18
NM_001024593,MSS51
NM_005458,GABBR2
NM_032546,TRIM54
NM_001024594,C1orf53
NM_032548,ABTB1
NM_007275,TUSC2
NM_033631,LUZP1
NM_001346228,WDR48
NM_033141,MAP3K9
NM_001130007,GSPT1
NM_014209,ETV2
NM_001322966,OAT
NM_001349247,TRAK1
NM_001329765,HKR1
NM_001025237,TSPAN4
NM_080678,UBE2F
NM_001191003,GSTO1
NM_006598,SLC12A7
NM_152271,LONRF1
NM_080670,SLC35A4
NM_080672,PHACTR3
NM_080677,DYNLL2
NM_001319207,TRAF5
NM_015319,TNS2
NM_001330159,DHRS7B
NM_015315,LARP1
NM_015317,PUM2
NM_015316,PPP1R13B
NM_001348239,PCBP3
NM_018273,TMEM143
NM_015312,KIAA1109
NM_012338,TSPAN12
NM_012339,TSPAN15
NM_001277120,ZNF468
NM_012337,CFAP45
NM_012334,MYO10
NM_152277,UBTD2
NM_012333,MYCBP
NM_012330,KAT6B
NM_017752,TBC1D8B
NM_014402,UQCRQ
NM_002690,POLB
NM_014400,LYPD3
NM_014950,ZBTB1
NM_001195124,C16orf95
NM_014405,CACNG4
NM_005066,SFPQ
NM_005067,SIAH2
NM_001321118,CCDC115
NM_005063,SCD
NM_001242854,ARFIP2
NM_018356,C5orf22
NM_001350593,TRMT11
NM_004220,ZNF213
NM_005069,SIM2
NM_018091,ELP3
NM_018090,NECAP2
NM_018093,WDR74
NM_018092,NETO2
NM_018094,GSPT2
NM_001307944,UPRT
NM_004381,ATF6B
NM_001813,CENPE
NM_001812,CENPC
NM_001206938,TCAF1
NM_001244963,NAV2
NM_001316919,TVP23B
NM_004227,CYTH3
NM_007274,ACOT7
NM_022496,ACTR6
NM_022497,MRPS25
NM_022491,SUDS3
NM_022492,TTC31
