AccNum,GeneName,txReads0,txRPKM0,cdReads0,cdRPKM0,txReads1,txRPKM1,cdReads1,cdRPKM1,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_013306,SNX15,38.0,17.5729255844,25.0,21.7852684698,49.0,22.5350885171,34.0,29.4648707003,52.0,19.934044182,43.0,31.0615384945
NM_000191,HMGCL,8.0,4.4611027374,5.0,4.58426201542,22.0,12.2005001265,15.0,13.6770804541,9.0,4.16031626746,8.0,6.08024408824
NM_000190,HMBS,7.0,4.15955702553,7.0,5.77971597746,21.0,12.4099791635,16.0,13.1380573938,19.0,9.35910335053,13.0,8.89781576172
NM_000193,SHH,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_000192,TBX5,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_198123,CSMD3,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001677,ATP1B1,110.0,44.8340825109,58.0,57.0258067024,103.0,41.7499097716,64.0,62.5786417969,148.0,50.0044801311,88.0,71.7228792777
NM_144685,HIPK4,0.0,-,0.0,-,1.0,0.358707017541,1.0,0.481764260187,1.0,0.298998326543,1.0,0.401572036622
NM_001242326,USP17L25,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_144688,CCDC155,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001018067,SERBP1,204.0,27.043621621,80.0,58.4633512774,177.0,23.3351536476,103.0,74.8572139343,264.0,29.0115017303,148.0,89.6575845872
NM_032928,TMEM141,40.0,41.8033403365,11.0,30.1636029125,46.0,47.8092071071,19.0,51.8139671759,44.0,38.1184533224,16.0,36.3699004177
NM_198129,LAMA3,1.0,0.0841164775063,1.0,0.0896502349747,2.0,0.167306875348,2.0,0.178313466428,1.0,0.0697288780288,1.0,0.0743161207545
NM_013940,OR10H1,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001145140,CXorf49,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
