"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"chrE",49461.2972171373,2.72277995064608,0.274914449318687,9.90409910208021,3.99554737586528e-23,4.12260578241779e-19
"NM_017847",63.9022336029962,0.176901201141326,0.360314757842172,0.49096296305136,0.623452643198796,0.954416891205361
"NM_001003803",48.4128512444263,0.199459596113386,0.398421777494472,0.50062423135531,0.61663560563494,0.95322705355227
"NM_001003800",585.283004475555,0.291155414151038,0.170158380229999,1.7110847773556,0.0870654638728303,0.586427825868708
"NM_016649",55.6237812979009,0.617461058232727,0.848221648558767,0.727947770823664,0.466645558817227,0.917402806910989
"NM_016647",92.431057416335,-0.570040378464731,0.333098179305129,-1.71132841270368,0.0870205041392866,0.586427825868708
"NM_016640",216.178147093698,0.134272894656017,0.16317702040904,0.822866444793704,0.410583946372397,0.901612591072738
"NM_003279",63.2038616662439,-0.0281840486840933,0.430785327148924,-0.0654248111713191,0.947835769938004,0.995487889461674
"NM_001304467",27.9167742585561,-0.385104564709217,0.459025839882989,-0.838960536093969,0.401491455477409,0.895888589449808
"NM_001080825",33.6774319687297,0.239856630465852,0.388213517119366,0.617847189468423,0.536676073551118,0.93384016100904
"NM_001008781",948.303707810993,-0.310549365840452,0.226577978482437,-1.37060701097448,0.170497496245528,0.741561102803019
"NM_002223",18.4741407220563,-0.800443775535668,0.509473125431808,-1.57112070407491,0.116154614309748,0.652602145403799
"NM_001253384",75.4300409668677,-0.173581094257364,0.319257648781299,-0.543702225835386,0.586646400497836,0.945948727462113
"NM_001145313",15.1218815567099,0.0757543383612189,0.594490240324972,0.127427387739467,0.89860214064573,0.992293590198751
"NM_003363",128.633625888379,0.545501925577873,0.260400065395184,2.09486093926289,0.0361833560301072,0.415283501133088
"NM_207118",44.1715795578027,-0.415257833060416,0.456479073237624,-0.909697415294764,0.362982107689953,0.876491782622265
"NM_001282735",1175.74617977635,-0.0759662942480339,0.234266066845285,-0.324273571802458,0.745730926222721,0.978299930567579
"NM_001282730",133.822463842211,0.454469715551898,0.227581796653124,1.99695108411765,0.0458304970459401,0.456006816316306
"NM_004109",46.0871670685877,0.0690152121641213,0.335937288926374,0.205440760639249,0.83722777698262,0.985545364420274
"NM_004101",28.4254557535846,-0.231566919254345,0.428302156023587,-0.540662511261308,0.588740222564832,0.947111733313252
"NM_007101",37.7413191380541,0.0110536946247282,0.407047311685987,0.0271557981280944,0.978335470675629,0.998930184467125
"NM_007100",145.32731011625,-0.267236574337649,0.276220184656529,-0.967476633432668,0.333305816817424,0.86451719907546
"NM_000485",277.53362322999,-0.182397484245569,0.247421642631902,-0.737192924213698,0.46100503578979,0.91678616557893
"NM_007108",578.089714620081,-0.0649530581157048,0.306332276820766,-0.212034653317674,0.832079999481399,0.984981783922029
