"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"chrE",49461.2972171373,0.97498358697852,0.389322554063861,2.50430800065745,0.01226911760667,0.584753872722627
"NM_017847",63.9022336029962,-0.276099565152455,0.45602467600913,-0.605448739240871,0.5448808748364,0.998707784398373
"NM_001003803",48.4128512444263,-0.0315059570666989,0.497751362405717,-0.0632965762553121,0.94953034205093,0.999665148936266
"NM_001003800",585.283004475555,-0.0298518098508757,0.242855868927292,-0.122919861820646,0.902170557438841,0.999665148936266
"NM_016649",55.6237812979009,-1.13744493187044,1.14557145520762,-0.992906140162416,0.320755697225562,0.998707784398373
"NM_016647",92.431057416335,0.107889950584603,0.464015226749744,0.232513814989073,0.816138958400239,0.998707784398373
"NM_016640",216.178147093698,0.0042403420796652,0.22288569242922,0.0190247387952539,0.984821370274759,0.999665148936266
"NM_003279",63.2038616662439,-0.778754217618307,0.579561458227199,-1.34369566257979,0.179046820499463,0.998707784398373
"NM_001008781",948.303707810993,-0.115370801284473,0.322021105342061,-0.358270931223352,0.720140569743098,0.998707784398373
"NM_001253384",75.4300409668677,0.186870041461826,0.43705675593689,0.427564701662704,0.668968069554187,0.998707784398373
"NM_003363",128.633625888379,-0.206679466641466,0.323933319640769,-0.638030897441073,0.523453567415068,0.998707784398373
"NM_001282735",1175.74617977635,0.0797913859484619,0.330489663162668,0.241433832407606,0.809218893688206,0.998707784398373
"NM_001282730",133.822463842211,0.0735436123091351,0.315271336198039,0.233270849154959,0.815551093246459,0.998707784398373
"NM_004109",46.0871670685877,0.268761803037669,0.452437093350233,0.5940313183597,0.552491166175302,0.998707784398373
"NM_007100",145.32731011625,0.0306986070275144,0.369990756796438,0.0829712809404158,0.93387437534342,0.999665148936266
"NM_000485",277.53362322999,0.161144112381493,0.343583961268719,0.469009414136945,0.639062906938679,0.998707784398373
"NM_007108",578.089714620081,0.0146363043957776,0.430433809622264,0.0340036123292033,0.972874270146238,0.999665148936266
"NM_016643",74.2487925590273,0.0250514339519784,0.358769217141904,0.0698260406830549,0.944332120292056,0.999665148936266
"NM_001350532",108.881402443962,-0.36353323419007,0.439040729134269,-0.828017106537952,0.407660812066403,0.998707784398373
"NM_001350530",202.228645707613,-0.155665000917846,0.466233308442207,-0.333877906402609,0.738471692201955,0.998707784398373
"NM_014177",57.1496567371682,-0.0979500122024968,0.43925714051153,-0.222990142148698,0.823543178780527,0.998707784398373
"NM_005802",120.810274260048,-0.543760024481989,0.495854805348911,-1.09661138425263,0.272811308805111,0.998707784398373
"NM_003824",92.6745291978166,0.0142561115124312,0.390094190668789,0.0365453058605926,0.970847553965535,0.999665148936266
"NM_003825",111.194655646093,-0.136222210935732,0.35448428657029,-0.384282790793665,0.700768861590253,0.998707784398373
"NM_003826",91.9812581269343,-0.0503542095595548,0.374868317665551,-0.13432506079236,0.893145537171476,0.999555731511252
"NM_003827",367.016966999444,0.295086670674793,0.263922852406155,1.11807927197103,0.263533138358003,0.998707784398373
"NM_003821",58.2160885870954,0.256552074511814,0.369146493132968,0.694987164403056,0.487063345531191,0.998707784398373
"NM_003795",218.937096947387,0.0185898313763703,0.317980865850501,0.0584621069152959,0.953380545146556,0.999665148936266
"NM_012181",726.827455184776,-0.145973199581348,0.247361131923723,-0.590121812776797,0.555108985940431,0.998707784398373
"NM_001018088",73.2599008951902,-0.280011812716464,0.528414347921986,-0.529909556425982,0.596174640028071,0.998707784398373
"NM_020437",46.3638426882124,0.444424999347449,0.513263094480739,0.865881463379064,0.38655516937122,0.998707784398373
"NM_020733",104.03091902877,0.663906988217064,0.33807655936635,1.96377704938021,0.0495559527501517,0.998707784398373
"NM_020731",53.5707917583529,0.594241931489682,0.44489625979868,1.33568650758849,0.181651761251893,0.998707784398373
"NM_001025780",55.8304265264504,-0.442790124360187,0.47287662998331,-0.936375570887939,0.34907985123173,0.998707784398373
"NM_001300829",684.078218699051,-0.332039296699591,0.343502383243092,-0.96662880054783,0.333729631679276,0.998707784398373
"NM_002224",621.979936153793,0.499770585052487,0.457818202468647,1.09163546219356,0.27499336253231,0.998707784398373
"NM_001688",403.846336749874,0.0601122922776839,0.298674917711406,0.201263275598412,0.840492716797831,0.998707784398373
"NM_014171",85.4411523350704,-0.0212114657937162,0.44918786840886,-0.0472218136007385,0.962336442174035,0.999665148936266
"NM_001867",185.715673160173,0.0450654952113934,0.322858615211258,0.139582755696035,0.888989666184671,0.998707784398373
"NM_144643",61.0143707716427,-0.00556786216047168,0.501875346557504,-0.0110941137050527,0.991148359535025,0.999665148936266
"NM_001161546",272.725403364675,-0.0957110371894533,0.35236656206927,-0.271623495224379,0.785911531869954,0.998707784398373
"NM_000159",148.572036656068,0.278911065158268,0.309159342935934,0.902159587058203,0.366972099213625,0.998707784398373
"NM_000158",104.075458141617,-0.354304661576563,0.387289601915143,-0.914831329900235,0.360280184614844,0.998707784398373
"NM_021020",615.525971771449,0.42503275018648,0.343392057928807,1.23774775907776,0.215809604408997,0.998707784398373
"NM_021021",358.377156879544,0.299862403622828,0.334392959440581,0.896736594348397,0.369859488702691,0.998707784398373
"NM_015225",65.7590807684803,-0.299456965719656,0.379535987117228,-0.789008093788908,0.430107275980577,0.998707784398373
"NM_001143679",82.890637540572,0.221535384843939,0.358756032575629,0.617509852736031,0.536898484524988,0.998707784398373
"NM_001297658",172.747486495665,0.367205961749293,0.326069809811529,1.12615749971315,0.260098859288749,0.998707784398373
"NM_023009",1467.00563931579,0.325765005441407,0.418971144736447,0.777535659756064,0.436842804151674,0.998707784398373
"NM_001297656",706.531671435125,-0.322567183104685,0.355735399960324,-0.906761551255968,0.364532906235104,0.998707784398373
"NM_006885",260.633256895363,0.871376515555131,0.516179126209776,1.68812815418073,0.0913866310045504,0.998707784398373
"NM_002226",498.204089783907,0.452081878998841,0.310504880095824,1.45595740350144,0.145404395376292,0.998707784398373
"NM_001319119",313.902656515081,0.142402898955706,0.297532342149856,0.478613175047648,0.632213843771957,0.998707784398373
"NM_001193653",161.835908226644,0.417015559582729,0.338288246312394,1.23272257942309,0.21767928469164,0.998707784398373
"NM_182976",152.104262234989,-0.538853643200274,0.52928652013814,-1.01807550862931,0.308642073381392,0.998707784398373
"NM_006270",86.7693689347951,0.171039811734664,0.540925411627169,0.316198514727114,0.751851835037084,0.998707784398373
"NM_003355",83.4542020769726,0.928949977605889,0.472288458778647,1.96691229764154,0.0491933225375062,0.998707784398373
"NM_001002030",89.0467901436928,-0.424738079873788,0.455930917004884,-0.931584290585053,0.351551404810167,0.998707784398373
"NM_003358",688.438008666978,-0.21664734145814,0.333047549662151,-0.650499730978086,0.51536947545965,0.998707784398373
"NM_003359",204.023562494481,-0.581854682392695,0.426810383794297,-1.36326271451053,0.172799728414338,0.998707784398373
"NM_004813",95.545802023432,0.235494912057289,0.408720713436586,0.576175623880697,0.564496479761754,0.998707784398373
"NM_004814",658.796875251199,-0.171248675062206,0.269121815540976,-0.636324018244194,0.524565253313965,0.998707784398373
"NM_004815",64.6918537175476,0.509682213414852,0.408431599611889,1.24790102895852,0.212067303798488,0.998707784398373
"NM_020199",124.797630591099,0.0158683740148978,0.356794079903944,0.0444748803544326,0.964525874732195,0.999665148936266
"NM_004817",232.313042848534,-0.0130515632339403,0.299304303172482,-0.0436063334058349,0.965218203173917,0.999665148936266
"NM_004818",391.603579690819,-0.245622746727335,0.277944996501379,-0.883709905985361,0.376852831493389,0.998707784398373
"NM_020196",653.833369524734,0.146406495488109,0.226122094301194,0.647466564205333,0.5173300274784,0.998707784398373
"NM_020195",85.6062701695707,0.449696832743927,0.404245575609084,1.11243476707534,0.265951263120514,0.998707784398373
"NM_014314",54.9076313742772,-0.405286833260452,0.602002624142719,-0.673231007651504,0.50080033727079,0.998707784398373
"NM_020191",199.278113096195,-0.134247364427603,0.3077678971524,-0.436196775783691,0.662693967033481,0.998707784398373
"NM_001303098",94.6250735030319,0.747260506627877,0.399792463657159,1.86912104293364,0.0616059760079551,0.998707784398373
"NM_005663",282.923780160825,0.112968229425869,0.327399067532541,0.345047498996437,0.730058661953757,0.998707784398373
"NM_032961",176.675942427897,0.404558841704787,0.470978029918896,0.858976037108256,0.390353736720359,0.998707784398373
"NM_001303095",103.593386504749,0.191282293502024,0.362921501024005,0.52706244452949,0.598150225485188,0.998707784398373
"NM_001303096",325.936861860034,-0.532428494933163,0.542818320660556,-0.980859478518061,0.32666204241965,0.998707784398373
"NM_014313",105.997090554569,0.0858562908883114,0.399850413795623,0.214721025478782,0.829984828941048,0.998707784398373
"NM_003688",101.1645953406,0.467973567916627,0.37520465449671,1.2472488342245,0.212306271939394,0.998707784398373
"NM_003689",240.538077197404,0.141519157478215,0.352843597586578,0.401081834688783,0.688359874489001,0.998707784398373
"NM_003680",520.290858414006,-0.0338067779426141,0.274482913956895,-0.123165327324975,0.901976181263379,0.999665148936266
"NM_003681",212.704552042394,0.316550180083174,0.256584913811814,1.23370534682074,0.217312720814382,0.998707784398373
"NM_003682",275.406801012435,0.290933863937227,0.28691275653634,1.01401508754588,0.310575553073938,0.998707784398373
"NM_003684",83.3123942771739,0.214330636867085,0.390372803153089,0.54904090432507,0.582977378946533,0.998707784398373
"NM_003685",1682.25017339349,0.425568139291202,0.276381886042852,1.53978303493167,0.123613248595849,0.998707784398373
"NM_003687",465.744992816862,0.233693323761849,0.422558996437501,0.55304306790783,0.580233919603674,0.998707784398373
"NM_006417",131.738986529229,-0.576063439588078,0.508987092959155,-1.13178398343847,0.257725262994956,0.998707784398373
"NM_003172",112.309420838906,0.32569905551847,0.291939517218912,1.11563880978211,0.264576772608398,0.998707784398373
"NM_006411",224.466071163241,0.451820077531999,0.344504904937305,1.31150549979607,0.189687036847249,0.998707784398373
"NM_001128844",2597.23682647552,0.26512252814812,0.347498006108607,0.762946904694638,0.445495061523538,0.998707784398373
"NM_001127325",241.238782215116,0.22761524691737,0.402239414941062,0.565870072555474,0.571482107318429,0.998707784398373
"NM_001127322",234.361183985522,-0.798600412098285,0.365396355220815,-2.18557301047975,0.0288468589985446,0.809997424895688
"NM_001098398",1012.23016457397,-0.350395707944563,0.359647066844795,-0.974276562349321,0.329919238684472,0.998707784398373
"NM_001257360",656.066700706551,0.242961945279935,0.313877352916884,0.774066504072601,0.438891464383043,0.998707784398373
"NM_002887",299.115506519096,-0.376585370509497,0.444401970836124,-0.847398065766826,0.396773282252054,0.998707784398373
"NM_002886",101.252615008003,0.21111188891319,0.331888469238061,0.636092869986879,0.524715892482541,0.998707784398373
"NM_002881",123.645820311269,-0.133154547976083,0.363525558942002,-0.366286619195672,0.714151213202554,0.998707784398373
"NM_001346791",60.7494526233228,-0.30149401880749,0.398158242113573,-0.75722159412561,0.448917115105222,0.998707784398373
