AccNum	GeneName	cdRPKM0	cdRPKM1	cdRPKM2	cdRPKM3	cdRPKM4
NM_017847	ODR4	4.041662789260878	3.7213145266316454	3.8250444044595993	3.2331342121521365	3.39056431907092
NM_001003803	ATP5S	4.917189213961851	5.216992880509865	5.43491691277126	4.622078035503369	3.8804370512699045
NM_001003800	BICD2	5.559426520033556	5.459000309911269	5.448337428532532	5.117561144400597	5.038907899833272
NM_016647	THEM6	5.669261700518266	5.365215250212305	5.52252272222698	4.953399371583767	4.27191982256837
NM_016640	MRPS30	5.6852933199367754	5.570368739963116	5.25869758190584	4.715900057857308	4.7534379639545845
NM_001080825	TMEM120B	3.170763290546139	3.141646325574497	3.090097977929391	2.8363300682490853	2.61295674040383
NM_001253384	RPL15	6.037219917668301	5.898869488775411	4.65758765860647	4.055896445504274	4.388916466183258
NM_001282735	SPATS2L	7.226502179296977	7.248213608014707	7.343805374253175	7.155059281474408	7.005397055558508
NM_004109	FDX1	5.086247471585759	5.215206610313404	3.900993257694464	4.0224618392339035	3.3103939703824947
NM_004101	F2RL2	2.588834849914598	3.0002904763300133	3.2966654321033424	2.390119637476643	2.9077000059642697
NM_000485	APRT	7.587268328323272	7.568670278633369	7.545835957537835	6.675485789408763	6.242393870264612
NM_007108	ELOB	9.592227058983616	9.5061542092004	8.903462746847312	8.280513913189056	8.184725314812981
NM_001350530	MIER1	5.084897208110751	5.27968999670168	5.061430946222602	4.27560087246166	4.54436069433376
NM_014177	TIMM21	4.798489535874747	4.469729033422513	3.60361731942218	3.4169636055946877	3.8817734988321018
NM_020992	PDLIM1	3.520493350668885	3.5524468319647906	3.3175912709579305	2.1875210855052636	2.4754532166531873
NM_003824	FADD	5.824539925996177	5.683897685594942	5.618100382210337	4.900931951693082	4.719378799541583
NM_003827	NAPA	7.272520467115436	7.445379308458072	7.161520807911385	6.036267638757243	6.354788089740375
NM_003821	RIPK2	3.060096851471672	3.4715524778833884	2.81855350672902	2.6318997929084853	2.1033275649083722
NM_003795	SNX3	7.659455591947817	7.661740726121705	7.0576513554423075	6.205115145519198	6.2008665251747095
NM_012181	FKBP8	7.130592852073432	6.779870940387943	6.491228580761773	5.839396723614154	5.948757009873089
NM_020437	ASPHD2	2.7550415631109892	2.3133870042521845	2.6786008363554408	1.9069846218133757	1.9884658754936781
NM_020733	HEG1	2.7700495324350762	3.431085591630947	3.192477895762181	2.5706088007258097	2.546737054260844
NM_001300829	CIRBP	8.487010848148566	8.162307276421181	7.383131199186664	6.721697902390569	6.83983762666072
NM_002224	ITPR3	2.981945422303955	3.2684190943536557	4.065743939091002	3.736485829825311	3.6226429053718183
NM_175856	CHSY3	1.831359304452972	2.0200246893068035	2.061142589839811	1.1545967952077065	1.672177163700211
NM_001688	ATP5PB	7.609690517072741	7.5366602385106205	7.194304083009622	6.477135652494219	6.4915027103183425
NM_000159	GCDH	4.96354051984134	4.829991077213656	4.846942666615223	3.9333074472016847	3.9381674192829164
NM_000158	GBE1	4.014397186563334	3.7244225729702967	3.6270705357180217	3.373302626042141	3.1499292981898477
NM_021020	LZTS1	6.067741633537584	6.530071939113841	6.8518931757010595	5.831488805179522	5.602040962924646
NM_021021	SNTB1	5.73381868145444	6.111414124155909	5.798805846841611	4.908545135803134	4.95877545550004
NM_015225	PRUNE2	1.2784613687225754	1.2893190145586573	0.7690612346932191	0.11846042110406611	0.5118856811048124
NM_001143679	GSTK1	5.198795725833275	4.878447463194422	4.065324054037952	3.878670340218511	3.2496582110961465
NM_001297658	TSSC4	5.175357864622321	5.2966079275368525	4.823482200688357	4.268441080885088	3.656025462298213
NM_001297656	KIF2C	6.218358748682624	6.059391911807518	5.9696679675383475	5.466710708023139	5.682118764910724
NM_006885	ZFHX3	2.113982950522702	2.8452603764780875	3.5071170070525137	2.8688999179318566	2.5229599478780633
NM_002226	JAG2	3.902756292046911	4.29916040268554	4.863128906251182	3.4853337050785904	3.5668149587539797
NM_001319119	DNPEP	5.6144905905530615	5.764046451413701	5.479342340954937	4.600117152328776	4.820426110704243
NM_001193653	C17orf62	6.610527875727015	6.318376504922328	6.4162057813151465	5.673854161278869	4.839727602250531
NM_182976	ZNF326	5.122154563541131	4.933050834180563	4.795219727567949	4.380297026076005	4.642350525397212
